case_id,domain,evidence_tier,completed_replicates,expected_replicates,auc_delta_vs_same_initial_gp,total_tokens,auc_delta_per_100k_tokens,outcome
molecular_freesolv_to_esol,molecular_property,retrospective_development,1,30,0.0,170754,0.0,tie
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,1,30,6.325,172099,3.6752101987809342,win
materials_expt_gap_to_dielectric,materials_property,retrospective_development,1,30,6.74515,150181,4.491347107823227,win
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,1,30,1.43505,149612,0.9591810817314119,win
materials_dielectric_to_jdft2d,materials_property,retrospective_development,1,30,-0.52431,162181,-0.32328694483324194,loss
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,1,30,2.44638,148052,1.6523788939021424,win
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,1,30,-0.71009,146952,-0.4832122053459633,loss
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,1,30,-0.17809,170775,-0.10428341384863124,loss
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,1,30,2.36616,152774,1.548797570267192,win
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,1,30,0.0,136686,0.0,tie
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,1,30,1.38,114017,1.2103458256224948,win
