AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0.24071468,1.0211588,0.0,0.2600006,0.0,1.96,0.75911057,0.49360955,0.0,0.0,0.472544096
0.0,1.7571295,0.4602882,0.0,0.21024476,1.28,0.0,0.0,0.72841126,0.25910398,0.176207834
0.0,0.75436956,0.21013159,0.0,0.22025666,1.24,0.2872305,0.0,1.2443683,0.24913824,0.270064197
0.7422041,0.24839048,0.0,0.26896632,0.72083837,4.645,0.99504966,0.24176782,0.0,0.0,0.175751853
0.51151943,0.2483896,1.0106329,0.0,0.5005827,1.795,0.5026536,0.28206247,0.28327066,0.0,0.153308244
0.23068467,0.2483896,0.7504698,0.78896666,0.0,3.68,0.24619853,0.49360955,0.9813317,0.0,0.159387117
0.2507447,1.2603495,0.24015106,0.26896632,0.73085123,4.285,0.0,0.0,0.22256933,0.23917247,0.78392879
0.2507447,0.48758024,0.0,0.2868978,0.9811426,2.26,0.0,0.50368345,0.26303658,0.75737953,0.316703804
0.28083476,0.2299908,0.23014458,0.0,1.4917362,0.99,0.0,0.49360955,0.0,0.7474147,0.151358614
0.2507447,0.48758024,0.0,1.0041403,1.2214221,1.395,0.0,0.25184172,0.47549078,0.0,0.191682251
0.4914594,0.4967801,0.5003132,0.4931048,0.75087404,1.93,0.0,0.25184172,0.50584096,0.0,0.263623831
0.5115185,0.23918976,0.0,1.5151757,0.23026949,3.165,0.23594005,0.7454522,0.0,0.48830977,0.448358958
0.99294883,0.2483896,0.74046427,0.51103544,0.0,4.4,0.48213762,0.554052,0.25292048,0.0,0.156058693
0.24071468,0.22079095,0.7604763,0.0,0.24027947,2.2,0.74885213,0.49360955,0.23268639,0.0,0.166688291
0.0,0.48758024,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,2.744416275
0.0,0.4967801,0.0,0.0,0.0,4.975,0.0,0.0,0.0,0.0,2.712016034
0.24071565,1.00276,0.0,0.26896632,0.0,1.96,0.7385927,0.49360955,0.0,0.0,0.42426413
0.0,1.72953,0.4903067,0.0,0.2703151,1.39,0.0,0.0,0.72841126,0.24913824,0.181907784
0.0,0.76356936,0.22013807,0.0,0.22025666,1.39,0.24619755,0.0,1.2544854,0.24913824,0.299041963
0.7422041,0.23918976,0.0,0.25103486,0.7708978,4.76,1.0053082,0.25184172,0.0,0.0,0.225696371
0.4914594,0.2483896,0.9806134,0.0,0.470548,2.0,0.4923961,0.25184172,0.25292048,0.0,0.160040912
