dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_buchwald_hartwig,gp_ucb,0,98.8492,92.6646,1.1508,1,0,0,0,0,0,0.188
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.188
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.188
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.188
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_strict_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.188
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.188
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_adaptive_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.188
real_buchwald_hartwig,gp_ucb,1,91.1391,81.245,8.8609,0,0,0,0,0,0,0.1836
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,1,91.1391,83.2916,8.8609,0,3,1,0,7,16073,0.1836
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,1,91.1391,83.2916,8.8609,0,3,1,0,7,16073,0.1836
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,1,91.1391,83.2916,8.8609,0,3,1,0,7,16073,0.1836
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_strict_gate_v1,1,91.1391,83.2916,8.8609,0,3,1,0,7,16073,0.1836
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,1,91.1391,83.2916,8.8609,0,3,1,0,7,16073,0.1836
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_adaptive_gate_v1,1,91.1391,83.2916,8.8609,0,3,1,0,7,16073,0.1836
real_buchwald_hartwig,gp_ucb,2,96.1323,94.0482,3.8677,0,0,0,0,0,0,0.2367
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,2,96.1323,94.0482,3.8677,0,2,1,0,7,19824,0.2367
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,2,96.1323,94.0482,3.8677,0,2,1,0,7,19824,0.2367
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,2,96.1323,94.0482,3.8677,0,2,1,0,7,19824,0.2367
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_strict_gate_v1,2,96.1323,94.0482,3.8677,0,2,1,0,7,19824,0.2367
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,2,96.1323,94.0482,3.8677,0,2,1,0,7,19824,0.2367
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_adaptive_gate_v1,2,96.1323,94.0482,3.8677,0,2,1,0,7,19824,0.2367
real_buchwald_hartwig,gp_ucb,3,96.1323,87.3179,3.8677,0,0,0,0,0,0,0.3015
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,3,88.5139,80.8124,11.4861,0,6,4,0,7,6083,0.3015
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,3,88.5139,80.8124,11.4861,0,6,4,0,7,6083,0.3015
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,3,88.5139,80.8124,11.4861,0,6,4,0,7,6083,0.3015
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_strict_gate_v1,3,88.5139,80.8124,11.4861,0,6,4,0,7,6083,0.3015
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,3,88.5139,80.8124,11.4861,0,6,4,0,7,6083,0.3015
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_adaptive_gate_v1,3,88.5139,80.8124,11.4861,0,6,4,0,7,6083,0.3015
real_buchwald_hartwig,gp_ucb,4,74.0097,71.7047,25.9903,0,0,0,0,0,0,0.2414
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,4,74.0097,71.4451,25.9903,0,3,1,0,7,26382,0.2414
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,4,74.0097,71.4451,25.9903,0,3,1,0,7,26382,0.2414
