dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_moleculenet_lipophilicity,gp_ucb,0,85.0,85.0,8.75,0,0,0,0,0,0,0.1832
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,0,80.0,80.0,13.75,0,3,1,0,3,12582,0.1832
real_moleculenet_lipophilicity,gp_ucb,1,90.0,90.0,3.75,0,0,0,0,0,0,0.2085
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,1,90.0,90.0,3.75,0,2,0,0,3,12582,0.2085
real_moleculenet_lipophilicity,gp_ucb,2,87.625,87.625,6.125,0,0,0,0,0,0,0.1851
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,2,87.625,87.625,6.125,0,0,0,0,3,12582,0.1851
real_moleculenet_lipophilicity,gp_ucb,3,81.25,81.25,12.5,0,0,0,0,0,0,0.2224
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,3,91.875,87.9167,1.875,0,2,1,0,3,12582,0.2224
real_moleculenet_lipophilicity,gp_ucb,4,77.375,77.375,16.375,0,0,0,0,0,0,0.1888
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,4,88.75,88.75,5.0,0,1,0,0,3,12573,0.1888
real_moleculenet_lipophilicity,gp_ucb,5,93.75,83.7083,0.0,1,0,0,0,0,0,0.1997
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,5,87.5,84.375,6.25,0,3,0,0,3,12582,0.1997
real_moleculenet_lipophilicity,gp_ucb,6,82.5,82.5,11.25,0,0,0,0,0,0,0.1895
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,6,82.5,82.5,11.25,0,1,1,0,3,12582,0.1895
real_moleculenet_lipophilicity,gp_ucb,7,83.75,83.75,10.0,0,0,0,0,0,0,0.1921
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,7,83.75,83.75,10.0,0,1,0,0,3,12582,0.1921
real_moleculenet_lipophilicity,gp_ucb,8,88.25,79.8333,5.5,0,0,0,0,0,0,0.1787
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,8,80.875,77.375,12.875,0,3,2,0,3,12582,0.1787
real_moleculenet_lipophilicity,gp_ucb,9,83.75,83.75,10.0,0,0,0,0,0,0,0.171
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,9,83.75,83.75,10.0,0,0,0,0,3,12582,0.171
real_moleculenet_lipophilicity,gp_ucb,10,86.25,86.25,7.5,0,0,0,0,0,0,0.171
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,10,86.25,86.25,7.5,0,2,2,0,3,12582,0.171
real_moleculenet_lipophilicity,gp_ucb,11,86.0,86.0,7.75,0,0,0,0,0,0,0.1416
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,11,86.0,86.0,7.75,0,1,1,0,3,12582,0.1416
real_moleculenet_lipophilicity,gp_ucb,12,86.0,86.0,7.75,0,0,0,0,0,0,0.1725
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,12,88.625,87.75,5.125,0,1,0,0,3,12582,0.1725
real_moleculenet_lipophilicity,gp_ucb,13,83.75,83.75,10.0,0,0,0,0,0,0,0.1917
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,13,83.75,83.75,10.0,0,0,0,0,3,12582,0.1917
real_moleculenet_lipophilicity,gp_ucb,14,89.875,87.875,3.875,0,0,0,0,0,0,0.1721
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,14,86.875,86.875,6.875,0,2,2,0,3,12582,0.1721
real_moleculenet_lipophilicity,gp_ucb,15,91.875,91.875,1.875,0,0,0,0,0,0,0.2114
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,15,91.875,91.875,1.875,0,2,2,0,3,12582,0.2114
real_moleculenet_lipophilicity,gp_ucb,16,80.0,80.0,13.75,0,0,0,0,0,0,0.1908
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,16,80.0,80.0,13.75,0,3,0,0,3,12582,0.1908
real_moleculenet_lipophilicity,gp_ucb,17,83.75,81.5,10.0,0,0,0,0,0,0,0.1601
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,17,84.75,82.1667,9.0,0,1,0,0,3,12582,0.1601
real_moleculenet_lipophilicity,gp_ucb,18,83.75,83.75,10.0,0,0,0,0,0,0,0.1841
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,18,81.25,80.8333,12.5,0,3,2,0,3,12582,0.1841
real_moleculenet_lipophilicity,gp_ucb,19,88.25,88.25,5.5,0,0,0,0,0,0,0.1656
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,19,88.25,88.25,5.5,0,0,0,0,3,12582,0.1656
real_moleculenet_lipophilicity,gp_ucb,20,77.5,76.3333,16.25,0,0,0,0,0,0,0.1622
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,20,85.0,85.0,8.75,0,3,0,0,3,12582,0.1622
real_moleculenet_lipophilicity,gp_ucb,21,88.625,88.625,5.125,0,0,0,0,0,0,0.1876
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,21,81.25,81.25,12.5,0,3,3,0,3,12582,0.1876
real_moleculenet_lipophilicity,gp_ucb,22,89.25,89.25,4.5,0,0,0,0,0,0,0.1737
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,22,91.875,91.875,1.875,0,2,1,0,3,12537,0.1737
real_moleculenet_lipophilicity,gp_ucb,23,76.25,76.25,17.5,0,0,0,0,0,0,0.1604
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,23,76.25,76.25,17.5,0,2,0,0,3,12582,0.1604
real_moleculenet_lipophilicity,gp_ucb,24,88.625,82.9583,5.125,0,0,0,0,0,0,0.2065
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,24,85.625,85.625,8.125,0,3,2,0,3,12582,0.2065
real_moleculenet_lipophilicity,gp_ucb,25,90.0,90.0,3.75,0,0,0,0,0,0,0.1812
