dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_moleculenet_lipophilicity,gp_ucb,0,85.0,85.0,8.75,0,0,0,0,0,0,0.1832
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,0,87.0,81.4,6.75,0,7,4,0,10,69998,0.1832
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm3_gate_v1,0,86.25,82.75,7.5,0,3,1,0,3,12582,0.1832
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm5_gate_v1,0,82.375,81.1875,11.375,0,4,2,0,5,29341,0.1832
real_moleculenet_lipophilicity,gp_ucb,1,90.0,90.0,3.75,0,0,0,0,0,0,0.2085
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,1,90.0,90.0,3.75,0,7,1,0,10,70856,0.2085
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm3_gate_v1,1,90.0,90.0,3.75,0,2,0,0,3,12582,0.2085
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm5_gate_v1,1,93.75,91.1,0.0,1,3,0,0,5,29229,0.2085
real_moleculenet_lipophilicity,gp_ucb,2,87.625,87.625,6.125,0,0,0,0,0,0,0.1851
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,2,90.0,88.3375,3.75,0,5,2,0,10,69589,0.1851
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm3_gate_v1,2,87.625,87.625,6.125,0,0,0,0,3,12582,0.1851
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm5_gate_v1,2,87.625,87.625,6.125,0,1,1,0,5,29337,0.1851
real_moleculenet_lipophilicity,gp_ucb,3,91.25,88.25,2.5,0,0,0,0,0,0,0.2224
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,3,91.875,90.6875,1.875,0,7,2,1,10,69931,0.2224
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm3_gate_v1,3,91.875,90.6875,1.875,0,2,1,0,3,12582,0.2224
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm5_gate_v1,3,91.875,90.6875,1.875,0,3,1,0,5,29242,0.2224
real_moleculenet_lipophilicity,gp_ucb,4,87.125,84.2,6.625,0,0,0,0,0,0,0.1888
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,4,88.75,88.75,5.0,0,7,6,0,10,71086,0.1888
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm3_gate_v1,4,91.25,89.5,2.5,0,1,0,0,3,12573,0.1888
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm5_gate_v1,4,91.25,89.5,2.5,0,2,1,0,5,29221,0.1888
real_moleculenet_lipophilicity,gp_ucb,5,93.75,90.7375,0.0,1,0,0,0,0,0,0.1997
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,5,87.5,86.5625,6.25,0,9,5,0,10,70388,0.1997
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_warm3_gate_v1,5,93.75,90.9375,0.0,1,3,0,0,3,12582,0.1997
