dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_buchwald_hartwig,gp_ucb,0,98.8492,92.6646,1.1508,1,0,0,0,0,0,0.4527
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.4527
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.4527
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.4527
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,0,100.0,92.8698,0.0,1,1,0,0,7,27608,0.4527
real_buchwald_hartwig,gp_ucb,1,91.1391,81.245,8.8609,0,0,0,0,0,0,0.421
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,1,91.1391,82.2683,8.8609,0,4,2,0,7,19479,0.421
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,1,91.1391,82.2683,8.8609,0,4,2,0,7,19479,0.421
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,1,91.1391,82.2683,8.8609,0,4,2,0,7,19479,0.421
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,1,91.1391,82.2683,8.8609,0,4,2,0,7,19479,0.421
real_buchwald_hartwig,gp_ucb,2,96.1323,94.0482,3.8677,0,0,0,0,0,0,0.4547
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,2,96.1323,94.0482,3.8677,0,1,0,0,7,23445,0.4547
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,2,96.1323,94.0482,3.8677,0,1,0,0,7,23445,0.4547
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,2,96.1323,94.0482,3.8677,0,1,0,0,7,23445,0.4547
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,2,96.1323,94.0482,3.8677,0,1,0,0,7,23445,0.4547
real_buchwald_hartwig,gp_ucb,3,96.1323,87.3179,3.8677,0,0,0,0,0,0,0.3328
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,3,96.1323,82.5516,3.8677,0,4,3,0,7,13279,0.3328
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,3,96.1323,82.5516,3.8677,0,4,3,0,7,13279,0.3328
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,3,96.1323,82.5516,3.8677,0,4,3,0,7,13279,0.3328
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,3,96.1323,82.5516,3.8677,0,4,3,0,7,13279,0.3328
real_buchwald_hartwig,gp_ucb,4,74.0097,71.7047,25.9903,0,0,0,0,0,0,0.4493
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,4,74.0097,71.4451,25.9903,0,2,1,0,7,26382,0.4493
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,4,74.0097,71.4451,25.9903,0,2,1,0,7,26382,0.4493
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,4,74.0097,71.4451,25.9903,0,2,1,0,7,26382,0.4493
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,4,74.0097,71.4451,25.9903,0,2,1,0,7,26382,0.4493
real_buchwald_hartwig,gp_ucb,5,86.0034,86.0034,13.9966,0,0,0,0,0,0,0.43
real_buchwald_hartwig,hybrid_transfer_gp_ucb_gate_v1,5,86.0034,86.0034,13.9966,0,1,0,0,7,22917,0.43
real_buchwald_hartwig,hybrid_transfer_gp_ucb_no_gate,5,86.0034,86.0034,13.9966,0,1,0,0,7,22917,0.43
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_gate_v1,5,86.0034,86.0034,13.9966,0,1,0,0,7,22917,0.43
real_buchwald_hartwig,hybrid_value_prior_gp_ucb_no_gate,5,86.0034,86.0034,13.9966,0,1,0,0,7,22917,0.43
real_buchwald_hartwig,gp_ucb,6,88.4449,87.8189,11.5551,0,0,0,0,0,0,0.4428
