dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_chemlex_acidamine,gp_ucb,0,93.34,90.76,6.66,0,0,0,0,0,0,0.3764
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,0,93.34,90.76,6.66,0,1,1,0,7,50787,0.3764
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,0,93.34,90.76,6.66,0,1,1,0,7,50787,0.3764
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,0,93.34,90.76,6.66,0,1,1,0,7,50787,0.3764
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,0,93.34,90.76,6.66,0,1,1,0,7,50787,0.3764
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,0,93.34,90.76,6.66,0,1,1,0,7,50787,0.3764
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,0,93.34,90.76,6.66,0,1,1,0,7,50787,0.3764
real_chemlex_acidamine,gp_ucb,1,100.0,93.385,0.0,0,0,0,0,0,0,0.3466
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,1,94.08,92.315,5.92,0,5,0,0,7,55347,0.3466
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,1,94.08,92.315,5.92,0,5,0,0,7,55347,0.3466
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,1,94.08,92.315,5.92,0,5,0,0,7,55347,0.3466
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,1,94.08,92.315,5.92,0,5,0,0,7,55347,0.3466
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,1,94.08,92.315,5.92,0,5,0,0,7,55347,0.3466
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,1,94.08,92.315,5.92,0,5,0,0,7,55347,0.3466
real_chemlex_acidamine,gp_ucb,2,82.07,82.07,17.93,0,0,0,0,0,0,0.3942
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,2,82.07,82.07,17.93,0,2,0,0,7,1690,0.3942
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,2,82.07,82.07,17.93,0,2,0,0,7,1690,0.3942
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,2,82.07,82.07,17.93,0,2,0,0,7,1690,0.3942
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,2,82.07,82.07,17.93,0,2,0,0,7,1690,0.3942
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,2,82.07,82.07,17.93,0,2,0,0,7,1690,0.3942
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,2,82.07,82.07,17.93,0,2,0,0,7,1690,0.3942
real_chemlex_acidamine,gp_ucb,3,100.0,84.614,0.0,0,0,0,0,0,0,0.3393
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,3,100.0,84.614,0.0,0,0,0,0,7,50631,0.3393
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,3,100.0,84.614,0.0,0,0,0,0,7,50631,0.3393
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,3,100.0,84.614,0.0,0,0,0,0,7,50631,0.3393
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,3,100.0,84.614,0.0,0,0,0,0,7,50631,0.3393
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,3,100.0,84.614,0.0,0,0,0,0,7,50631,0.3393
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,3,100.0,84.614,0.0,0,0,0,0,7,50631,0.3393
real_chemlex_acidamine,gp_ucb,4,72.795,54.352,27.205,0,0,0,0,0,0,0.3753
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,4,72.795,54.352,27.205,0,1,1,0,7,1808,0.3753
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,4,72.795,54.352,27.205,0,1,1,0,7,1808,0.3753
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,4,72.795,54.352,27.205,0,1,1,0,7,1808,0.3753
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,4,72.795,54.352,27.205,0,1,1,0,7,1808,0.3753
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,4,72.795,54.352,27.205,0,1,1,0,7,1808,0.3753
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,4,72.795,54.352,27.205,0,1,1,0,7,1808,0.3753
real_chemlex_acidamine,gp_ucb,5,97.14,92.514,2.86,0,0,0,0,0,0,0.3695
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,5,92.0,92.0,8.0,0,2,1,2,7,770,0.3695
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,5,92.0,92.0,8.0,0,6,2,0,7,518,0.3695
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,5,92.0,92.0,8.0,0,2,1,2,7,770,0.3695
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,5,92.0,92.0,8.0,0,2,1,2,7,770,0.3695
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,5,92.0,92.0,8.0,0,2,1,2,7,770,0.3695
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,5,92.0,92.0,8.0,0,2,1,2,7,770,0.3695
real_chemlex_acidamine,gp_ucb,6,98.02,95.956,1.98,0,0,0,0,0,0,0.3371
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,6,97.14,95.667,2.86,0,3,0,0,7,22653,0.3371
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,6,97.14,95.667,2.86,0,3,0,0,7,22653,0.3371
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,6,97.14,95.667,2.86,0,3,0,0,7,22653,0.3371
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,6,97.14,95.667,2.86,0,3,0,0,7,22653,0.3371
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,6,97.14,95.667,2.86,0,3,0,0,7,22653,0.3371
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,6,97.14,95.667,2.86,0,3,0,0,7,22653,0.3371
real_chemlex_acidamine,gp_ucb,7,97.91,90.57,2.09,0,0,0,0,0,0,0.3879
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,7,97.91,90.57,2.09,0,0,0,0,7,50631,0.3879
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,7,97.91,90.57,2.09,0,0,0,0,7,50631,0.3879
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,7,97.91,90.57,2.09,0,0,0,0,7,50631,0.3879
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,7,97.91,90.57,2.09,0,0,0,0,7,50631,0.3879
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,7,97.91,90.57,2.09,0,0,0,0,7,50631,0.3879
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,7,97.91,90.57,2.09,0,0,0,0,7,50631,0.3879
real_chemlex_acidamine,gp_ucb,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,hybrid_transfer_gp_ucb_no_gate,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_gate_v1,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_strict_gate_v1,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,hybrid_value_prior_gp_ucb_adaptive_gate_v1,8,4.05,3.468,95.95,0,0,0,0,0,0,0.3692
real_chemlex_acidamine,gp_ucb,9,94.54,94.54,5.46,0,0,0,0,0,0,0.4018
real_chemlex_acidamine,hybrid_transfer_gp_ucb_gate_v1,9,94.54,94.54,5.46,0,0,0,0,7,65332,0.4018
