dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_moleculenet_lipophilicity,random,0,82.25,82.25,11.5,0
real_moleculenet_lipophilicity,group_only,0,85.625,84.5,8.125,0
real_moleculenet_lipophilicity,factor_only,0,85.0,83.0,8.75,0
real_moleculenet_lipophilicity,factor_ucb,0,85.0,83.0,8.75,0
real_moleculenet_lipophilicity,no_condition_prior,0,85.0,83.0,8.75,0
real_moleculenet_lipophilicity,public_incumbent,0,85.0,83.6,8.75,0
real_moleculenet_lipophilicity,random,1,91.25,90.75,2.5,0
real_moleculenet_lipophilicity,group_only,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,factor_only,1,91.25,90.5,2.5,0
real_moleculenet_lipophilicity,factor_ucb,1,91.25,90.5,2.5,0
real_moleculenet_lipophilicity,no_condition_prior,1,91.25,90.5,2.5,0
real_moleculenet_lipophilicity,public_incumbent,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,random,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,group_only,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,factor_only,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,factor_ucb,2,91.25,90.5875,2.5,0
real_moleculenet_lipophilicity,no_condition_prior,2,91.25,90.5875,2.5,0
real_moleculenet_lipophilicity,public_incumbent,2,90.0,89.05,3.75,0
real_moleculenet_lipophilicity,random,3,80.0,80.0,13.75,0
real_moleculenet_lipophilicity,group_only,3,83.5,82.1,10.25,0
real_moleculenet_lipophilicity,factor_only,3,93.75,92.45,0.0,1
real_moleculenet_lipophilicity,factor_ucb,3,85.0,83.625,8.75,0
real_moleculenet_lipophilicity,no_condition_prior,3,84.25,82.65,9.5,0
real_moleculenet_lipophilicity,public_incumbent,3,84.25,81.4375,9.5,0
real_moleculenet_lipophilicity,random,4,83.75,80.9375,10.0,0
real_moleculenet_lipophilicity,group_only,4,85.625,83.975,8.125,0
real_moleculenet_lipophilicity,factor_only,4,77.375,77.375,16.375,0
real_moleculenet_lipophilicity,factor_ucb,4,78.625,78.325,15.125,0
real_moleculenet_lipophilicity,no_condition_prior,4,78.625,78.325,15.125,0
real_moleculenet_lipophilicity,public_incumbent,4,84.25,81.6,9.5,0
real_moleculenet_lipophilicity,random,5,80.25,80.0375,13.5,0
real_moleculenet_lipophilicity,group_only,5,83.5,81.35,10.25,0
real_moleculenet_lipophilicity,factor_only,5,80.0,80.0,13.75,0
real_moleculenet_lipophilicity,factor_ucb,5,80.0,80.0,13.75,0
real_moleculenet_lipophilicity,no_condition_prior,5,80.0,80.0,13.75,0
real_moleculenet_lipophilicity,public_incumbent,5,90.0,85.25,3.75,0
real_moleculenet_lipophilicity,random,6,87.125,84.8125,6.625,0
real_moleculenet_lipophilicity,group_only,6,85.625,84.375,8.125,0
real_moleculenet_lipophilicity,factor_only,6,91.25,84.0,2.5,0
real_moleculenet_lipophilicity,factor_ucb,6,82.5,82.5,11.25,0
real_moleculenet_lipophilicity,no_condition_prior,6,82.5,82.5,11.25,0
real_moleculenet_lipophilicity,public_incumbent,6,84.25,83.9,9.5,0
real_moleculenet_lipophilicity,random,7,83.875,83.8625,9.875,0
real_moleculenet_lipophilicity,group_only,7,85.625,83.9375,8.125,0
real_moleculenet_lipophilicity,factor_only,7,91.375,87.4125,2.375,0
real_moleculenet_lipophilicity,factor_ucb,7,93.5,88.1,0.25,1
real_moleculenet_lipophilicity,no_condition_prior,7,91.375,87.1625,2.375,0
real_moleculenet_lipophilicity,public_incumbent,7,90.0,90.0,3.75,0
