dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_chemlex_acidamine,no_care_random,0,91.5,76.864,8.5,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,1,92.75,91.65,7.25,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,2,95.81,90.314,4.19,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,3,100.0,88.95,0.0,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,4,89.36,56.334,10.64,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,5,97.59,92.454,2.41,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,6,95.44,95.44,4.56,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,7,93.85,77.695,6.15,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,8,100.0,94.095,0.0,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,9,44.81,40.64,55.19,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,10,92.75,92.75,7.25,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,11,86.23,86.23,13.77,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,12,87.93,87.93,12.07,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,13,100.0,94.304,0.0,1,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,14,100.0,100.0,0.0,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,15,95.86,95.86,4.14,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,16,97.57,97.155,2.43,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,17,95.64,84.598,4.36,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,18,76.23,76.23,23.77,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,19,100.0,81.3,0.0,0,0,0,0,0,0.5,0
