dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_moleculenet_freesolv,no_care_random,0,71.4333,67.1278,28.5667,1,0,0,0,0,0.5,0
real_moleculenet_freesolv,no_care_random,1,85.0667,77.5722,14.9333,1,0,0,0,0,0.5,0
real_moleculenet_freesolv,no_care_random,2,77.2333,77.2333,22.7667,1,0,0,0,0,0.5,0
real_moleculenet_freesolv,no_care_random,3,64.0333,64.0333,35.9667,0,0,0,0,0,0.5,0
real_moleculenet_freesolv,no_care_random,4,38.2667,33.1167,61.7333,0,0,0,0,0,0.5,0
real_moleculenet_freesolv,incumbent,0,77.2333,68.7111,22.7667,1,0,0,0,0,0.5,0
real_moleculenet_freesolv,incumbent,1,43.2667,38.1111,56.7333,0,0,0,0,0,0.5,0
real_moleculenet_freesolv,incumbent,2,79.0667,78.15,20.9333,1,0,0,0,0,0.5,0
real_moleculenet_freesolv,incumbent,3,71.4333,60.6778,28.5667,1,0,0,0,0,0.5,0
real_moleculenet_freesolv,incumbent,4,43.2667,37.2167,56.7333,0,0,0,0,0,0.5,0
real_moleculenet_freesolv,llm_no_gate,0,75.8,65.7,24.2,1,2,2,0,3,0.5,0
real_moleculenet_freesolv,llm_no_gate,1,43.2667,38.1111,56.7333,0,0,0,0,3,0.5,0
real_moleculenet_freesolv,llm_no_gate,2,79.0667,78.15,20.9333,1,0,0,0,3,0.5,0
real_moleculenet_freesolv,llm_no_gate,3,71.4333,60.6778,28.5667,1,0,0,0,3,0.5,0
real_moleculenet_freesolv,llm_no_gate,4,43.2667,37.2167,56.7333,0,1,1,0,3,0.5,0
real_moleculenet_freesolv,llm_gate_v1,0,75.8,65.7,24.2,1,2,2,0,3,0.5,0
real_moleculenet_freesolv,llm_gate_v1,1,43.2667,38.1111,56.7333,0,0,0,0,3,0.5,0
real_moleculenet_freesolv,llm_gate_v1,2,79.0667,78.15,20.9333,1,0,0,0,3,0.5,0
real_moleculenet_freesolv,llm_gate_v1,3,71.4333,60.6778,28.5667,1,0,0,0,3,0.5,0
real_moleculenet_freesolv,llm_gate_v1,4,43.2667,37.2167,56.7333,0,0,0,0,3,0.5,0
