dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_chemlex_acidamine,random,0,91.5,76.864,8.5,0
real_chemlex_acidamine,public_incumbent,0,90.61,78.532,9.39,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,0,93.34,90.76,6.66,0
real_chemlex_acidamine,mixed_kernel_gp_ei,0,86.72,81.086,13.28,0
real_chemlex_acidamine,knn_ucb,0,93.13,92.317,6.87,0
real_chemlex_acidamine,random,1,92.75,91.65,7.25,0
real_chemlex_acidamine,public_incumbent,1,100.0,98.412,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,1,100.0,93.385,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,1,94.35,92.45,5.65,0
real_chemlex_acidamine,knn_ucb,1,100.0,96.22,0.0,0
real_chemlex_acidamine,random,2,95.81,90.314,4.19,0
real_chemlex_acidamine,public_incumbent,2,82.07,82.07,17.93,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,2,82.07,82.07,17.93,0
real_chemlex_acidamine,mixed_kernel_gp_ei,2,82.07,82.07,17.93,0
real_chemlex_acidamine,knn_ucb,2,82.07,82.07,17.93,0
real_chemlex_acidamine,random,3,100.0,88.95,0.0,0
real_chemlex_acidamine,public_incumbent,3,100.0,95.866,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,3,100.0,84.614,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,3,100.0,93.656,0.0,0
real_chemlex_acidamine,knn_ucb,3,95.78,89.169,4.22,0
real_chemlex_acidamine,random,4,89.36,56.334,10.64,0
real_chemlex_acidamine,public_incumbent,4,7.67,7.67,92.33,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,4,72.795,54.352,27.205,0
real_chemlex_acidamine,mixed_kernel_gp_ei,4,95.37,67.897,4.63,0
real_chemlex_acidamine,knn_ucb,4,94.96,83.026,5.04,0
real_chemlex_acidamine,random,5,97.59,92.454,2.41,0
real_chemlex_acidamine,public_incumbent,5,99.29,98.264,0.71,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,5,97.14,92.514,2.86,0
real_chemlex_acidamine,mixed_kernel_gp_ei,5,97.14,94.54,2.86,0
real_chemlex_acidamine,knn_ucb,5,95.78,94.505,4.22,0
real_chemlex_acidamine,random,6,95.44,95.44,4.56,0
real_chemlex_acidamine,public_incumbent,6,95.44,95.44,4.56,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,6,98.02,95.956,1.98,0
real_chemlex_acidamine,mixed_kernel_gp_ei,6,97.66,97.438,2.34,0
real_chemlex_acidamine,knn_ucb,6,95.44,95.44,4.56,0
real_chemlex_acidamine,random,7,93.85,77.695,6.15,0
real_chemlex_acidamine,public_incumbent,7,96.71,96.71,3.29,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,7,97.91,90.57,2.09,0
real_chemlex_acidamine,mixed_kernel_gp_ei,7,97.91,90.57,2.09,0
real_chemlex_acidamine,knn_ucb,7,96.94,96.262,3.06,0
real_chemlex_acidamine,random,8,100.0,94.095,0.0,0
real_chemlex_acidamine,public_incumbent,8,7.24,5.188,92.76,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,8,4.05,3.468,95.95,0
real_chemlex_acidamine,mixed_kernel_gp_ei,8,95.0,80.981,5.0,0
real_chemlex_acidamine,knn_ucb,8,93.85,64.693,6.15,0
real_chemlex_acidamine,random,9,44.81,40.64,55.19,0
real_chemlex_acidamine,public_incumbent,9,56.82,45.105,43.18,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,9,94.54,94.54,5.46,0
real_chemlex_acidamine,mixed_kernel_gp_ei,9,94.54,94.54,5.46,0
real_chemlex_acidamine,knn_ucb,9,100.0,83.049,0.0,0
real_chemlex_acidamine,random,10,92.75,92.75,7.25,0
real_chemlex_acidamine,public_incumbent,10,92.75,92.75,7.25,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,10,92.75,92.75,7.25,0
real_chemlex_acidamine,mixed_kernel_gp_ei,10,97.14,94.506,2.86,0
real_chemlex_acidamine,knn_ucb,10,92.75,92.75,7.25,0
real_chemlex_acidamine,random,11,86.23,86.23,13.77,0
real_chemlex_acidamine,public_incumbent,11,93.81,93.81,6.19,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,11,94.89,91.668,5.11,0
real_chemlex_acidamine,mixed_kernel_gp_ei,11,94.89,90.7335,5.11,0
real_chemlex_acidamine,knn_ucb,11,93.81,93.81,6.19,0
real_chemlex_acidamine,random,12,87.93,87.93,12.07,0
real_chemlex_acidamine,public_incumbent,12,99.1,97.106,0.9,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,12,90.0,89.172,10.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,12,94.7,91.315,5.3,0
real_chemlex_acidamine,knn_ucb,12,97.9,96.903,2.1,0
real_chemlex_acidamine,random,13,100.0,94.304,0.0,1
real_chemlex_acidamine,public_incumbent,13,86.96,86.96,13.04,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,13,99.7,92.053,0.3,0
real_chemlex_acidamine,mixed_kernel_gp_ei,13,100.0,97.054,0.0,0
real_chemlex_acidamine,knn_ucb,13,84.79,76.909,15.21,0
real_chemlex_acidamine,random,14,100.0,100.0,0.0,0
real_chemlex_acidamine,public_incumbent,14,100.0,100.0,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,14,100.0,100.0,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,14,100.0,100.0,0.0,0
real_chemlex_acidamine,knn_ucb,14,100.0,100.0,0.0,0
real_chemlex_acidamine,random,15,95.86,95.86,4.14,0
real_chemlex_acidamine,public_incumbent,15,97.52,97.256,2.48,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,15,95.9,95.88,4.1,0
real_chemlex_acidamine,mixed_kernel_gp_ei,15,95.9,95.872,4.1,0
real_chemlex_acidamine,knn_ucb,15,97.66,97.66,2.34,0
real_chemlex_acidamine,random,16,97.57,97.155,2.43,0
real_chemlex_acidamine,public_incumbent,16,96.71,96.71,3.29,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,16,96.94,95.375,3.06,0
real_chemlex_acidamine,mixed_kernel_gp_ei,16,96.94,95.375,3.06,0
real_chemlex_acidamine,knn_ucb,16,93.95,93.844,6.05,0
real_chemlex_acidamine,random,17,95.64,84.598,4.36,0
real_chemlex_acidamine,public_incumbent,17,92.44,80.386,7.56,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,17,95.79,90.097,4.21,0
real_chemlex_acidamine,mixed_kernel_gp_ei,17,92.91,86.6,7.09,0
real_chemlex_acidamine,knn_ucb,17,92.44,92.44,7.56,0
real_chemlex_acidamine,random,18,76.23,76.23,23.77,0
real_chemlex_acidamine,public_incumbent,18,88.18,74.622,11.82,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,18,87.2,82.424,12.8,0
real_chemlex_acidamine,mixed_kernel_gp_ei,18,87.2,82.424,12.8,0
real_chemlex_acidamine,knn_ucb,18,89.26,78.505,10.74,0
real_chemlex_acidamine,random,19,100.0,81.3,0.0,0
real_chemlex_acidamine,public_incumbent,19,94.23,42.345,5.77,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,19,36.58,36.58,63.42,0
real_chemlex_acidamine,mixed_kernel_gp_ei,19,95.64,76.512,4.36,0
real_chemlex_acidamine,knn_ucb,19,52.75,39.814,47.25,0
real_chemlex_acidamine,random,20,97.74,71.958,2.26,0
real_chemlex_acidamine,public_incumbent,20,5.73,5.73,94.27,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,20,92.98,61.872,7.02,0
real_chemlex_acidamine,mixed_kernel_gp_ei,20,86.75,46.232,13.25,0
real_chemlex_acidamine,knn_ucb,20,89.77,64.32,10.23,0
real_chemlex_acidamine,random,21,100.0,69.186,0.0,0
real_chemlex_acidamine,public_incumbent,21,51.5,45.324,48.5,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,21,78.82,61.36,21.18,0
real_chemlex_acidamine,mixed_kernel_gp_ei,21,87.51,73.206,12.49,0
real_chemlex_acidamine,knn_ucb,21,33.4,33.4,66.6,0
real_chemlex_acidamine,random,22,92.36,92.36,7.64,0
real_chemlex_acidamine,public_incumbent,22,97.66,94.631,2.34,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,22,100.0,97.73,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,22,100.0,93.124,0.0,0
real_chemlex_acidamine,knn_ucb,22,94.84,94.84,5.16,0
real_chemlex_acidamine,random,23,82.41,66.292,17.59,0
real_chemlex_acidamine,public_incumbent,23,96.16,70.336,3.84,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,23,96.35,85.471,3.65,0
real_chemlex_acidamine,mixed_kernel_gp_ei,23,82.55,80.515,17.45,0
real_chemlex_acidamine,knn_ucb,23,83.67,72.898,16.33,0
real_chemlex_acidamine,random,24,24.44,24.44,75.56,0
real_chemlex_acidamine,public_incumbent,24,94.23,62.744,5.77,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,24,97.0,83.722,3.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,24,95.9,93.38,4.1,0
real_chemlex_acidamine,knn_ucb,24,87.4,57.309,12.6,0
real_chemlex_acidamine,random,25,94.87,79.8,5.13,0
real_chemlex_acidamine,public_incumbent,25,86.11,79.286,13.89,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,25,78.5,72.061,21.5,0
real_chemlex_acidamine,mixed_kernel_gp_ei,25,71.13,69.85,28.87,0
real_chemlex_acidamine,knn_ucb,25,71.13,69.21,28.87,0
real_chemlex_acidamine,random,26,94.4,89.091,5.6,0
real_chemlex_acidamine,public_incumbent,26,86.56,86.56,13.44,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,26,94.26,89.728,5.74,0
real_chemlex_acidamine,mixed_kernel_gp_ei,26,90.059,87.1439,9.941,0
real_chemlex_acidamine,knn_ucb,26,97.87,93.283,2.13,0
real_chemlex_acidamine,random,27,95.54,95.54,4.46,0
real_chemlex_acidamine,public_incumbent,27,94.41,94.41,5.59,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,27,94.41,94.41,5.59,0
real_chemlex_acidamine,mixed_kernel_gp_ei,27,94.57,94.442,5.43,0
real_chemlex_acidamine,knn_ucb,27,100.0,97.314,0.0,0
real_chemlex_acidamine,random,28,96.35,96.35,3.65,0
real_chemlex_acidamine,public_incumbent,28,74.29,74.29,25.71,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,28,98.59,97.55,1.41,0
real_chemlex_acidamine,mixed_kernel_gp_ei,28,95.69,95.69,4.31,0
real_chemlex_acidamine,knn_ucb,28,95.69,91.829,4.31,0
real_chemlex_acidamine,random,29,100.0,99.837,0.0,0
real_chemlex_acidamine,public_incumbent,29,96.41,93.289,3.59,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,29,100.0,91.507,0.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,29,100.0,91.053,0.0,0
real_chemlex_acidamine,knn_ucb,29,100.0,98.184,0.0,0
real_chemlex_acidamine,random,30,86.6,76.525,13.4,0
real_chemlex_acidamine,public_incumbent,30,46.53,44.194,53.47,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,30,68.21,46.07,31.79,0
real_chemlex_acidamine,mixed_kernel_gp_ei,30,100.0,94.629,0.0,0
real_chemlex_acidamine,knn_ucb,30,68.21,46.07,31.79,0
real_chemlex_acidamine,random,31,97.0,96.946,3.0,0
real_chemlex_acidamine,public_incumbent,31,97.52,97.256,2.48,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,31,97.97,97.44,2.03,0
real_chemlex_acidamine,mixed_kernel_gp_ei,31,96.91,96.91,3.09,0
real_chemlex_acidamine,knn_ucb,31,97.06,97.015,2.94,0
real_chemlex_acidamine,random,32,91.35,91.35,8.65,0
real_chemlex_acidamine,public_incumbent,32,94.26,93.969,5.74,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,32,97.31,96.952,2.69,0
real_chemlex_acidamine,mixed_kernel_gp_ei,32,91.35,91.35,8.65,0
real_chemlex_acidamine,knn_ucb,32,95.44,95.39,4.56,0
real_chemlex_acidamine,random,33,97.14,97.14,2.86,0
real_chemlex_acidamine,public_incumbent,33,97.46,97.236,2.54,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,33,97.14,97.14,2.86,0
real_chemlex_acidamine,mixed_kernel_gp_ei,33,97.14,97.14,2.86,0
real_chemlex_acidamine,knn_ucb,33,97.14,97.14,2.86,0
real_chemlex_acidamine,random,34,80.02,73.917,19.98,0
real_chemlex_acidamine,public_incumbent,34,94.26,78.123,5.74,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,34,99.3,73.722,0.7,0
real_chemlex_acidamine,mixed_kernel_gp_ei,34,94.26,75.27,5.74,0
real_chemlex_acidamine,knn_ucb,34,95.69,86.33,4.31,0
real_chemlex_acidamine,random,35,61.29,61.29,38.71,0
real_chemlex_acidamine,public_incumbent,35,86.75,69.594,13.25,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,35,90.76,90.265,9.24,0
real_chemlex_acidamine,mixed_kernel_gp_ei,35,92.91,91.733,7.09,0
real_chemlex_acidamine,knn_ucb,35,89.77,89.77,10.23,0
real_chemlex_acidamine,random,36,90.48,74.568,9.52,0
real_chemlex_acidamine,public_incumbent,36,77.9,76.908,22.1,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,36,72.94,72.94,27.06,0
real_chemlex_acidamine,mixed_kernel_gp_ei,36,72.94,72.94,27.06,0
real_chemlex_acidamine,knn_ucb,36,92.4,79.232,7.6,0
real_chemlex_acidamine,random,37,48.03,18.994,51.97,0
real_chemlex_acidamine,public_incumbent,37,93.34,24.876,6.66,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,37,88.24,65.285,11.76,0
real_chemlex_acidamine,mixed_kernel_gp_ei,37,88.24,62.472,11.76,0
real_chemlex_acidamine,knn_ucb,37,97.63,81.259,2.37,0
real_chemlex_acidamine,random,38,80.46,71.874,19.54,0
real_chemlex_acidamine,public_incumbent,38,90.61,66.361,9.39,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,38,87.2,81.112,12.8,0
real_chemlex_acidamine,mixed_kernel_gp_ei,38,87.2,81.112,12.8,0
real_chemlex_acidamine,knn_ucb,38,95.97,92.658,4.03,0
real_chemlex_acidamine,random,39,62.17,54.378,37.83,0
real_chemlex_acidamine,public_incumbent,39,23.21,23.21,76.79,0
real_chemlex_acidamine,mixed_kernel_gp_ucb,39,36.0,24.489,64.0,0
real_chemlex_acidamine,mixed_kernel_gp_ei,39,34.93,25.554,65.07,0
real_chemlex_acidamine,knn_ucb,39,94.0,75.321,6.0,0
real_chemlex_acidamine,random,40,95.95,95.95,4.05,0
