dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_matbench_expt_gap,random,0,47.5,47.5,52.5,0
real_matbench_expt_gap,public_incumbent,0,47.5,47.5,52.5,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,0,55.875,52.525,44.125,0
real_matbench_expt_gap,mixed_kernel_gp_ei,0,55.875,52.525,44.125,0
real_matbench_expt_gap,knn_ucb,0,64.375,62.6875,35.625,0
real_matbench_expt_gap,random,1,71.375,71.375,28.625,0
real_matbench_expt_gap,public_incumbent,1,71.375,71.375,28.625,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,1,71.375,71.375,28.625,0
real_matbench_expt_gap,mixed_kernel_gp_ei,1,71.375,71.375,28.625,0
real_matbench_expt_gap,knn_ucb,1,71.375,71.375,28.625,0
real_matbench_expt_gap,random,2,29.0,27.475,71.0,0
real_matbench_expt_gap,public_incumbent,2,37.875,32.6375,62.125,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,2,41.875,33.2625,58.125,0
real_matbench_expt_gap,mixed_kernel_gp_ei,2,32.5,31.3875,67.5,0
real_matbench_expt_gap,knn_ucb,2,47.375,32.35,52.625,0
real_matbench_expt_gap,random,3,37.5,30.625,62.5,0
real_matbench_expt_gap,public_incumbent,3,32.25,26.8125,67.75,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,3,59.5,37.525,40.5,0
real_matbench_expt_gap,mixed_kernel_gp_ei,3,55.25,40.325,44.75,0
real_matbench_expt_gap,knn_ucb,3,38.5,36.0625,61.5,0
real_matbench_expt_gap,random,4,40.625,30.5,59.375,0
real_matbench_expt_gap,public_incumbent,4,20.75,14.1625,79.25,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,4,63.75,28.925,36.25,0
real_matbench_expt_gap,mixed_kernel_gp_ei,4,63.75,28.925,36.25,0
real_matbench_expt_gap,knn_ucb,4,13.5,10.4625,86.5,0
real_matbench_expt_gap,random,5,86.125,86.125,13.875,0
real_matbench_expt_gap,public_incumbent,5,86.125,86.125,13.875,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,5,100.0,94.45,0.0,1
real_matbench_expt_gap,mixed_kernel_gp_ei,5,86.125,86.125,13.875,0
real_matbench_expt_gap,knn_ucb,5,86.125,86.125,13.875,0
real_matbench_expt_gap,random,6,36.25,36.25,63.75,0
real_matbench_expt_gap,public_incumbent,6,36.25,36.25,63.75,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,6,71.25,56.0,28.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,6,91.25,50.05,8.75,0
real_matbench_expt_gap,knn_ucb,6,42.625,38.3875,57.375,0
real_matbench_expt_gap,random,7,60.625,60.625,39.375,0
real_matbench_expt_gap,public_incumbent,7,70.625,61.625,29.375,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,7,60.625,60.625,39.375,0
real_matbench_expt_gap,mixed_kernel_gp_ei,7,60.625,60.625,39.375,0
real_matbench_expt_gap,knn_ucb,7,91.25,74.3625,8.75,0
real_matbench_expt_gap,random,8,45.625,45.625,54.375,0
real_matbench_expt_gap,public_incumbent,8,91.25,83.4625,8.75,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,8,91.25,64.0625,8.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,8,53.375,52.6,46.625,0
real_matbench_expt_gap,knn_ucb,8,100.0,83.55,0.0,1
real_matbench_expt_gap,random,9,45.0,45.0,55.0,0
real_matbench_expt_gap,public_incumbent,9,91.25,74.2125,8.75,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,9,91.25,87.875,8.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,9,50.0,45.5,50.0,0
real_matbench_expt_gap,knn_ucb,9,53.625,46.725,46.375,0
real_matbench_expt_gap,random,10,37.75,29.5375,62.25,0
real_matbench_expt_gap,public_incumbent,10,17.125,16.7,82.875,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,10,16.25,16.25,83.75,0
real_matbench_expt_gap,mixed_kernel_gp_ei,10,52.5,19.875,47.5,0
real_matbench_expt_gap,knn_ucb,10,20.0,18.75,80.0,0
real_matbench_expt_gap,random,11,52.5,49.275,47.5,0
real_matbench_expt_gap,public_incumbent,11,38.75,35.0,61.25,0
real_matbench_expt_gap,mixed_kernel_gp_ucb,11,71.25,60.725,28.75,0
