dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_moleculenet_freesolv,random,0,71.4333,68.85,28.5667,1
real_moleculenet_freesolv,public_incumbent,0,79.0667,72.8533,20.9333,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,0,71.4333,63.9233,28.5667,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,0,71.4333,63.9233,28.5667,1
real_moleculenet_freesolv,knn_ucb,0,59.1333,57.2133,40.8667,0
real_moleculenet_freesolv,random,1,85.0667,80.57,14.9333,1
real_moleculenet_freesolv,public_incumbent,1,76.8667,43.5333,23.1333,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,1,69.4333,53.21,30.5667,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,1,71.4333,58.4033,28.5667,1
real_moleculenet_freesolv,knn_ucb,1,77.2333,55.95,22.7667,1
real_moleculenet_freesolv,random,2,77.2333,77.2333,22.7667,1
real_moleculenet_freesolv,public_incumbent,2,79.0667,78.5167,20.9333,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,2,79.0667,77.9667,20.9333,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,2,77.2333,77.2333,22.7667,1
real_moleculenet_freesolv,knn_ucb,2,79.0667,77.4166,20.9333,1
real_moleculenet_freesolv,random,3,64.0333,64.0333,35.9667,0
real_moleculenet_freesolv,public_incumbent,3,71.4333,64.98,28.5667,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,3,40.9667,39.5267,59.0333,0
real_moleculenet_freesolv,mixed_kernel_gp_ei,3,42.1,41.8067,57.9,0
real_moleculenet_freesolv,knn_ucb,3,69.4333,53.4433,30.5667,1
real_moleculenet_freesolv,random,4,76.8667,46.7567,23.1333,1
real_moleculenet_freesolv,public_incumbent,4,76.8667,46.3567,23.1333,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,4,71.4333,60.51,28.5667,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,4,71.4333,60.51,28.5667,1
real_moleculenet_freesolv,knn_ucb,4,100.0,60.27,0.0,1
real_moleculenet_freesolv,random,5,95.4,95.4,4.6,1
real_moleculenet_freesolv,public_incumbent,5,100.0,99.54,0.0,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,5,100.0,100.0,0.0,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,5,100.0,100.0,0.0,1
real_moleculenet_freesolv,knn_ucb,5,100.0,99.54,0.0,1
real_moleculenet_freesolv,random,6,73.0667,68.4734,26.9333,1
real_moleculenet_freesolv,public_incumbent,6,64.0333,59.6766,35.9667,0
real_moleculenet_freesolv,mixed_kernel_gp_ucb,6,76.8667,66.0767,23.1333,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,6,64.0333,63.51,35.9667,0
real_moleculenet_freesolv,knn_ucb,6,64.0333,63.51,35.9667,0
real_moleculenet_freesolv,random,7,49.2,49.2,50.8,0
real_moleculenet_freesolv,public_incumbent,7,50.1,49.29,49.9,0
real_moleculenet_freesolv,mixed_kernel_gp_ucb,7,49.2,49.2,50.8,0
real_moleculenet_freesolv,mixed_kernel_gp_ei,7,49.2,49.2,50.8,0
real_moleculenet_freesolv,knn_ucb,7,50.1,49.29,49.9,0
real_moleculenet_freesolv,random,8,56.1667,54.6067,43.8333,0
real_moleculenet_freesolv,public_incumbent,8,71.4333,52.9133,28.5667,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,8,44.7,44.2867,55.3,0
real_moleculenet_freesolv,mixed_kernel_gp_ei,8,44.7,44.2867,55.3,0
real_moleculenet_freesolv,knn_ucb,8,100.0,70.4,0.0,1
real_moleculenet_freesolv,random,9,38.9667,38.8967,61.0333,0
real_moleculenet_freesolv,public_incumbent,9,38.7333,38.7333,61.2667,0
real_moleculenet_freesolv,mixed_kernel_gp_ucb,9,79.0667,65.57,20.9333,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,9,75.8,65.2433,24.2,1
real_moleculenet_freesolv,knn_ucb,9,50.5667,45.89,49.4333,0
real_moleculenet_freesolv,random,10,42.1667,42.0167,57.8333,0
real_moleculenet_freesolv,public_incumbent,10,71.4333,69.09,28.5667,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,10,79.0667,63.4166,20.9333,1
real_moleculenet_freesolv,mixed_kernel_gp_ei,10,69.4333,62.09,30.5667,1
real_moleculenet_freesolv,knn_ucb,10,59.1333,47.8267,40.8667,0
real_moleculenet_freesolv,random,11,35.0333,28.62,64.9667,0
real_moleculenet_freesolv,public_incumbent,11,76.8667,42.4967,23.1333,1
real_moleculenet_freesolv,mixed_kernel_gp_ucb,11,68.2,46.8333,31.8,0
