dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_moleculenet_lipophilicity,random,0,82.25,82.25,11.5,0
real_moleculenet_lipophilicity,public_incumbent,0,85.0,83.6,8.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,0,85.0,85.0,8.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,0,90.0,88.0,3.75,0
real_moleculenet_lipophilicity,knn_ucb,0,92.5,90.0,1.25,0
real_moleculenet_lipophilicity,random,1,91.25,90.75,2.5,0
real_moleculenet_lipophilicity,public_incumbent,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,knn_ucb,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,random,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,public_incumbent,2,90.0,89.05,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,knn_ucb,2,90.0,89.525,3.75,0
real_moleculenet_lipophilicity,random,3,80.0,80.0,13.75,0
real_moleculenet_lipophilicity,public_incumbent,3,84.25,81.4375,9.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,3,91.25,88.25,2.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,3,91.25,88.25,2.5,0
real_moleculenet_lipophilicity,knn_ucb,3,87.5,87.5,6.25,0
real_moleculenet_lipophilicity,random,4,83.75,80.9375,10.0,0
real_moleculenet_lipophilicity,public_incumbent,4,84.25,81.6,9.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,4,87.125,84.2,6.625,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,4,91.25,89.75,2.5,0
real_moleculenet_lipophilicity,knn_ucb,4,91.125,91.125,2.625,0
real_moleculenet_lipophilicity,random,5,80.25,80.0375,13.5,0
real_moleculenet_lipophilicity,public_incumbent,5,90.0,85.25,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,5,93.75,90.7375,0.0,1
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,5,91.875,85.6125,1.875,0
real_moleculenet_lipophilicity,knn_ucb,5,87.5,83.3125,6.25,0
real_moleculenet_lipophilicity,random,6,87.125,84.8125,6.625,0
real_moleculenet_lipophilicity,public_incumbent,6,84.25,83.9,9.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,6,85.25,82.775,8.5,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ei,6,85.25,82.775,8.5,0
real_moleculenet_lipophilicity,knn_ucb,6,82.5,82.5,11.25,0
real_moleculenet_lipophilicity,random,7,83.875,83.8625,9.875,0
real_moleculenet_lipophilicity,public_incumbent,7,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,mixed_kernel_gp_ucb,7,88.625,85.45,5.125,0
