dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_suzuki_miyaura,random,0,94.3764,87.3048,5.6236,0
real_suzuki_miyaura,public_incumbent,0,93.6745,93.3372,6.3255,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,mixed_kernel_gp_ei,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,knn_ucb,0,78.2265,76.6645,21.7735,0
real_suzuki_miyaura,random,1,90.7864,81.5508,9.2136,0
real_suzuki_miyaura,public_incumbent,1,98.2021,98.058,1.7979,1
real_suzuki_miyaura,mixed_kernel_gp_ucb,1,89.2206,87.7034,10.7794,0
real_suzuki_miyaura,mixed_kernel_gp_ei,1,87.7846,87.129,12.2154,0
real_suzuki_miyaura,knn_ucb,1,95.4927,95.4927,4.5073,0
real_suzuki_miyaura,random,2,79.8875,72.3668,20.1125,0
real_suzuki_miyaura,public_incumbent,2,95.3553,82.6839,4.6447,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,2,95.5682,89.7686,4.4318,0
real_suzuki_miyaura,mixed_kernel_gp_ei,2,95.5682,89.7686,4.4318,0
real_suzuki_miyaura,knn_ucb,2,95.876,89.993,4.124,0
real_suzuki_miyaura,random,3,90.281,82.2869,9.719,0
real_suzuki_miyaura,public_incumbent,3,70.2958,70.2958,29.7042,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,3,79.0135,77.1589,20.9865,0
real_suzuki_miyaura,mixed_kernel_gp_ei,3,95.6509,78.8227,4.3491,0
real_suzuki_miyaura,knn_ucb,3,70.2958,70.2958,29.7042,0
real_suzuki_miyaura,random,4,84.9881,83.2689,15.0119,0
real_suzuki_miyaura,public_incumbent,4,91.1515,89.1065,8.8485,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,4,96.6116,92.5055,3.3884,0
real_suzuki_miyaura,mixed_kernel_gp_ei,4,98.6075,93.4305,1.3925,1
real_suzuki_miyaura,knn_ucb,4,83.8205,75.8011,16.1795,0
real_suzuki_miyaura,random,5,87.5699,87.5699,12.4301,0
real_suzuki_miyaura,public_incumbent,5,93.3265,92.1752,6.6735,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,5,93.3265,92.8847,6.6735,0
real_suzuki_miyaura,mixed_kernel_gp_ei,5,93.3265,92.8215,6.6735,0
real_suzuki_miyaura,knn_ucb,5,92.6953,92.1828,7.3047,0
real_suzuki_miyaura,random,6,88.9599,77.4764,11.0401,0
real_suzuki_miyaura,public_incumbent,6,90.3264,63.5369,9.6736,0
real_suzuki_miyaura,mixed_kernel_gp_ucb,6,71.1653,53.7896,28.8347,0
real_suzuki_miyaura,mixed_kernel_gp_ei,6,71.1653,53.7896,28.8347,0
real_suzuki_miyaura,knn_ucb,6,68.7153,60.8751,31.2847,0
