dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
synthetic_materials_i,no_care_random,0,93.3674,92.8754,3.1065,0,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,1,96.4739,93.6447,0.0,1,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,2,86.86,86.86,9.6139,0,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,3,85.9871,85.9871,10.4868,0,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,4,96.4739,96.433,0.0,1,0,0,0,0,0.5,0
synthetic_materials_i,incumbent,0,90.5243,90.4881,5.9496,0,0,0,0,0,0.8571,5
synthetic_materials_i,incumbent,1,96.4345,92.424,0.0394,1,0,0,0,0,0.75,5
synthetic_materials_i,incumbent,2,96.4345,93.993,0.0394,1,0,0,0,0,0.875,6
synthetic_materials_i,incumbent,3,93.3674,93.3674,3.1065,0,0,0,0,0,0.875,6
synthetic_materials_i,incumbent,4,96.4739,96.3921,0.0,1,0,0,0,0,0.875,6
synthetic_materials_i,llm_no_gate,0,92.4357,91.4438,4.0382,0,1,0,0,3,0.875,6
synthetic_materials_i,llm_no_gate,1,91.0898,91.0898,5.3841,0,3,2,0,3,0.75,5
synthetic_materials_i,llm_no_gate,2,94.897,93.6719,1.5769,1,1,1,0,3,0.875,6
synthetic_materials_i,llm_no_gate,3,93.5761,93.437,2.8978,1,2,1,0,3,0.8571,5
synthetic_materials_i,llm_no_gate,4,96.4739,96.3921,0.0,1,2,0,0,3,0.875,6
synthetic_materials_i,llm_gate_v1,0,92.4357,91.4438,4.0382,0,1,0,0,3,0.875,6
synthetic_materials_i,llm_gate_v1,1,96.4345,91.9806,0.0394,1,2,1,0,3,0.75,5
synthetic_materials_i,llm_gate_v1,2,94.897,93.6719,1.5769,1,1,1,0,3,0.875,6
synthetic_materials_i,llm_gate_v1,3,93.5761,93.437,2.8978,1,2,1,0,3,0.8571,5
synthetic_materials_i,llm_gate_v1,4,96.4739,96.3921,0.0,1,2,0,0,3,0.875,6
