dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
synthetic_suzuki_i,no_care_random,0,84.6023,84.6023,2.7964,1,0,0,0,0,0.5,0
synthetic_suzuki_i,no_care_random,1,78.8393,77.1341,8.5594,0,0,0,0,0,0.5,0
synthetic_suzuki_i,no_care_random,2,77.8568,77.8568,9.5419,0,0,0,0,0,0.5,0
synthetic_suzuki_i,no_care_random,3,87.3987,69.7816,0.0,1,0,0,0,0,0.5,0
synthetic_suzuki_i,no_care_random,4,67.8199,63.3922,19.5788,0,0,0,0,0,0.5,0
synthetic_suzuki_i,incumbent,0,87.2966,87.2966,0.1021,1,0,0,0,0,0.8571,5
synthetic_suzuki_i,incumbent,1,84.8155,80.8043,2.5832,1,0,0,0,0,0.75,5
synthetic_suzuki_i,incumbent,2,87.3987,86.4666,0.0,1,0,0,0,0,0.875,6
synthetic_suzuki_i,incumbent,3,71.2208,68.966,16.1779,0,0,0,0,0,0.5,0
synthetic_suzuki_i,incumbent,4,78.8393,77.4676,8.5594,0,0,0,0,0,0.875,6
synthetic_suzuki_i,llm_no_gate,0,87.2966,87.2966,0.1021,1,1,0,0,3,0.8571,5
synthetic_suzuki_i,llm_no_gate,1,84.8155,79.4672,2.5832,1,2,2,0,3,0.75,5
synthetic_suzuki_i,llm_no_gate,2,87.3987,86.4666,0.0,1,2,2,0,3,0.875,6
synthetic_suzuki_i,llm_no_gate,3,71.2208,68.966,16.1779,0,2,1,0,3,0.5,0
synthetic_suzuki_i,llm_no_gate,4,78.1226,77.2287,9.2761,0,2,2,0,3,0.8571,5
synthetic_suzuki_i,llm_gate_v1,0,87.2966,87.2966,0.1021,1,1,0,0,3,0.8571,5
synthetic_suzuki_i,llm_gate_v1,1,84.8155,79.4672,2.5832,1,2,2,0,3,0.75,5
synthetic_suzuki_i,llm_gate_v1,2,87.3987,86.4666,0.0,1,2,2,0,3,0.875,6
synthetic_suzuki_i,llm_gate_v1,3,71.2208,68.966,16.1779,0,2,1,0,3,0.5,0
synthetic_suzuki_i,llm_gate_v1,4,78.1226,77.2287,9.2761,0,2,2,0,3,0.8571,5
