source_domain,target_domain,method,n,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,simple_regret_mean,simple_regret_std,top10_hit_mean,top10_hit_std,intervention_count_mean,intervention_count_std,bad_intervention_count_mean,bad_intervention_count_std
bh,suzuki,care_no_gate,10,99.7664,0.0,96.61895,1.33701,0.0,0.0,1.0,0.0,6.6,1.07497,0.1,0.31623
bh,suzuki,care_transfer,10,99.0283,2.33408,93.19433,2.65448,0.7381,2.33408,1.0,0.0,0.3,0.94868,0.0,0.0
bh,suzuki,kernel_ucb,10,98.38791,2.97243,90.7881,4.83741,1.37849,2.97243,1.0,0.0,0.0,0.0,0.0,0.0
bh,suzuki,llm_bo,10,99.7664,0.0,93.31918,2.99989,0.0,0.0,1.0,0.0,5.0,1.49071,0.8,0.91894
bh,suzuki,llm_target_only,10,95.41883,5.31198,90.95092,3.66456,4.34757,5.31198,1.0,0.0,0.0,0.0,0.0,0.0
bh,suzuki,llm_transfer,10,99.7664,0.0,97.44614,0.40893,0.0,0.0,1.0,0.0,8.0,0.0,0.2,0.42164
bh,suzuki,random,10,82.23541,4.69448,80.72005,3.16015,17.53099,4.69448,0.7,0.48305,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,care_no_gate,10,89.581,8.27541,84.90333,12.44928,10.419,8.27541,0.5,0.52705,6.0,1.63299,0.7,0.94868
real_chemlex_train,real_chemlex_test,care_transfer,10,87.78,11.03572,84.80911,13.20972,12.22,11.03572,0.6,0.5164,0.1,0.31623,0.1,0.31623
real_chemlex_train,real_chemlex_test,kernel_ucb,10,84.975,16.35792,82.45056,16.52667,15.025,16.35792,0.6,0.5164,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,llm_bo,10,83.622,16.63708,82.37189,17.01814,16.378,16.63708,0.5,0.52705,4.0,1.1547,1.0,1.41421
real_chemlex_train,real_chemlex_test,llm_target_only,10,83.504,15.96625,82.32344,16.7757,16.496,15.96625,0.5,0.52705,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,llm_transfer,10,88.287,7.8859,84.58755,13.93501,11.713,7.8859,0.5,0.52705,8.0,0.0,0.4,0.84327
real_chemlex_train,real_chemlex_test,random,10,93.604,6.57949,89.33689,8.06021,6.396,6.57949,0.8,0.42164,0.0,0.0,0.0,0.0
suzuki,chemlex,care_no_gate,10,96.04092,1.53345,92.4414,1.28367,0.72738,1.53345,1.0,0.0,6.9,0.99443,0.1,0.31623
suzuki,chemlex,care_transfer,10,94.22247,1.75679,90.56726,4.45825,2.54583,1.75679,1.0,0.0,0.3,0.94868,0.0,0.0
suzuki,chemlex,kernel_ucb,10,94.80987,2.63625,90.9094,3.19626,1.95843,2.63625,1.0,0.0,0.0,0.0,0.0,0.0
suzuki,chemlex,llm_bo,10,95.28186,1.92116,91.79529,2.29509,1.48644,1.92116,1.0,0.0,5.9,0.8756,1.0,1.05409
suzuki,chemlex,llm_target_only,10,93.86107,2.15785,90.56098,4.69503,2.90723,2.15785,1.0,0.0,0.0,0.0,0.0,0.0
suzuki,chemlex,llm_transfer,10,94.22247,1.75679,92.38629,1.22846,2.54583,1.75679,1.0,0.0,8.0,0.0,0.3,0.67495
suzuki,chemlex,random,10,86.72086,6.43008,85.94637,6.95877,10.04744,6.43008,0.7,0.48305,0.0,0.0,0.0,0.0
