source_domain,target_domain,method,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,selected_patches,proposal_source,proposal_model
bh,suzuki,random,0,75.0786,74.78147,24.6878,0,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,0,99.7664,95.96174,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,0,99.7664,92.65386,0.0,1,0,0,"role_transfer,target_calibrated_prior,value_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,0,99.7664,95.96174,0.0,1,4,2,target_calibrated_prior,api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,0,99.7664,96.87474,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,0,99.7664,95.96174,0.0,1,5,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,0,99.7664,95.96174,0.0,1,0,0,target_only:llm_bo,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,1,89.4652,82.1402,10.3012,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,1,99.7664,93.92059,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,1,99.7664,90.27259,0.0,1,0,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,1,99.7664,93.92059,0.0,1,3,1,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,1,99.7664,97.40099,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,1,99.7664,97.40099,0.0,1,6,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,1,99.7664,90.27259,0.0,1,0,0,target_only:llm_raw,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,2,77.3963,77.3963,22.3701,0,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,2,91.5494,83.64333,8.217,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,2,92.3854,88.78204,7.381,1,0,0,llm_interaction_patch,api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,2,99.7664,89.50304,0.0,1,5,0,"llm_interaction_patch,role_transfer,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,2,99.7664,97.28083,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,2,99.7664,94.54183,0.0,1,8,0,llm_interaction_patch,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,2,99.7664,93.62883,0.0,1,3,0,"llm_interaction_patch,target_only:llm_bo",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,3,81.6454,81.6454,18.121,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,3,99.7664,93.72607,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,3,84.0016,83.09349,15.7648,1,0,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,3,99.7664,97.75296,0.0,1,5,2,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,3,99.7664,97.75296,0.0,1,8,1,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,3,99.7664,97.75296,0.0,1,5,0,"llm_interaction_patch,target_calibrated_prior,value_prior",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,3,99.7664,95.73951,0.0,1,0,0,target_only:llm_bo,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,4,77.3963,77.09039,22.3701,0,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,4,94.1985,88.83398,5.5679,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,4,92.3854,89.21502,7.381,1,0,0,target_calibrated_prior,api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,4,99.7664,92.41623,0.0,1,7,1,target_calibrated_prior,api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,4,99.7664,97.20436,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,4,99.7664,95.34839,0.0,1,7,1,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,4,99.7664,92.41623,0.0,1,0,0,target_only:llm_bo,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,5,84.1353,83.50668,15.6311,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,5,99.7664,89.54604,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,5,99.7664,94.30771,0.0,1,0,0,"role_transfer,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,5,99.7664,89.84969,0.0,1,4,0,"llm_interaction_patch,role_transfer,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,5,99.7664,97.40099,0.0,1,8,1,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,5,99.7664,96.58088,0.0,1,7,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
