source_domain,target_domain,method,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,selected_patches,proposal_source,proposal_model
bh,suzuki,random,0,75.0786,74.78147,24.6878,0,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,0,99.7664,95.96174,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,0,91.5494,85.29651,8.217,1,0,0,"role_transfer,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,0,99.7664,95.96174,0.0,1,4,2,"role_transfer,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,0,99.7664,96.87474,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,0,99.7664,95.96174,0.0,1,4,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,0,91.5494,85.29651,8.217,1,0,0,target_only:llm_raw,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,1,89.4652,82.1402,10.3012,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,1,99.7664,93.92059,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,1,99.7664,90.89124,0.0,1,0,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,1,99.7664,95.66079,0.0,1,4,1,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,1,99.7664,97.40099,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,1,99.7664,97.40099,0.0,1,6,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,1,99.7664,90.89124,0.0,1,0,0,target_only:llm_raw,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,random,2,77.3963,77.3963,22.3701,0,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,kernel_ucb,2,91.5494,83.64333,8.217,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,llm_target_only,2,92.3854,88.78204,7.381,1,0,0,llm_interaction_patch,api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_bo,2,99.7664,88.44837,0.0,1,6,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
bh,suzuki,llm_transfer,2,99.7664,97.28083,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_no_gate,2,99.7664,94.54183,0.0,1,8,0,llm_interaction_patch,api_source_transfer,openai/gpt-5.6-sol
bh,suzuki,care_transfer,2,94.1985,90.45696,5.5679,1,1,0,"llm_interaction_patch,target_only:llm_raw",api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,random,0,85.4565,85.4565,11.3118,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,kernel_ucb,0,90.5268,88.8367,6.2415,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,llm_target_only,0,96.7683,93.3191,0.0,1,0,0,"role_transfer,target_calibrated_prior,value_prior",api_target_only,openai/gpt-5.6-sol
suzuki,chemlex,llm_bo,0,96.7683,90.7321,0.0,1,6,1,"target_calibrated_prior,value_prior",api_target_only,openai/gpt-5.6-sol
suzuki,chemlex,llm_transfer,0,96.7683,93.49093,0.0,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,care_no_gate,0,96.7683,93.56107,0.0,1,7,0,"llm_interaction_patch,target_calibrated_prior",api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,care_transfer,0,96.7683,90.7321,0.0,1,2,0,"target_calibrated_prior,target_only:llm_bo",api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,random,1,93.0406,93.0406,3.7277,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,kernel_ucb,1,96.7683,94.28317,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,llm_target_only,1,93.1314,93.11122,3.6369,1,0,0,llm_interaction_patch,api_target_only,openai/gpt-5.6-sol
suzuki,chemlex,llm_bo,1,93.1314,93.07087,3.6369,1,5,0,llm_interaction_patch,api_target_only,openai/gpt-5.6-sol
suzuki,chemlex,llm_transfer,1,93.1314,93.12131,3.6369,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,care_no_gate,1,96.7683,93.50523,0.0,1,6,0,llm_interaction_patch,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,care_transfer,1,93.1314,93.07087,3.6369,1,0,0,target_only:llm_bo,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,random,2,91.0161,91.0161,5.7522,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,kernel_ucb,2,96.7683,94.8509,0.0,1,0,0,,api_source_transfer,openai/gpt-5.6-sol
suzuki,chemlex,llm_target_only,2,92.0383,91.92472,4.73,1,0,0,llm_interaction_patch,api_target_only,openai/gpt-5.6-sol
suzuki,chemlex,llm_bo,2,96.7683,94.21177,0.0,1,4,0,"llm_interaction_patch,target_calibrated_prior",api_target_only,openai/gpt-5.6-sol
suzuki,chemlex,llm_transfer,2,93.1314,92.77491,3.6369,1,8,0,role_transfer,api_source_transfer,openai/gpt-5.6-sol
