dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_chemlex_acidamine,incumbent,0,90.61,78.532,9.39,0,0,0,0,0,0,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,transfer_gate_v1,0,70.48,70.48,29.52,0,6,1,0,7,6776,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,transfer_strict_gate_v1,0,90.61,78.532,9.39,0,0,0,0,0,0,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,transfer_value_prior_gate_v1,0,70.48,70.48,29.52,0,6,1,0,7,6776,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,transfer_value_prior_strict_gate_v1,0,90.61,78.532,9.39,0,0,0,0,0,0,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,transfer_descriptor_target_calibrated_gate_v1,0,70.48,70.48,29.52,0,6,1,0,7,6776,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,transfer_descriptor_target_calibrated_strict_gate_v1,0,90.61,78.532,9.39,0,0,0,0,0,0,0,0,96,0.4663,0.5,0
real_chemlex_acidamine,incumbent,1,100.0,98.412,0.0,0,0,0,0,0,0,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,transfer_gate_v1,1,100.0,98.015,0.0,0,2,2,0,5,8546,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,transfer_strict_gate_v1,1,100.0,98.412,0.0,0,0,0,0,0,0,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,transfer_value_prior_gate_v1,1,100.0,98.015,0.0,0,2,2,0,5,8546,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,transfer_value_prior_strict_gate_v1,1,100.0,98.412,0.0,0,0,0,0,0,0,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,transfer_descriptor_target_calibrated_gate_v1,1,100.0,98.015,0.0,0,2,2,0,5,8546,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,transfer_descriptor_target_calibrated_strict_gate_v1,1,100.0,98.412,0.0,0,0,0,0,0,0,0,0,96,0.4823,0.5,0
real_chemlex_acidamine,incumbent,2,82.07,82.07,17.93,0,0,0,0,0,0,0,0,96,0.472,0.5,0
real_chemlex_acidamine,transfer_gate_v1,2,82.07,82.07,17.93,0,5,0,0,7,207,0,0,96,0.472,0.5,0
real_chemlex_acidamine,transfer_strict_gate_v1,2,82.07,82.07,17.93,0,0,0,0,0,0,0,0,96,0.472,0.5,0
