dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,no_care_random,0,94.3764,87.3048,5.6236,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,target_local_no_gate,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,target_local_gate_v1,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,transfer_no_gate,0,93.6745,93.3372,6.3255,0,2,1,0,7,29956,48,0.318,0.5,0
real_suzuki_miyaura,transfer_gate_v1,0,93.6745,93.3372,6.3255,0,2,1,0,7,29956,48,0.318,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,0,93.6745,93.3372,6.3255,0,3,1,0,7,29308,48,0.318,0.5,0
real_suzuki_miyaura,no_care_random,1,90.7864,81.5508,9.2136,0,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,target_local_no_gate,1,98.2021,98.058,1.7979,1,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,target_local_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_no_gate,1,98.5294,98.0907,1.4706,1,1,0,0,7,34304,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_gate_v1,1,98.5294,98.0907,1.4706,1,1,0,0,7,34304,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,7,34304,48,0.3319,0.5,0
real_suzuki_miyaura,no_care_random,2,79.8875,72.3668,20.1125,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,target_local_no_gate,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,target_local_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_no_gate,2,80.8541,73.9513,19.1459,0,3,3,0,7,31000,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_gate_v1,2,80.8541,73.9513,19.1459,0,3,3,0,7,31000,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,2,80.8541,73.9513,19.1459,0,3,3,0,7,31000,48,0.3113,0.5,0
real_suzuki_miyaura,no_care_random,3,90.281,82.2869,9.719,0,0,0,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,target_local_no_gate,3,70.2958,70.2958,29.7042,0,2,1,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,target_local_gate_v1,3,70.2958,70.2958,29.7042,0,2,1,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_no_gate,3,70.2958,70.2958,29.7042,0,3,1,0,7,18692,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_gate_v1,3,70.2958,70.2958,29.7042,0,3,1,0,7,18692,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,3,70.2958,70.2958,29.7042,0,3,0,0,7,18545,48,0.4306,0.5,0
real_suzuki_miyaura,no_care_random,4,84.9881,83.2689,15.0119,0,0,0,0,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,incumbent,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,target_local_no_gate,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,target_local_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,transfer_no_gate,4,94.8496,89.8461,5.1504,0,4,2,0,7,25779,48,0.4937,0.5,0
real_suzuki_miyaura,transfer_gate_v1,4,94.8496,89.8461,5.1504,0,4,2,0,7,25779,48,0.4937,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,4,91.1515,89.1065,8.8485,0,4,0,0,7,27815,48,0.4937,0.5,0
real_suzuki_miyaura,no_care_random,5,87.5699,87.5699,12.4301,0,0,0,0,0,0,48,0.4032,0.5,0
real_suzuki_miyaura,incumbent,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,48,0.4032,0.5,0
real_suzuki_miyaura,target_local_no_gate,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,48,0.4032,0.5,0
real_suzuki_miyaura,target_local_gate_v1,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,48,0.4032,0.5,0
real_suzuki_miyaura,transfer_no_gate,5,93.3265,92.1752,6.6735,0,4,3,0,7,24723,48,0.4032,0.5,0
real_suzuki_miyaura,transfer_gate_v1,5,93.3265,92.1752,6.6735,0,4,3,0,7,24723,48,0.4032,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,5,93.3265,92.1752,6.6735,0,4,3,0,7,24723,48,0.4032,0.5,0
real_suzuki_miyaura,no_care_random,6,88.9599,77.4764,11.0401,0,0,0,0,0,0,48,0.3267,0.5,0
real_suzuki_miyaura,incumbent,6,90.3264,63.5369,9.6736,0,0,0,0,0,0,48,0.3267,0.5,0
real_suzuki_miyaura,target_local_no_gate,6,90.3264,59.5725,9.6736,0,1,1,0,0,0,48,0.3267,0.5,0
real_suzuki_miyaura,target_local_gate_v1,6,90.3264,59.5725,9.6736,0,1,1,0,0,0,48,0.3267,0.5,0
real_suzuki_miyaura,transfer_no_gate,6,91.24,62.8491,8.76,0,3,3,0,7,20293,48,0.3267,0.5,0
real_suzuki_miyaura,transfer_gate_v1,6,91.24,62.8491,8.76,0,3,3,0,7,20293,48,0.3267,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,6,91.24,62.8491,8.76,0,2,2,0,7,20293,48,0.3267,0.5,0
real_suzuki_miyaura,no_care_random,7,94.8302,94.8302,5.1698,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,incumbent,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,target_local_no_gate,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,target_local_gate_v1,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,48,0.411,0.5,0
real_suzuki_miyaura,transfer_no_gate,7,95.8453,95.8409,4.1547,0,4,3,0,7,31759,48,0.411,0.5,0
real_suzuki_miyaura,transfer_gate_v1,7,95.8453,95.8409,4.1547,0,4,3,0,7,31759,48,0.411,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,7,95.8453,95.8409,4.1547,0,1,1,0,7,30583,48,0.411,0.5,0
