dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,0,0,96,0.428,0.5,0
real_suzuki_miyaura,transfer_gate_v1,0,93.6745,93.3372,6.3255,0,1,1,0,7,29443,0,0,96,0.428,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,1,0,0,7,3124,0,0,96,0.428,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,0,93.6745,93.3372,6.3255,0,1,1,0,7,29443,0,0,96,0.428,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,0,93.6745,93.3372,6.3255,0,1,0,0,7,3124,0,0,96,0.428,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,0,93.6745,93.3372,6.3255,0,7,5,0,10,83352,0,0,96,0.1312,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,0,93.6745,93.3372,6.3255,0,8,7,0,10,18820,0,0,96,0.1312,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,96,0.4182,0.5,0
real_suzuki_miyaura,transfer_gate_v1,1,98.5294,98.0907,1.4706,1,1,0,0,7,34304,0,0,96,0.4182,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,7,4092,0,0,96,0.4182,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,1,98.5294,98.0907,1.4706,1,1,0,0,7,34304,0,0,96,0.4182,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,7,4092,0,0,96,0.4182,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,1,98.2021,98.058,1.7979,1,7,5,0,10,91701,0,0,96,0.1372,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,1,98.2021,98.058,1.7979,1,6,6,0,7,12585,0,0,96,0.1372,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,96,0.4333,0.5,0
real_suzuki_miyaura,transfer_gate_v1,2,80.8541,73.9513,19.1459,0,4,2,0,7,31000,0,0,96,0.4333,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,2,95.3553,82.6839,4.6447,0,1,1,0,7,3804,0,0,96,0.4333,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,2,80.8541,73.9513,19.1459,0,4,2,0,7,31000,0,0,96,0.4333,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,2,95.3553,82.6839,4.6447,0,1,1,0,7,3804,0,0,96,0.4333,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,2,95.3553,82.6839,4.6447,0,1,0,0,9,75856,0,0,96,0.1186,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,7,6621,0,0,96,0.1186,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,96,0.4402,0.5,0
real_suzuki_miyaura,transfer_gate_v1,3,70.2958,70.2958,29.7042,0,2,0,0,7,18935,0,0,96,0.4402,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,3,70.2958,70.2958,29.7042,0,1,1,0,5,405,0,0,96,0.4402,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,3,70.2958,70.2958,29.7042,0,2,0,0,7,18935,0,0,96,0.4402,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,3,70.2958,70.2958,29.7042,0,1,1,0,5,405,0,0,96,0.4402,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,3,70.2958,70.2958,29.7042,0,3,1,0,8,61358,0,0,96,0.1424,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,3,70.2958,70.2958,29.7042,0,2,1,0,6,1959,0,0,96,0.1424,0.5,0
real_suzuki_miyaura,incumbent,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,0,0,96,0.4652,0.5,0
real_suzuki_miyaura,transfer_gate_v1,4,91.1515,89.1065,8.8485,0,5,2,0,7,28123,0,0,96,0.4652,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,7,5069,0,0,96,0.4652,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,4,91.1515,89.1065,8.8485,0,5,2,0,7,28123,0,0,96,0.4652,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,7,5069,0,0,96,0.4652,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,4,71.9874,69.0536,28.0126,0,7,5,0,10,76404,0,0,96,0.1711,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,4,94.8496,92.4348,5.1504,0,4,1,0,9,27010,0,0,96,0.1711,0.5,0
real_suzuki_miyaura,incumbent,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,0,0,96,0.4778,0.5,0
real_suzuki_miyaura,transfer_gate_v1,5,93.3265,92.1752,6.6735,0,4,3,0,7,24723,0,0,96,0.4778,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,5,93.3265,92.1752,6.6735,0,0,0,0,7,3843,0,0,96,0.4778,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,5,93.3265,92.1752,6.6735,0,4,3,0,7,24723,0,0,96,0.4778,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,5,93.3265,92.1752,6.6735,0,0,0,0,7,3843,0,0,96,0.4778,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,5,93.3265,92.1752,6.6735,0,6,1,0,10,88350,0,0,96,0.1558,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,5,93.3265,92.1752,6.6735,0,2,1,0,10,30116,0,0,96,0.1558,0.5,0
real_suzuki_miyaura,incumbent,6,90.3264,63.5369,9.6736,0,0,0,0,0,0,0,0,96,0.4101,0.5,0
real_suzuki_miyaura,transfer_gate_v1,6,91.24,62.8491,8.76,0,2,2,0,7,20293,0,0,96,0.4101,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,6,71.4861,56.3775,28.5139,0,3,1,0,6,925,0,0,96,0.4101,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,6,91.24,62.8491,8.76,0,2,2,0,7,20293,0,0,96,0.4101,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,6,71.4861,56.3775,28.5139,0,3,1,0,6,925,0,0,96,0.4101,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,6,91.24,62.8491,8.76,0,2,2,0,10,46968,0,0,96,0.1297,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,6,91.24,71.3445,8.76,0,2,0,0,6,10771,0,0,96,0.1297,0.5,0
real_suzuki_miyaura,incumbent,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,0,0,96,0.4438,0.5,0
real_suzuki_miyaura,transfer_gate_v1,7,95.8453,95.8409,4.1547,0,2,2,0,7,31691,0,0,96,0.4438,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,7,95.8453,95.8409,4.1547,0,0,0,0,7,2887,0,0,96,0.4438,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,7,95.8453,95.8409,4.1547,0,2,2,0,7,31691,0,0,96,0.4438,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,7,95.8453,95.8409,4.1547,0,0,0,0,7,2887,0,0,96,0.4438,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,7,95.8453,95.8409,4.1547,0,4,2,0,10,74708,0,0,96,0.1247,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,7,95.8453,95.8409,4.1547,0,0,0,0,7,7855,0,0,96,0.1247,0.5,0
real_suzuki_miyaura,incumbent,8,92.6924,91.7522,7.3076,0,0,0,0,0,0,0,0,96,0.4226,0.5,0
real_suzuki_miyaura,transfer_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,7,35282,0,0,96,0.4226,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,7,8295,0,0,96,0.4226,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,7,35282,0,0,96,0.4226,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,8,92.6924,91.7522,7.3076,0,0,0,0,7,8295,0,0,96,0.4226,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,8,95.6509,92.4911,4.3491,0,7,4,0,10,77032,0,0,96,0.1388,0.5,0
