dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,no_care_random,0,94.3764,87.3048,5.6236,0,0,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,1,0,0,7,3124,0,0,48,0.318,0.5,0
real_suzuki_miyaura,llm_transfer_gate_v1,0,93.6745,93.3372,6.3255,0,6,2,0,7,17386,7,0,48,0.318,0.5,0
real_suzuki_miyaura,llm_transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,6,1,0,7,2807,7,0,48,0.318,0.5,0
real_suzuki_miyaura,no_care_random,1,90.7864,81.5508,9.2136,0,0,0,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,7,6894,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,llm_transfer_gate_v1,1,98.2021,98.058,1.7979,1,6,6,0,7,20174,7,0,48,0.3319,0.5,0
real_suzuki_miyaura,llm_transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,5,5,0,7,4620,7,0,48,0.3319,0.5,0
real_suzuki_miyaura,no_care_random,2,79.8875,72.3668,20.1125,0,0,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,2,95.3553,82.6839,4.6447,0,1,1,0,7,3804,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,llm_transfer_gate_v1,2,82.8385,74.745,17.1615,0,7,3,0,7,18935,7,0,48,0.3113,0.5,0
real_suzuki_miyaura,llm_transfer_strict_gate_v1,2,86.5127,75.083,13.4873,0,7,1,0,7,2744,7,0,48,0.3113,0.5,0
real_suzuki_miyaura,no_care_random,3,90.281,82.2869,9.719,0,0,0,0,0,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,3,70.2958,70.2958,29.7042,0,1,1,0,5,405,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,llm_transfer_gate_v1,3,70.2958,70.2958,29.7042,0,5,3,0,6,10332,7,0,48,0.4306,0.5,0
real_suzuki_miyaura,llm_transfer_strict_gate_v1,3,70.2958,70.2958,29.7042,0,0,0,0,7,432,7,0,48,0.4306,0.5,0
real_suzuki_miyaura,no_care_random,4,84.9881,83.2689,15.0119,0,0,0,0,0,0,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,incumbent,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,7,5069,0,0,48,0.4937,0.5,0
real_suzuki_miyaura,llm_transfer_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,7,20321,7,0,48,0.4937,0.5,0
real_suzuki_miyaura,llm_transfer_strict_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,7,4887,7,0,48,0.4937,0.5,0
