dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_buchwald_hartwig,incumbent,0,70.6299,70.6299,29.3701,0,0,0,0,0,0,0,0,96,0.188,0.5,0
real_buchwald_hartwig,transfer_gate_v1,0,70.6299,70.6299,29.3701,0,4,1,0,7,27608,0,0,96,0.188,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,0,88.7252,72.4394,11.2748,0,7,2,0,7,581,0,0,96,0.188,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,0,70.6299,70.6299,29.3701,0,4,1,0,7,27608,0,0,96,0.188,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,0,88.7252,72.4394,11.2748,0,7,2,0,7,581,0,0,96,0.188,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,0,70.6299,70.6299,29.3701,0,4,1,0,7,27608,0,0,96,0.188,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,0,88.7252,72.4394,11.2748,0,7,2,0,7,581,0,0,96,0.188,0.5,0
real_buchwald_hartwig,incumbent,1,92.659,83.0859,7.341,0,0,0,0,0,0,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,transfer_gate_v1,1,92.659,80.0283,7.341,0,3,0,0,7,20089,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,1,89.8895,83.3141,10.1105,0,7,2,0,7,581,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,1,92.659,80.0283,7.341,0,3,0,0,7,20089,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,1,89.8895,83.3141,10.1105,0,7,2,0,7,581,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,1,92.659,80.0283,7.341,0,3,0,0,7,20089,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,1,89.8895,83.3141,10.1105,0,7,2,0,7,581,0,0,96,0.1836,0.5,0
real_buchwald_hartwig,incumbent,2,86.4129,77.9606,13.5871,0,0,0,0,0,0,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,transfer_gate_v1,2,79.7398,77.9605,20.2602,0,7,0,0,7,22947,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,2,79.8903,77.9755,20.1097,0,7,1,0,7,667,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,2,79.7398,77.9605,20.2602,0,7,0,0,7,22947,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,2,79.8903,77.9755,20.1097,0,7,1,0,7,667,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,2,79.7398,77.9605,20.2602,0,7,0,0,7,22947,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,2,79.8903,77.9755,20.1097,0,7,1,0,7,667,0,0,96,0.2367,0.5,0
real_buchwald_hartwig,incumbent,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,transfer_gate_v1,3,92.659,86.0584,7.341,0,5,0,0,7,6791,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,3,92.659,86.0584,7.341,0,5,0,0,7,6791,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,3,92.659,86.0584,7.341,0,5,0,0,7,6791,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3015,0.5,0
real_buchwald_hartwig,incumbent,4,94.6911,87.3772,5.3089,0,0,0,0,0,0,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,transfer_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,6,501,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,6,501,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,6,501,0,0,96,0.2414,0.5,0
real_buchwald_hartwig,incumbent,5,88.1675,86.3166,11.8325,0,0,0,0,0,0,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,transfer_gate_v1,5,92.1307,90.2925,7.8693,0,7,2,0,7,10225,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,5,88.1675,86.3166,11.8325,0,0,0,0,0,0,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,5,92.1307,90.2925,7.8693,0,7,2,0,7,10225,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,5,88.1675,86.3166,11.8325,0,0,0,0,0,0,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,5,92.1307,90.2925,7.8693,0,7,2,0,7,10225,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,5,88.1675,86.3166,11.8325,0,0,0,0,0,0,0,0,96,0.1172,0.5,0
real_buchwald_hartwig,incumbent,6,88.4449,88.1735,11.5551,0,0,0,0,0,0,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,transfer_gate_v1,6,88.4449,88.1735,11.5551,0,4,4,0,7,19495,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,6,88.4449,88.2277,11.5551,0,6,0,0,7,567,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,6,88.4449,88.1735,11.5551,0,4,4,0,7,19495,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,6,88.4449,88.2277,11.5551,0,6,0,0,7,567,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,6,88.4449,88.1735,11.5551,0,4,4,0,7,19495,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,6,88.4449,88.2277,11.5551,0,6,0,0,7,567,0,0,96,0.3351,0.5,0
real_buchwald_hartwig,incumbent,7,75.3112,75.3112,24.6888,0,0,0,0,0,0,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,transfer_gate_v1,7,75.3112,75.3112,24.6888,0,6,3,0,7,20227,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,7,75.3112,75.3112,24.6888,0,7,2,0,7,668,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,7,75.3112,75.3112,24.6888,0,6,3,0,7,20227,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,7,75.3112,75.3112,24.6888,0,7,2,0,7,668,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,7,75.3112,75.3112,24.6888,0,6,3,0,7,20227,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,7,75.3112,75.3112,24.6888,0,7,2,0,7,668,0,0,96,0.2936,0.5,0
real_buchwald_hartwig,incumbent,8,94.5498,80.4126,5.4502,0,0,0,0,0,0,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,transfer_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,7,19878,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,6,501,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,7,19878,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,6,501,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,7,19878,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,6,501,0,0,96,0.2293,0.5,0
real_buchwald_hartwig,incumbent,9,90.9905,87.177,9.0095,0,0,0,0,0,0,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,transfer_gate_v1,9,90.7313,87.4218,9.2687,0,2,2,0,7,11846,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,9,86.0035,86.0035,13.9965,0,1,0,0,1,86,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,9,90.7313,87.4218,9.2687,0,2,2,0,7,11846,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,9,86.0035,86.0035,13.9965,0,1,0,0,1,86,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,9,90.7313,87.4218,9.2687,0,2,2,0,7,11846,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,9,86.0035,86.0035,13.9965,0,1,0,0,1,86,0,0,96,0.1862,0.5,0
real_buchwald_hartwig,incumbent,10,89.4741,67.7042,10.5259,0,0,0,0,0,0,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,transfer_gate_v1,10,91.5286,66.6328,8.4714,0,3,2,0,7,19329,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,10,95.129,76.0117,4.871,0,7,1,0,7,588,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,10,91.5286,66.6328,8.4714,0,3,2,0,7,19329,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,transfer_value_prior_strict_gate_v1,10,95.129,76.0117,4.871,0,7,1,0,7,588,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,10,91.5286,66.6328,8.4714,0,3,2,0,7,19329,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,10,95.129,76.0117,4.871,0,7,1,0,7,588,0,0,96,0.2086,0.5,0
real_buchwald_hartwig,incumbent,11,98.7313,93.8347,1.2687,1,0,0,0,0,0,0,0,96,0.2066,0.5,0
real_buchwald_hartwig,transfer_gate_v1,11,98.7313,93.8347,1.2687,1,0,0,0,7,19912,0,0,96,0.2066,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,11,98.7313,93.8347,1.2687,1,2,0,0,7,567,0,0,96,0.2066,0.5,0
real_buchwald_hartwig,transfer_value_prior_gate_v1,11,98.7313,93.8347,1.2687,1,0,0,0,7,19912,0,0,96,0.2066,0.5,0
