dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,transfer_gate_v1,0,93.6745,93.3372,6.3255,0,2,2,0,7,33079,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,4,1,0,7,3176,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,0,93.6745,93.3372,6.3255,0,2,2,0,7,33079,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,0,93.6745,93.3372,6.3255,0,4,1,0,7,3176,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,0,93.6745,93.3372,6.3255,0,2,2,0,7,33079,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,0,93.6745,93.3372,6.3255,0,4,1,0,7,3176,0,0,96,0.2246,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,transfer_gate_v1,1,98.2021,98.058,1.7979,1,4,3,0,7,36187,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,5,5,0,7,3180,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,1,98.2021,98.058,1.7979,1,4,3,0,7,36187,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,1,98.2021,98.058,1.7979,1,5,5,0,7,3180,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,1,98.2021,98.058,1.7979,1,4,3,0,7,36187,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,1,98.2021,98.058,1.7979,1,5,5,0,7,3180,0,0,96,0.2067,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,transfer_gate_v1,2,92.5188,82.1166,7.4812,0,4,3,0,7,34556,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,7,4089,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,2,92.5188,82.1166,7.4812,0,4,3,0,7,34556,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,7,4089,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,2,92.5188,82.1166,7.4812,0,4,3,0,7,34556,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,7,4089,0,0,96,0.2795,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,96,0.372,0.5,0
real_suzuki_miyaura,transfer_gate_v1,3,75.2708,71.7883,24.7292,0,5,1,0,7,16681,0,0,96,0.372,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,3,70.2958,70.2958,29.7042,0,3,2,0,4,568,0,0,96,0.372,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,3,75.2708,71.7883,24.7292,0,5,1,0,7,16681,0,0,96,0.372,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,3,70.2958,70.2958,29.7042,0,3,2,0,4,568,0,0,96,0.372,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,3,75.2708,71.7883,24.7292,0,5,1,0,7,16681,0,0,96,0.372,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,3,70.2958,70.2958,29.7042,0,3,2,0,4,568,0,0,96,0.372,0.5,0
real_suzuki_miyaura,incumbent,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,transfer_gate_v1,4,94.8496,91.6952,5.1504,0,4,3,0,7,34225,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,4,96.6116,91.2905,3.3884,0,4,1,0,7,3804,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,4,94.8496,91.6952,5.1504,0,4,3,0,7,34225,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,4,96.6116,91.2905,3.3884,0,4,1,0,7,3804,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,4,94.8496,91.6952,5.1504,0,4,3,0,7,34225,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,4,96.6116,91.2905,3.3884,0,4,1,0,7,3804,0,0,96,0.2869,0.5,0
real_suzuki_miyaura,incumbent,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,transfer_gate_v1,5,93.3265,92.1752,6.6735,0,3,3,0,7,24896,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,5,93.3265,92.1752,6.6735,0,1,1,0,1,191,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,5,93.3265,92.1752,6.6735,0,3,3,0,7,24896,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,5,93.3265,92.1752,6.6735,0,1,1,0,1,191,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,5,93.3265,92.1752,6.6735,0,3,3,0,7,24896,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,5,93.3265,92.1752,6.6735,0,1,1,0,1,191,0,0,96,0.1513,0.5,0
real_suzuki_miyaura,incumbent,6,90.3264,63.5369,9.6736,0,0,0,0,0,0,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,transfer_gate_v1,6,64.5578,54.9918,35.4422,0,2,2,0,7,23749,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,6,54.6839,53.0171,45.3161,0,4,2,0,5,1855,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,6,64.5578,54.9918,35.4422,0,2,2,0,7,23749,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,transfer_value_prior_strict_gate_v1,6,54.6839,53.0171,45.3161,0,4,2,0,5,1855,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,6,64.5578,54.9918,35.4422,0,2,2,0,7,23749,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,6,54.6839,53.0171,45.3161,0,4,2,0,5,1855,0,0,96,0.3391,0.5,0
real_suzuki_miyaura,incumbent,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,0,0,96,0.308,0.5,0
real_suzuki_miyaura,transfer_gate_v1,7,95.8453,95.8409,4.1547,0,4,4,0,7,32683,0,0,96,0.308,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,7,95.8453,95.8409,4.1547,0,2,1,0,7,4419,0,0,96,0.308,0.5,0
real_suzuki_miyaura,transfer_value_prior_gate_v1,7,95.8453,95.8409,4.1547,0,4,4,0,7,32683,0,0,96,0.308,0.5,0
