dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,no_care_random,0,94.3764,87.3048,5.6236,0,0,0,0,0,0,0,0,64,0.1624,0.5,0
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,0,0,64,0.1624,0.5,0
real_suzuki_miyaura,transfer_no_gate,0,93.6745,93.3372,6.3255,0,2,2,0,7,33079,0,0,64,0.1624,0.5,0
real_suzuki_miyaura,transfer_gate_v1,0,93.6745,93.3372,6.3255,0,2,2,0,7,33079,0,0,64,0.1624,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,5,2,0,7,1319,0,0,64,0.1624,0.5,0
real_suzuki_miyaura,no_care_random,1,90.7864,81.5508,9.2136,0,0,0,0,0,0,0,0,64,0.1187,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,64,0.1187,0.5,0
real_suzuki_miyaura,transfer_no_gate,1,98.2021,98.058,1.7979,1,4,4,0,7,35719,0,0,64,0.1187,0.5,0
real_suzuki_miyaura,transfer_gate_v1,1,98.2021,98.058,1.7979,1,4,4,0,7,35719,0,0,64,0.1187,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,64,0.1187,0.5,0
real_suzuki_miyaura,no_care_random,2,79.8875,72.3668,20.1125,0,0,0,0,0,0,0,0,64,0.1156,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,64,0.1156,0.5,0
real_suzuki_miyaura,transfer_no_gate,2,95.3553,82.9675,4.6447,0,3,3,0,7,34276,0,0,64,0.1156,0.5,0
real_suzuki_miyaura,transfer_gate_v1,2,95.3553,82.9675,4.6447,0,3,3,0,7,34276,0,0,64,0.1156,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,64,0.1156,0.5,0
real_suzuki_miyaura,no_care_random,3,90.281,82.2869,9.719,0,0,0,0,0,0,0,0,64,0.1527,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,64,0.1527,0.5,0
real_suzuki_miyaura,transfer_no_gate,3,70.2958,70.2958,29.7042,0,4,0,0,7,11753,0,0,64,0.1527,0.5,0
real_suzuki_miyaura,transfer_gate_v1,3,70.2958,70.2958,29.7042,0,4,0,0,7,11753,0,0,64,0.1527,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,64,0.1527,0.5,0
real_suzuki_miyaura,no_care_random,4,84.9881,83.2689,15.0119,0,0,0,0,0,0,0,0,64,0.1507,0.5,0
real_suzuki_miyaura,incumbent,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,0,0,64,0.1507,0.5,0
real_suzuki_miyaura,transfer_no_gate,4,91.1515,89.1065,8.8485,0,1,1,0,7,31658,0,0,64,0.1507,0.5,0
real_suzuki_miyaura,transfer_gate_v1,4,91.1515,89.1065,8.8485,0,1,1,0,7,31658,0,0,64,0.1507,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,4,91.1515,89.1065,8.8485,0,0,0,0,0,0,0,0,64,0.1507,0.5,0
real_suzuki_miyaura,no_care_random,5,87.5699,87.5699,12.4301,0,0,0,0,0,0,0,0,64,0.0859,0.5,0
real_suzuki_miyaura,incumbent,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,0,0,64,0.0859,0.5,0
real_suzuki_miyaura,transfer_no_gate,5,93.3265,92.1752,6.6735,0,2,2,0,7,24392,0,0,64,0.0859,0.5,0
real_suzuki_miyaura,transfer_gate_v1,5,93.3265,92.1752,6.6735,0,2,2,0,7,24392,0,0,64,0.0859,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,5,93.3265,92.1752,6.6735,0,0,0,0,0,0,0,0,64,0.0859,0.5,0
real_suzuki_miyaura,no_care_random,6,88.9599,77.4764,11.0401,0,0,0,0,0,0,0,0,64,0.3064,0.5,0
real_suzuki_miyaura,incumbent,6,90.3264,63.5369,9.6736,0,0,0,0,0,0,0,0,64,0.3064,0.5,0
real_suzuki_miyaura,transfer_no_gate,6,91.24,62.8491,8.76,0,4,4,0,7,18533,0,0,64,0.3064,0.5,0
real_suzuki_miyaura,transfer_gate_v1,6,64.5578,54.9918,35.4422,0,2,2,0,7,23749,0,0,64,0.3064,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,6,54.6839,53.0171,45.3161,0,4,2,0,5,1855,0,0,64,0.3064,0.5,0
real_suzuki_miyaura,no_care_random,7,94.8302,94.8302,5.1698,0,0,0,0,0,0,0,0,64,0.1876,0.5,0
real_suzuki_miyaura,incumbent,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,0,0,64,0.1876,0.5,0
real_suzuki_miyaura,transfer_no_gate,7,95.8453,95.8409,4.1547,0,4,3,0,7,33343,0,0,64,0.1876,0.5,0
real_suzuki_miyaura,transfer_gate_v1,7,95.8453,95.8409,4.1547,0,4,3,0,7,33343,0,0,64,0.1876,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,7,95.8453,95.8409,4.1547,0,0,0,0,0,0,0,0,64,0.1876,0.5,0
real_suzuki_miyaura,no_care_random,8,82.299,81.9615,17.701,0,0,0,0,0,0,0,0,64,0.1759,0.5,0
real_suzuki_miyaura,incumbent,8,92.6924,91.7522,7.3076,0,0,0,0,0,0,0,0,64,0.1759,0.5,0
real_suzuki_miyaura,transfer_no_gate,8,92.6924,91.7522,7.3076,0,1,1,0,7,38263,0,0,64,0.1759,0.5,0
real_suzuki_miyaura,transfer_gate_v1,8,92.6924,91.7522,7.3076,0,1,1,0,7,38263,0,0,64,0.1759,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,8,92.6924,91.7701,7.3076,0,4,2,0,7,1309,0,0,64,0.1759,0.5,0
real_suzuki_miyaura,no_care_random,9,92.4342,88.183,7.5658,0,0,0,0,0,0,0,0,64,0.14,0.5,0
real_suzuki_miyaura,incumbent,9,92.7651,89.2318,7.2349,0,0,0,0,0,0,0,0,64,0.14,0.5,0
real_suzuki_miyaura,transfer_no_gate,9,93.6724,88.8021,6.3276,0,5,4,0,7,36439,0,0,64,0.14,0.5,0
