dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_freesolv,no_care_random,0,71.4333,68.85,28.5667,1,0,0,0,0,0,0,0,64,0.1083,0.5,0
real_moleculenet_freesolv,incumbent,0,79.0667,72.8533,20.9333,1,0,0,0,0,0,0,0,64,0.1083,0.5,0
real_moleculenet_freesolv,transfer_no_gate,0,79.0667,72.8533,20.9333,1,1,1,0,7,4385,0,0,64,0.1083,0.5,0
real_moleculenet_freesolv,transfer_gate_v1,0,79.0667,72.8533,20.9333,1,1,1,0,7,4385,0,0,64,0.1083,0.5,0
real_moleculenet_freesolv,transfer_strict_gate_v1,0,79.0667,72.8533,20.9333,1,0,0,0,0,0,0,0,64,0.1083,0.5,0
real_moleculenet_freesolv,no_care_random,1,85.0667,80.57,14.9333,1,0,0,0,0,0,0,0,64,0.1695,0.5,0
real_moleculenet_freesolv,incumbent,1,76.8667,43.5333,23.1333,1,0,0,0,0,0,0,0,64,0.1695,0.5,0
real_moleculenet_freesolv,transfer_no_gate,1,76.8667,43.5333,23.1333,1,0,0,0,3,1834,0,0,64,0.1695,0.5,0
real_moleculenet_freesolv,transfer_gate_v1,1,76.8667,43.5333,23.1333,1,0,0,0,3,1834,0,0,64,0.1695,0.5,0
real_moleculenet_freesolv,transfer_strict_gate_v1,1,76.8667,43.5333,23.1333,1,0,0,0,0,0,0,0,64,0.1695,0.5,0
real_moleculenet_freesolv,no_care_random,2,77.2333,77.2333,22.7667,1,0,0,0,0,0,0,0,64,0.096,0.5,0
real_moleculenet_freesolv,incumbent,2,79.0667,78.5167,20.9333,1,0,0,0,0,0,0,0,64,0.096,0.5,0
real_moleculenet_freesolv,transfer_no_gate,2,79.0667,78.5167,20.9333,1,1,1,0,7,4354,0,0,64,0.096,0.5,0
