dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0,0,0,192,0.1474,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,192,0.1474,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,0,85.0,82.5875,8.75,0,1,1,0,10,69873,0,0,192,0.1474,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,10,930,0,0,192,0.1474,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.75,2.5,0,0,0,0,0,0,0,0,192,0.2238,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.2238,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,1,90.0,90.0,3.75,0,3,0,2,10,68156,0,0,192,0.2238,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,1,90.0,90.0,3.75,0,0,0,1,10,2267,0,0,192,0.2238,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,192,0.1778,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,192,0.1778,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,2,90.0,89.05,3.75,0,0,0,1,10,59546,0,0,192,0.1778,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,10,2484,0,0,192,0.1778,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,192,0.2669,0.5,0
real_moleculenet_lipophilicity,incumbent,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,192,0.2669,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,3,82.25,82.25,11.5,0,9,6,0,10,64422,0,0,192,0.2669,0.5,0
