dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,0,88.125,83.725,5.625,0,6,3,0,10,71211,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,10,45245,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.75,2.5,0,0,0,0,0,0,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,1,90.0,90.0,3.75,0,10,0,0,10,69765,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,1,90.0,90.0,3.75,0,10,0,0,10,39675,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,2,87.625,87.625,6.125,0,9,8,0,10,69926,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,10,40215,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,incumbent,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,3,85.625,85.0625,8.125,0,5,2,0,10,71163,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,3,91.25,86.875,2.5,0,2,0,0,10,43211,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,no_care_random,4,83.75,80.9375,10.0,0,0,0,0,0,0,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,incumbent,4,84.25,81.6,9.5,0,0,0,0,0,0,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,4,80.0,80.0,13.75,0,4,3,0,10,68523,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,4,84.25,81.6,9.5,0,1,0,0,10,43954,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,no_care_random,5,80.25,80.0375,13.5,0,0,0,0,0,0,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,incumbent,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,5,91.625,89.6125,2.125,0,10,0,0,10,70388,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,5,80.0,78.875,13.75,0,3,2,0,10,33635,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,no_care_random,6,87.125,84.8125,6.625,0,0,0,0,0,0,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,incumbent,6,84.25,83.9,9.5,0,0,0,0,0,0,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,6,82.5,82.5,11.25,0,8,6,0,10,62666,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,6,84.25,83.9,9.5,0,4,4,0,10,46385,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,no_care_random,7,83.875,83.8625,9.875,0,0,0,0,0,0,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,incumbent,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,7,88.0,85.45,5.75,0,9,2,0,10,53929,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,7,88.125,86.375,5.625,0,3,2,0,10,45973,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,no_care_random,8,82.5,82.5,11.25,0,0,0,0,0,0,0,0,192,0.1787,0.5,0
real_moleculenet_lipophilicity,incumbent,8,85.0,80.5125,8.75,0,0,0,0,0,0,0,0,192,0.1787,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,8,93.5,85.9875,0.25,1,9,7,0,10,67786,0,0,192,0.1787,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,8,85.0,80.5125,8.75,0,0,0,0,10,39855,0,0,192,0.1787,0.5,0
real_moleculenet_lipophilicity,no_care_random,9,90.0,88.125,3.75,0,0,0,0,0,0,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,incumbent,9,83.75,83.75,10.0,0,0,0,0,0,0,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,9,85.0,84.875,8.75,0,3,2,0,10,71228,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,9,92.5,84.625,1.25,0,2,1,0,10,40375,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,no_care_random,10,90.5,88.9,3.25,0,0,0,0,0,0,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,incumbent,10,87.25,87.05,6.5,0,0,0,0,0,0,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,10,93.75,93.0,0.0,1,9,2,0,10,63191,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,10,86.25,86.25,7.5,0,7,0,0,10,43066,0,0,192,0.171,0.5,0
real_moleculenet_lipophilicity,no_care_random,11,86.0,86.0,7.75,0,0,0,0,0,0,0,0,192,0.1416,0.5,0
real_moleculenet_lipophilicity,incumbent,11,86.0,86.0,7.75,0,0,0,0,0,0,0,0,192,0.1416,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,11,86.0,86.0,7.75,0,2,2,0,10,71170,0,0,192,0.1416,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,11,93.75,91.425,0.0,1,9,5,0,10,40395,0,0,192,0.1416,0.5,0
real_moleculenet_lipophilicity,no_care_random,12,86.0,86.0,7.75,0,0,0,0,0,0,0,0,192,0.1725,0.5,0
real_moleculenet_lipophilicity,incumbent,12,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1725,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,12,86.0,86.0,7.75,0,10,9,0,10,69530,0,0,192,0.1725,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,12,86.0,86.0,7.75,0,10,6,0,10,40375,0,0,192,0.1725,0.5,0
real_moleculenet_lipophilicity,no_care_random,13,89.125,84.825,4.625,0,0,0,0,0,0,0,0,192,0.1917,0.5,0
real_moleculenet_lipophilicity,incumbent,13,83.75,83.75,10.0,0,0,0,0,0,0,0,0,192,0.1917,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,13,93.75,92.75,0.0,1,2,1,0,10,71228,0,0,192,0.1917,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,13,93.75,92.75,0.0,1,4,1,0,10,47240,0,0,192,0.1917,0.5,0
real_moleculenet_lipophilicity,no_care_random,14,86.875,86.875,6.875,0,0,0,0,0,0,0,0,192,0.1721,0.5,0
real_moleculenet_lipophilicity,incumbent,14,86.875,86.875,6.875,0,0,0,0,0,0,0,0,192,0.1721,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,14,86.875,86.875,6.875,0,3,1,0,10,65540,0,0,192,0.1721,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,14,86.875,86.875,6.875,0,10,1,0,10,47230,0,0,192,0.1721,0.5,0
real_moleculenet_lipophilicity,no_care_random,15,91.875,91.875,1.875,0,0,0,0,0,0,0,0,192,0.2114,0.5,0
real_moleculenet_lipophilicity,incumbent,15,91.875,91.875,1.875,0,0,0,0,0,0,0,0,192,0.2114,0.5,0
