dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0,0,0,96,0.1626,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,96,0.1626,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,0,85.0,83.6,8.75,0,0,0,0,7,28663,0,0,96,0.1626,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,0,85.0,83.6,8.75,0,0,0,0,7,28663,0,0,96,0.1626,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,5,4920,0,0,96,0.1626,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.75,2.5,0,0,0,0,0,0,0,0,96,0.2051,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,96,0.2051,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,1,90.0,90.0,3.75,0,1,0,0,7,29261,0,0,96,0.2051,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,1,90.0,90.0,3.75,0,1,0,0,7,29261,0,0,96,0.2051,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,1,90.0,90.0,3.75,0,1,0,0,7,7834,0,0,96,0.2051,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,96,0.1506,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,96,0.1506,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,2,90.0,89.05,3.75,0,0,0,0,7,22733,0,0,96,0.1506,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,2,90.0,89.05,3.75,0,0,0,0,7,22733,0,0,96,0.1506,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,96,0.1506,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,96,0.1802,0.5,0
real_moleculenet_lipophilicity,incumbent,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,96,0.1802,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,3,84.25,81.275,9.5,0,2,2,0,7,29309,0,0,96,0.1802,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,3,84.25,81.275,9.5,0,2,2,0,7,29309,0,0,96,0.1802,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,3,91.25,81.9,2.5,0,2,1,0,7,2793,0,0,96,0.1802,0.5,0
real_moleculenet_lipophilicity,no_care_random,4,83.75,80.9375,10.0,0,0,0,0,0,0,0,0,96,0.2115,0.5,0
real_moleculenet_lipophilicity,incumbent,4,84.25,81.6,9.5,0,0,0,0,0,0,0,0,96,0.2115,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,4,80.0,79.475,13.75,0,3,0,0,7,22835,0,0,96,0.2115,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,4,80.0,79.475,13.75,0,3,2,1,7,24735,0,0,96,0.2115,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,4,84.25,81.6,9.5,0,0,0,0,4,3118,0,0,96,0.2115,0.5,0
real_moleculenet_lipophilicity,no_care_random,5,80.25,80.0375,13.5,0,0,0,0,0,0,0,0,96,0.1558,0.5,0
real_moleculenet_lipophilicity,incumbent,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,96,0.1558,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,5,90.0,85.25,3.75,0,3,0,0,7,27298,0,0,96,0.1558,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,5,90.0,85.25,3.75,0,0,0,1,7,28189,0,0,96,0.1558,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,96,0.1558,0.5,0
real_moleculenet_lipophilicity,no_care_random,6,87.125,84.8125,6.625,0,0,0,0,0,0,0,0,96,0.2174,0.5,0
real_moleculenet_lipophilicity,incumbent,6,84.25,83.9,9.5,0,0,0,0,0,0,0,0,96,0.2174,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,6,84.25,83.9,9.5,0,3,2,0,7,29307,0,0,96,0.2174,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,6,84.25,83.9,9.5,0,1,1,1,7,29307,0,0,96,0.2174,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,6,84.25,83.9,9.5,0,1,1,0,7,2177,0,0,96,0.2174,0.5,0
real_moleculenet_lipophilicity,no_care_random,7,83.875,83.8625,9.875,0,0,0,0,0,0,0,0,96,0.1823,0.5,0
real_moleculenet_lipophilicity,incumbent,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,96,0.1823,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,7,90.0,90.0,3.75,0,1,0,0,7,26985,0,0,96,0.1823,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,7,90.0,90.0,3.75,0,0,0,2,7,20484,0,0,96,0.1823,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,7,90.0,90.0,3.75,0,0,0,0,4,3366,0,0,96,0.1823,0.5,0
real_moleculenet_lipophilicity,no_care_random,8,82.5,82.5,11.25,0,0,0,0,0,0,0,0,96,0.1777,0.5,0
real_moleculenet_lipophilicity,incumbent,8,85.0,80.5125,8.75,0,0,0,0,0,0,0,0,96,0.1777,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,8,85.0,80.5125,8.75,0,3,2,0,7,26893,0,0,96,0.1777,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,8,85.0,80.5125,8.75,0,1,0,2,7,26791,0,0,96,0.1777,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,8,85.0,81.4,8.75,0,5,0,1,6,1300,0,0,96,0.1777,0.5,0
real_moleculenet_lipophilicity,no_care_random,9,90.0,88.125,3.75,0,0,0,0,0,0,0,0,96,0.1592,0.5,0
real_moleculenet_lipophilicity,incumbent,9,83.75,83.75,10.0,0,0,0,0,0,0,0,0,96,0.1592,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,9,83.75,83.75,10.0,0,0,0,0,7,29323,0,0,96,0.1592,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,9,83.75,83.75,10.0,0,0,0,0,7,29323,0,0,96,0.1592,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,9,83.75,83.75,10.0,0,0,0,0,0,0,0,0,96,0.1592,0.5,0
real_moleculenet_lipophilicity,no_care_random,10,90.5,88.9,3.25,0,0,0,0,0,0,0,0,96,0.1388,0.5,0
real_moleculenet_lipophilicity,incumbent,10,87.25,87.05,6.5,0,0,0,0,0,0,0,0,96,0.1388,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,10,87.25,87.05,6.5,0,0,0,0,7,29269,0,0,96,0.1388,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,10,87.25,87.05,6.5,0,0,0,0,7,29269,0,0,96,0.1388,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,10,87.25,87.05,6.5,0,0,0,0,7,2513,0,0,96,0.1388,0.5,0
real_moleculenet_lipophilicity,no_care_random,11,86.0,86.0,7.75,0,0,0,0,0,0,0,0,96,0.1335,0.5,0
real_moleculenet_lipophilicity,incumbent,11,86.0,86.0,7.75,0,0,0,0,0,0,0,0,96,0.1335,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,11,93.75,88.75,0.0,1,4,2,0,7,16430,0,0,96,0.1335,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,11,86.0,86.0,7.75,0,1,1,0,6,10345,0,0,96,0.1335,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,11,86.0,86.0,7.75,0,0,0,0,0,0,0,0,96,0.1335,0.5,0
real_moleculenet_lipophilicity,no_care_random,12,86.0,86.0,7.75,0,0,0,0,0,0,0,0,96,0.1783,0.5,0
real_moleculenet_lipophilicity,incumbent,12,90.0,90.0,3.75,0,0,0,0,0,0,0,0,96,0.1783,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,12,90.0,90.0,3.75,0,1,1,0,5,8749,0,0,96,0.1783,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,12,90.0,90.0,3.75,0,0,0,0,5,11900,0,0,96,0.1783,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,12,90.0,90.0,3.75,0,0,0,0,0,0,0,0,96,0.1783,0.5,0
real_moleculenet_lipophilicity,no_care_random,13,89.125,84.825,4.625,0,0,0,0,0,0,0,0,96,0.1537,0.5,0
real_moleculenet_lipophilicity,incumbent,13,83.75,83.75,10.0,0,0,0,0,0,0,0,0,96,0.1537,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,13,83.75,83.75,10.0,0,0,0,0,7,29274,0,0,96,0.1537,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,13,83.75,83.75,10.0,0,0,0,0,7,29274,0,0,96,0.1537,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,13,83.75,83.75,10.0,0,0,0,0,7,2492,0,0,96,0.1537,0.5,0
real_moleculenet_lipophilicity,no_care_random,14,86.875,86.875,6.875,0,0,0,0,0,0,0,0,96,0.2088,0.5,0
real_moleculenet_lipophilicity,incumbent,14,86.875,86.875,6.875,0,0,0,0,0,0,0,0,96,0.2088,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,14,86.875,86.875,6.875,0,0,0,0,6,23879,0,0,96,0.2088,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,14,86.875,86.875,6.875,0,0,0,0,6,23879,0,0,96,0.2088,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,14,86.875,86.875,6.875,0,0,0,0,3,3471,0,0,96,0.2088,0.5,0
real_moleculenet_lipophilicity,no_care_random,15,91.875,91.875,1.875,0,0,0,0,0,0,0,0,96,0.1994,0.5,0
real_moleculenet_lipophilicity,incumbent,15,91.875,91.875,1.875,0,0,0,0,0,0,0,0,96,0.1994,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,15,91.875,91.875,1.875,0,2,0,0,7,29127,0,0,96,0.1994,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,15,91.875,91.875,1.875,0,2,0,0,7,29127,0,0,96,0.1994,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,15,91.875,91.875,1.875,0,1,1,0,7,3694,0,0,96,0.1994,0.5,0
real_moleculenet_lipophilicity,no_care_random,16,80.0,80.0,13.75,0,0,0,0,0,0,0,0,96,0.2058,0.5,0
real_moleculenet_lipophilicity,incumbent,16,82.375,80.7125,11.375,0,0,0,0,0,0,0,0,96,0.2058,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,16,82.375,80.2375,11.375,0,2,2,0,7,24433,0,0,96,0.2058,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,16,82.375,80.7125,11.375,0,0,0,0,7,25069,0,0,96,0.2058,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,16,82.375,80.475,11.375,0,1,0,0,5,3171,0,0,96,0.2058,0.5,0
real_moleculenet_lipophilicity,no_care_random,17,80.25,78.85,13.5,0,0,0,0,0,0,0,0,96,0.1296,0.5,0
real_moleculenet_lipophilicity,incumbent,17,84.25,81.575,9.5,0,0,0,0,0,0,0,0,96,0.1296,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,17,82.5,81.4,11.25,0,1,1,0,7,29316,0,0,96,0.1296,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,17,82.5,81.4,11.25,0,1,1,0,7,29316,0,0,96,0.1296,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,17,84.25,81.575,9.5,0,0,0,0,0,0,0,0,96,0.1296,0.5,0
real_moleculenet_lipophilicity,no_care_random,18,85.125,85.125,8.625,0,0,0,0,0,0,0,0,96,0.1371,0.5,0
real_moleculenet_lipophilicity,incumbent,18,90.0,90.0,3.75,0,0,0,0,0,0,0,0,96,0.1371,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,18,90.75,90.075,3.0,0,5,4,0,7,28353,0,0,96,0.1371,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,18,90.75,90.075,3.0,0,5,4,0,7,28353,0,0,96,0.1371,0.5,0
