dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0,0,0,192,0.1652,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,192,0.1652,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,192,0.1652,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,0,93.75,90.1875,0.0,1,7,3,0,10,71206,0,0,192,0.1652,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,10,40325,0,0,192,0.1652,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.75,2.5,0,0,0,0,0,0,0,0,192,0.1906,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1906,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,1,90.0,90.0,3.75,0,0,0,0,2,969,0,0,192,0.1906,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,1,91.25,91.25,2.5,0,10,0,0,10,69255,0,0,192,0.1906,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,1,90.0,90.0,3.75,0,10,0,0,10,39675,0,0,192,0.1906,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,192,0.1747,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,192,0.1747,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,192,0.1747,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,2,92.5,88.1125,1.25,0,10,2,0,10,71219,0,0,192,0.1747,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,10,40175,0,0,192,0.1747,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,192,0.2112,0.5,0
real_moleculenet_lipophilicity,incumbent,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,192,0.2112,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,3,82.5,81.5,11.25,0,1,0,0,7,3053,0,0,192,0.2112,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,3,85.0,85.0,8.75,0,7,4,0,10,64536,0,0,192,0.2112,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,3,93.75,85.1375,0.0,1,5,1,0,10,40165,0,0,192,0.2112,0.5,0
real_moleculenet_lipophilicity,no_care_random,4,83.75,80.9375,10.0,0,0,0,0,0,0,0,0,192,0.1779,0.5,0
real_moleculenet_lipophilicity,incumbent,4,84.25,81.6,9.5,0,0,0,0,0,0,0,0,192,0.1779,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,4,84.25,81.6,9.5,0,1,1,0,3,882,0,0,192,0.1779,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,4,80.0,80.0,13.75,0,4,3,0,10,68513,0,0,192,0.1779,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,4,84.25,81.6,9.5,0,3,0,0,10,41187,0,0,192,0.1779,0.5,0
real_moleculenet_lipophilicity,no_care_random,5,80.25,80.0375,13.5,0,0,0,0,0,0,0,0,192,0.1905,0.5,0
real_moleculenet_lipophilicity,incumbent,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,192,0.1905,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,192,0.1905,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,5,93.5,88.025,0.25,1,10,3,0,10,70955,0,0,192,0.1905,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,5,80.0,78.875,13.75,0,3,2,0,10,32485,0,0,192,0.1905,0.5,0
real_moleculenet_lipophilicity,no_care_random,6,87.125,84.8125,6.625,0,0,0,0,0,0,0,0,192,0.1795,0.5,0
real_moleculenet_lipophilicity,incumbent,6,84.25,83.9,9.5,0,0,0,0,0,0,0,0,192,0.1795,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,6,84.25,83.9,9.5,0,2,1,0,7,6020,0,0,192,0.1795,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,6,93.5,86.9,0.25,1,9,8,0,10,67066,0,0,192,0.1795,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,6,84.25,83.9,9.5,0,6,5,0,10,45273,0,0,192,0.1795,0.5,0
real_moleculenet_lipophilicity,no_care_random,7,83.875,83.8625,9.875,0,0,0,0,0,0,0,0,192,0.1727,0.5,0
real_moleculenet_lipophilicity,incumbent,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1727,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1727,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,7,93.75,91.9375,0.0,1,5,3,0,10,71150,0,0,192,0.1727,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,7,88.125,86.375,5.625,0,3,2,0,10,40205,0,0,192,0.1727,0.5,0
real_moleculenet_lipophilicity,no_care_random,8,82.5,82.5,11.25,0,0,0,0,0,0,0,0,192,0.1688,0.5,0
real_moleculenet_lipophilicity,incumbent,8,85.0,80.5125,8.75,0,0,0,0,0,0,0,0,192,0.1688,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,8,85.0,80.5125,8.75,0,0,0,0,0,0,0,0,192,0.1688,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,8,93.75,82.875,0.0,1,8,5,0,10,62159,0,0,192,0.1688,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,8,85.0,80.5125,8.75,0,0,0,0,10,39835,0,0,192,0.1688,0.5,0
