dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_freesolv,no_care_random,0,71.4333,68.85,28.5667,1,0,0,0,0,0,0,0,192,0.1428,0.5,0
real_moleculenet_freesolv,incumbent,0,79.0667,72.8533,20.9333,1,0,0,0,0,0,0,0,192,0.1428,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,0,79.0667,68.42,20.9333,1,2,2,1,10,10672,0,0,192,0.1428,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,0,79.0667,69.5067,20.9333,1,1,1,1,10,3711,0,0,192,0.1428,0.5,0
real_moleculenet_freesolv,no_care_random,1,85.0667,80.57,14.9333,1,0,0,0,0,0,0,0,192,0.1575,0.5,0
real_moleculenet_freesolv,incumbent,1,76.8667,43.5333,23.1333,1,0,0,0,0,0,0,0,192,0.1575,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,1,76.8667,43.5333,23.1333,1,0,0,6,10,7743,0,0,192,0.1575,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,1,76.8667,43.5333,23.1333,1,0,0,0,0,0,0,0,192,0.1575,0.5,0
real_moleculenet_freesolv,no_care_random,2,77.2333,77.2333,22.7667,1,0,0,0,0,0,0,0,192,0.1351,0.5,0
real_moleculenet_freesolv,incumbent,2,79.0667,78.5167,20.9333,1,0,0,0,0,0,0,0,192,0.1351,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,2,79.0667,77.9667,20.9333,1,3,3,1,10,10367,0,0,192,0.1351,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,2,79.0667,78.5167,20.9333,1,0,0,0,0,0,0,0,192,0.1351,0.5,0
real_moleculenet_freesolv,no_care_random,3,64.0333,64.0333,35.9667,0,0,0,0,0,0,0,0,192,0.1261,0.5,0
real_moleculenet_freesolv,incumbent,3,71.4333,64.98,28.5667,1,0,0,0,0,0,0,0,192,0.1261,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,3,71.4333,64.98,28.5667,1,3,3,1,10,10707,0,0,192,0.1261,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,3,71.4333,64.98,28.5667,1,1,1,1,10,516,0,0,192,0.1261,0.5,0
real_moleculenet_freesolv,no_care_random,4,76.8667,46.7567,23.1333,1,0,0,0,0,0,0,0,192,0.1206,0.5,0
real_moleculenet_freesolv,incumbent,4,76.8667,46.3567,23.1333,1,0,0,0,0,0,0,0,192,0.1206,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,4,76.8667,46.3567,23.1333,1,0,0,7,10,10299,0,0,192,0.1206,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,4,76.8667,46.3567,23.1333,1,0,0,0,10,30,0,0,192,0.1206,0.5,0
real_moleculenet_freesolv,no_care_random,5,95.4,95.4,4.6,1,0,0,0,0,0,0,0,192,0.1371,0.5,0
real_moleculenet_freesolv,incumbent,5,100.0,99.54,0.0,1,0,0,0,0,0,0,0,192,0.1371,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,5,100.0,99.54,0.0,1,1,1,1,10,10692,0,0,192,0.1371,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,5,100.0,99.54,0.0,1,0,0,1,10,80,0,0,192,0.1371,0.5,0
real_moleculenet_freesolv,no_care_random,6,73.0667,68.4734,26.9333,1,0,0,0,0,0,0,0,192,0.143,0.5,0
real_moleculenet_freesolv,incumbent,6,64.0333,59.6766,35.9667,0,0,0,0,0,0,0,0,192,0.143,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,6,71.4333,64.64,28.5667,1,3,2,1,10,10500,0,0,192,0.143,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,6,64.0333,59.6766,35.9667,0,0,0,9,10,60,0,0,192,0.143,0.5,0
real_moleculenet_freesolv,no_care_random,7,49.2,49.2,50.8,0,0,0,0,0,0,0,0,192,0.1085,0.5,0
real_moleculenet_freesolv,incumbent,7,50.1,49.29,49.9,0,0,0,0,0,0,0,0,192,0.1085,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,7,71.4333,53.6467,28.5667,1,2,1,1,10,10561,0,0,192,0.1085,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,7,50.1,49.29,49.9,0,0,0,4,10,390,0,0,192,0.1085,0.5,0
real_moleculenet_freesolv,no_care_random,8,56.1667,54.6067,43.8333,0,0,0,0,0,0,0,0,192,0.1634,0.5,0
real_moleculenet_freesolv,incumbent,8,71.4333,52.9133,28.5667,1,0,0,0,0,0,0,0,192,0.1634,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,8,43.2667,40.8367,56.7333,0,6,6,1,10,6185,0,0,192,0.1634,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,8,43.2667,40.8367,56.7333,0,6,6,1,10,187,0,0,192,0.1634,0.5,0
real_moleculenet_freesolv,no_care_random,9,38.9667,38.8967,61.0333,0,0,0,0,0,0,0,0,192,0.1075,0.5,0
real_moleculenet_freesolv,incumbent,9,38.7333,38.7333,61.2667,0,0,0,0,0,0,0,0,192,0.1075,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,9,38.7333,38.7333,61.2667,0,0,0,6,10,7292,0,0,192,0.1075,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,9,38.7333,38.7333,61.2667,0,0,0,0,0,0,0,0,192,0.1075,0.5,0
real_moleculenet_freesolv,no_care_random,10,42.1667,42.0167,57.8333,0,0,0,0,0,0,0,0,192,0.1553,0.5,0
real_moleculenet_freesolv,incumbent,10,71.4333,69.09,28.5667,1,0,0,0,0,0,0,0,192,0.1553,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,10,71.4333,69.09,28.5667,1,0,0,0,10,10124,0,0,192,0.1553,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,10,71.4333,69.09,28.5667,1,0,0,0,10,289,0,0,192,0.1553,0.5,0
real_moleculenet_freesolv,no_care_random,11,35.0333,28.62,64.9667,0,0,0,0,0,0,0,0,192,0.2038,0.5,0
real_moleculenet_freesolv,incumbent,11,76.8667,42.4967,23.1333,1,0,0,0,0,0,0,0,192,0.2038,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,11,76.8667,42.4967,23.1333,1,0,0,5,10,10198,0,0,192,0.2038,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,11,76.8667,42.4967,23.1333,1,0,0,3,10,160,0,0,192,0.2038,0.5,0
real_moleculenet_freesolv,no_care_random,12,53.3667,53.3667,46.6333,0,0,0,0,0,0,0,0,192,0.1971,0.5,0
real_moleculenet_freesolv,incumbent,12,71.4333,71.4333,28.5667,1,0,0,0,0,0,0,0,192,0.1971,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,12,71.4333,69.6266,28.5667,1,3,3,0,10,10494,0,0,192,0.1971,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,12,71.4333,69.6266,28.5667,1,3,3,0,10,686,0,0,192,0.1971,0.5,0
real_moleculenet_freesolv,no_care_random,13,95.4,84.5667,4.6,1,0,0,0,0,0,0,0,192,0.1702,0.5,0
real_moleculenet_freesolv,incumbent,13,79.0667,66.9467,20.9333,1,0,0,0,0,0,0,0,192,0.1702,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,13,71.4333,62.28,28.5667,1,4,1,2,10,10429,0,0,192,0.1702,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,13,79.0667,66.9467,20.9333,1,0,0,0,7,344,0,0,192,0.1702,0.5,0
real_moleculenet_freesolv,no_care_random,14,95.4,95.4,4.6,1,0,0,0,0,0,0,0,192,0.1109,0.5,0
real_moleculenet_freesolv,incumbent,14,95.4,95.4,4.6,1,0,0,0,0,0,0,0,192,0.1109,0.5,0
real_moleculenet_freesolv,transfer_value_prior_gate_v1,14,95.4,95.4,4.6,1,2,1,3,10,10318,0,0,192,0.1109,0.5,0
real_moleculenet_freesolv,transfer_value_prior_strict_gate_v1,14,95.4,95.4,4.6,1,0,0,0,10,250,0,0,192,0.1109,0.5,0
real_moleculenet_freesolv,no_care_random,15,64.0333,57.4833,35.9667,0,0,0,0,0,0,0,0,192,0.1666,0.5,0
