dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_matbench_expt_gap,incumbent,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,96,0.218,0.5,0
real_matbench_expt_gap,transfer_gate_v1,0,47.5,47.5,52.5,0,3,0,0,5,5037,0,0,96,0.218,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,96,0.218,0.5,0
real_matbench_expt_gap,transfer_value_prior_gate_v1,0,47.5,47.5,52.5,0,3,0,0,5,5037,0,0,96,0.218,0.5,0
real_matbench_expt_gap,transfer_value_prior_strict_gate_v1,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,96,0.218,0.5,0
real_matbench_expt_gap,transfer_descriptor_target_calibrated_gate_v1,0,47.5,47.5,52.5,0,3,0,0,5,5037,0,0,96,0.218,0.5,0
real_matbench_expt_gap,transfer_descriptor_target_calibrated_strict_gate_v1,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,96,0.218,0.5,0
real_matbench_expt_gap,incumbent,1,71.375,71.375,28.625,0,0,0,0,0,0,0,0,96,0.2053,0.5,0
real_matbench_expt_gap,transfer_gate_v1,1,71.375,71.375,28.625,0,1,1,0,4,8706,0,0,96,0.2053,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,1,71.375,71.375,28.625,0,0,0,0,0,0,0,0,96,0.2053,0.5,0
real_matbench_expt_gap,transfer_value_prior_gate_v1,1,71.375,71.375,28.625,0,1,1,0,4,8706,0,0,96,0.2053,0.5,0
real_matbench_expt_gap,transfer_value_prior_strict_gate_v1,1,71.375,71.375,28.625,0,0,0,0,0,0,0,0,96,0.2053,0.5,0
