dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,no_care_random,0,94.3764,87.3048,5.6236,0,0,0,0,0,0,0,0,64,0.1604,0.5,0
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,0,0,64,0.1604,0.5,0
real_suzuki_miyaura,transfer_no_gate,0,93.6745,93.3372,6.3255,0,4,1,0,7,25642,0,0,64,0.1604,0.5,0
real_suzuki_miyaura,transfer_gate_v1,0,93.6745,93.3372,6.3255,0,4,1,0,7,25642,0,0,64,0.1604,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,6,4,0,7,385,0,0,64,0.1604,0.5,0
real_suzuki_miyaura,no_care_random,1,90.7864,81.5508,9.2136,0,0,0,0,0,0,0,0,64,0.2615,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,64,0.2615,0.5,0
real_suzuki_miyaura,transfer_no_gate,1,98.2021,98.058,1.7979,1,0,0,0,7,29360,0,0,64,0.2615,0.5,0
real_suzuki_miyaura,transfer_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,7,29360,0,0,64,0.2615,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,7,6,0,7,371,0,0,64,0.2615,0.5,0
real_suzuki_miyaura,no_care_random,2,79.8875,72.3668,20.1125,0,0,0,0,0,0,0,0,64,0.2556,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,64,0.2556,0.5,0
real_suzuki_miyaura,transfer_no_gate,2,92.5188,82.1166,7.4812,0,5,5,0,7,28184,0,0,64,0.2556,0.5,0
real_suzuki_miyaura,transfer_gate_v1,2,92.5188,82.1166,7.4812,0,5,5,0,7,28184,0,0,64,0.2556,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,2,96.0523,83.6045,3.9477,0,4,1,0,7,385,0,0,64,0.2556,0.5,0
real_suzuki_miyaura,no_care_random,3,90.281,82.2869,9.719,0,0,0,0,0,0,0,0,64,0.2259,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,64,0.2259,0.5,0
real_suzuki_miyaura,transfer_no_gate,3,70.2958,70.2958,29.7042,0,2,0,0,7,13286,0,0,64,0.2259,0.5,0
real_suzuki_miyaura,transfer_gate_v1,3,70.2958,70.2958,29.7042,0,2,0,0,7,13286,0,0,64,0.2259,0.5,0
