dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_suzuki_miyaura,gp_ucb,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,0,92.8344,92.7734,7.1656,0
real_suzuki_miyaura,gp_ucb,1,89.2206,87.7034,10.7794,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,1,89.2206,87.7034,10.7794,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,1,89.2206,87.7034,10.7794,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,1,89.2206,87.7034,10.7794,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,1,89.2206,87.847,10.7794,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,1,89.2206,87.847,10.7794,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,1,94.8844,88.8441,5.1156,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,1,87.7846,86.1745,12.2154,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,1,94.7131,90.6534,5.2869,0
real_suzuki_miyaura,gp_ucb,2,95.5682,89.7686,4.4318,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,2,95.5682,89.7686,4.4318,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,2,95.5682,89.7686,4.4318,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,2,91.0743,87.2341,8.9257,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,2,91.0743,87.2341,8.9257,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,2,91.0743,87.166,8.9257,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,2,91.0743,86.7779,8.9257,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,2,91.0743,86.7779,8.9257,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,2,91.0743,86.7099,8.9257,0
real_suzuki_miyaura,gp_ucb,3,79.0135,77.1589,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,3,79.0135,77.1589,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,3,79.0135,77.1589,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,3,79.0135,78.2764,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,3,79.0135,78.2764,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,3,79.0135,78.2764,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,3,79.0135,78.1535,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,3,79.0135,78.1535,20.9865,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,3,79.0135,78.0307,20.9865,0
real_suzuki_miyaura,gp_ucb,4,96.6116,92.5055,3.3884,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,4,98.6075,94.0585,1.3925,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,4,94.6864,93.6664,5.3136,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,4,94.6864,93.6664,5.3136,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,4,96.6116,88.7447,3.3884,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,4,96.6116,90.4525,3.3884,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,4,96.6116,88.7955,3.3884,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,4,96.6116,87.769,3.3884,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,4,96.6116,87.769,3.3884,0
real_suzuki_miyaura,gp_ucb,5,93.3265,92.8847,6.6735,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,5,93.3265,92.8847,6.6735,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,5,93.3265,92.8847,6.6735,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,5,93.3265,92.9478,6.6735,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,5,93.3265,92.8847,6.6735,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,5,92.6953,92.6953,7.3047,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,5,93.3265,92.8215,6.6735,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,5,92.6953,92.6953,7.3047,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,5,93.3265,92.8847,6.6735,0
real_suzuki_miyaura,gp_ucb,6,71.1653,53.7896,28.8347,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,6,54.8646,52.1595,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,6,54.8646,52.1595,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,6,54.8646,52.1595,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,6,54.8646,52.1595,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,6,54.8646,52.1595,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,6,54.8646,54.1961,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,6,54.8646,54.1961,45.1354,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,6,54.8646,54.1961,45.1354,0
real_suzuki_miyaura,gp_ucb,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,7,95.8015,95.8015,4.1985,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,7,95.8453,95.8453,4.1547,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,7,95.8453,95.8453,4.1547,0
real_suzuki_miyaura,gp_ucb,8,93.6745,89.5985,6.3255,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,8,93.6745,89.5985,6.3255,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,8,92.6924,91.3095,7.3076,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,8,91.4527,91.1855,8.5473,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,8,92.6924,91.4334,7.3076,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,8,91.4527,91.1855,8.5473,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,8,92.6924,91.4155,7.3076,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,8,92.6924,91.3088,7.3076,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,8,92.6924,91.3088,7.3076,0
real_suzuki_miyaura,gp_ucb,9,91.4527,89.8674,8.5473,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,9,93.0579,90.6616,6.9421,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,9,93.0579,90.6908,6.9421,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,9,93.0579,90.6908,6.9421,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,9,91.4527,87.6923,8.5473,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,9,91.8179,87.7288,8.1821,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,9,91.4527,89.1964,8.5473,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,9,91.4527,89.1964,8.5473,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,9,91.4527,89.1964,8.5473,0
real_suzuki_miyaura,gp_ucb,10,96.7008,94.8954,3.2992,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,10,96.4898,94.1251,3.5102,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,10,96.4898,94.1255,3.5102,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,10,96.4898,94.1805,3.5102,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,10,96.4898,94.1805,3.5102,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,10,94.7395,93.7188,5.2605,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,10,94.7395,93.7188,5.2605,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,10,94.7395,93.7188,5.2605,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,10,94.7395,93.7188,5.2605,0
real_suzuki_miyaura,gp_ucb,11,92.7985,92.7985,7.2015,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,11,92.7985,92.7985,7.2015,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,11,92.7985,92.7985,7.2015,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,11,93.8092,93.506,6.1908,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,11,93.8092,93.6071,6.1908,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,11,93.8092,93.6071,6.1908,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,11,93.8092,93.6071,6.1908,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,11,93.8092,93.6071,6.1908,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,11,93.8092,93.6071,6.1908,0
real_suzuki_miyaura,gp_ucb,12,91.7536,91.7536,8.2464,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,12,98.6922,94.529,1.3078,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,12,98.6922,94.529,1.3078,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,12,100.0,96.7014,0.0,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,12,98.6922,95.5782,1.3078,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,12,98.6922,95.5782,1.3078,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,12,98.6922,95.5782,1.3078,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,12,100.0,99.1754,0.0,1
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,12,100.0,99.1754,0.0,1
real_suzuki_miyaura,gp_ucb,13,96.8863,83.4751,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,13,96.8863,85.2942,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,13,96.8863,85.2942,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1,13,96.8863,85.2942,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_1p5,13,96.8863,82.6235,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_2,13,96.8863,82.6235,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_3,13,96.8863,82.6235,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_4,13,96.8863,79.1705,3.1137,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_6,13,96.8863,79.1705,3.1137,0
real_suzuki_miyaura,gp_ucb,14,95.0559,93.5266,4.9441,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p25,14,95.0559,93.5266,4.9441,0
real_suzuki_miyaura,transfer_weighted_gp_ucb_scale_0p5,14,96.7377,94.5431,3.2623,0
