dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,hypothesis_confidence,hypothesis_support_count
synthetic_chemlex_i,incumbent,0,100.0,99.8591,0.0,1,0,0,0,0.9091,9
synthetic_chemlex_i,incumbent,1,82.8059,82.4255,17.1941,0,0,0,0,0.7143,4
synthetic_chemlex_i,incumbent,2,96.6793,92.5684,3.3207,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,3,87.0862,86.6132,12.9138,0,0,0,0,0.75,2
synthetic_chemlex_i,incumbent,4,100.0,98.4888,0.0,1,0,0,0,0.9,8
synthetic_chemlex_i,incumbent,5,100.0,99.5442,0.0,1,0,0,0,0.8889,7
synthetic_chemlex_i,incumbent,6,100.0,88.7358,0.0,1,0,0,0,0.75,2
synthetic_chemlex_i,incumbent,7,96.6793,94.9532,3.3207,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,8,87.7773,77.8414,12.2227,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,9,77.9526,76.5056,22.0474,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,10,97.301,85.2787,2.699,0,0,0,0,0.6667,1
synthetic_chemlex_i,incumbent,11,84.7621,82.8786,15.2379,0,0,0,0,0.8,3
synthetic_chemlex_i,incumbent,12,89.6849,83.4067,10.3151,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,13,100.0,87.783,0.0,1,0,0,0,0.8,3
synthetic_chemlex_i,incumbent,14,96.6793,90.7127,3.3207,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,15,98.2831,95.7432,1.7169,0,0,0,0,0.9,8
synthetic_chemlex_i,incumbent,16,85.4562,80.7331,14.5438,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,17,96.6793,96.4668,3.3207,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,18,85.5559,85.5559,14.4441,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,19,95.6167,86.2446,4.3833,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,20,100.0,100.0,0.0,1,0,0,0,0.8889,7
synthetic_chemlex_i,incumbent,21,90.4352,85.2895,9.5648,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,22,93.0263,84.5218,6.9737,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,23,95.6167,94.8027,4.3833,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,24,89.8278,86.027,10.1722,0,0,0,0,0.7143,4
synthetic_chemlex_i,incumbent,25,100.0,98.826,0.0,1,0,0,0,0.8,7
synthetic_chemlex_i,incumbent,26,76.7634,76.2412,23.2366,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,27,87.3267,86.1426,12.6733,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,28,100.0,100.0,0.0,1,0,0,0,0.7778,6
synthetic_chemlex_i,incumbent,29,89.8278,81.4913,10.1722,0,0,0,0,0.5,0
synthetic_chemlex_i,gate_v1,0,100.0,99.5772,0.0,1,7,2,0,0.9167,10
synthetic_chemlex_i,gate_v1,1,97.7208,97.5476,2.2792,0,5,1,0,0.8333,9
synthetic_chemlex_i,gate_v1,2,100.0,100.0,0.0,1,10,4,0,0.9167,10
synthetic_chemlex_i,gate_v1,3,100.0,100.0,0.0,1,6,0,0,0.9167,10
synthetic_chemlex_i,gate_v1,4,100.0,98.758,0.0,1,7,0,0,0.8333,9
synthetic_chemlex_i,gate_v1,5,100.0,98.7003,0.0,1,10,2,0,0.8333,9
synthetic_chemlex_i,gate_v1,6,100.0,98.6586,0.0,1,9,2,0,0.9167,10
synthetic_chemlex_i,gate_v1,7,100.0,98.9688,0.0,1,4,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,8,100.0,97.9659,0.0,1,8,0,0,0.9167,10
synthetic_chemlex_i,gate_v1,9,100.0,100.0,0.0,1,4,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,10,97.6281,96.0399,2.3719,0,7,2,0,0.9167,10
synthetic_chemlex_i,gate_v1,11,100.0,100.0,0.0,1,10,4,0,0.9167,10
synthetic_chemlex_i,gate_v1,12,100.0,98.4762,0.0,1,10,3,0,0.9167,10
synthetic_chemlex_i,gate_v1,13,100.0,99.2933,0.0,1,8,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,14,100.0,99.1341,0.0,1,6,2,0,0.9167,10
synthetic_chemlex_i,gate_v1,15,98.6533,98.0251,1.3467,1,9,2,0,0.9167,10
synthetic_chemlex_i,gate_v1,16,100.0,97.3704,0.0,1,7,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,17,100.0,99.443,0.0,1,2,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,18,100.0,98.2704,0.0,1,9,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,19,98.5908,94.7658,1.4092,1,6,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,20,100.0,100.0,0.0,1,1,1,5,0.8889,7
synthetic_chemlex_i,gate_v1,21,100.0,97.6918,0.0,1,9,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,22,100.0,97.5384,0.0,1,6,1,0,0.9167,10
synthetic_chemlex_i,gate_v1,23,97.7208,97.4781,2.2792,0,10,4,0,0.9167,10
synthetic_chemlex_i,gate_v1,24,100.0,100.0,0.0,1,10,2,0,0.9167,10
synthetic_chemlex_i,gate_v1,25,100.0,97.7755,0.0,1,9,3,0,0.9167,10
synthetic_chemlex_i,gate_v1,26,100.0,99.6582,0.0,1,2,1,3,0.8571,5
synthetic_chemlex_i,gate_v1,27,98.5908,97.5121,1.4092,1,5,3,0,0.9167,10
synthetic_chemlex_i,gate_v1,28,100.0,99.0778,0.0,1,2,2,0,0.75,8
synthetic_chemlex_i,gate_v1,29,100.0,99.1206,0.0,1,8,5,0,0.8333,9
synthetic_chemlex_i,gate_v2,0,100.0,99.5772,0.0,1,7,2,0,0.9167,10
synthetic_chemlex_i,gate_v2,1,97.7208,97.5476,2.2792,0,5,1,0,0.8333,9
synthetic_chemlex_i,gate_v2,2,100.0,100.0,0.0,1,10,4,0,0.9167,10
synthetic_chemlex_i,gate_v2,3,100.0,100.0,0.0,1,6,0,0,0.9167,10
synthetic_chemlex_i,gate_v2,4,100.0,98.758,0.0,1,7,0,0,0.8333,9
synthetic_chemlex_i,gate_v2,5,100.0,98.7003,0.0,1,10,2,0,0.8333,9
synthetic_chemlex_i,gate_v2,6,100.0,98.6586,0.0,1,9,2,0,0.9167,10
synthetic_chemlex_i,gate_v2,7,100.0,98.9688,0.0,1,4,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,8,100.0,97.9659,0.0,1,8,0,0,0.9167,10
synthetic_chemlex_i,gate_v2,9,100.0,100.0,0.0,1,4,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,10,97.6281,96.0399,2.3719,0,7,2,0,0.9167,10
synthetic_chemlex_i,gate_v2,11,100.0,100.0,0.0,1,10,4,0,0.9167,10
synthetic_chemlex_i,gate_v2,12,100.0,98.4762,0.0,1,10,3,0,0.9167,10
synthetic_chemlex_i,gate_v2,13,100.0,99.2933,0.0,1,8,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,14,100.0,99.1341,0.0,1,6,2,0,0.9167,10
synthetic_chemlex_i,gate_v2,15,98.6533,98.0251,1.3467,1,9,2,0,0.9167,10
synthetic_chemlex_i,gate_v2,16,100.0,97.3704,0.0,1,7,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,17,100.0,99.443,0.0,1,2,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,18,100.0,98.2704,0.0,1,9,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,19,98.5908,94.7658,1.4092,1,6,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,20,100.0,100.0,0.0,1,1,1,5,0.8889,7
synthetic_chemlex_i,gate_v2,21,100.0,97.6918,0.0,1,9,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,22,100.0,97.5384,0.0,1,6,1,0,0.9167,10
synthetic_chemlex_i,gate_v2,23,97.7208,97.4781,2.2792,0,10,4,0,0.9167,10
synthetic_chemlex_i,gate_v2,24,100.0,100.0,0.0,1,10,2,0,0.9167,10
synthetic_chemlex_i,gate_v2,25,100.0,97.7755,0.0,1,9,3,0,0.9167,10
synthetic_chemlex_i,gate_v2,26,100.0,99.6582,0.0,1,2,1,3,0.8571,5
synthetic_chemlex_i,gate_v2,27,98.5908,97.5121,1.4092,1,5,3,0,0.9167,10
synthetic_chemlex_i,gate_v2,28,100.0,99.0778,0.0,1,2,2,0,0.75,8
synthetic_chemlex_i,gate_v2,29,100.0,99.1206,0.0,1,8,5,0,0.8333,9
