dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,hypothesis_confidence,hypothesis_support_count
real_matbench_expt_gap,no_care_random,0,47.5,47.5,52.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,1,71.375,71.375,28.625,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,2,29.0,27.475,71.0,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,3,37.5,30.625,62.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,4,40.625,30.5,59.375,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,5,86.125,86.125,13.875,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,6,36.25,36.25,63.75,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,7,60.625,60.625,39.375,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,8,45.625,45.625,54.375,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,9,45.0,45.0,55.0,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,10,37.75,29.5375,62.25,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,11,52.5,49.275,47.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,12,29.625,29.625,70.375,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,13,41.125,41.125,58.875,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,14,48.5,32.6875,51.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,15,59.5,43.9,40.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,16,37.25,29.225,62.75,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,17,38.75,38.75,61.25,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,18,42.5,31.625,57.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,19,40.75,40.75,59.25,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,20,67.5,67.5,32.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,21,48.0,47.1,52.0,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,22,50.0,48.9,50.0,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,23,63.75,63.75,36.25,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,24,48.5,41.0,51.5,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,25,49.625,34.0375,50.375,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,26,43.875,39.325,56.125,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,27,52.375,33.475,47.625,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,28,71.375,49.25,28.625,0,0,0,0,0.5,0
real_matbench_expt_gap,no_care_random,29,39.375,39.375,60.625,0,0,0,0,0.5,0
