dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,hypothesis_confidence,hypothesis_support_count
synthetic_materials_i,no_care_random,0,93.3674,93.0722,3.1065,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,1,96.4739,94.7764,0.0,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,2,89.8428,87.7548,6.6311,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,3,85.9871,85.9871,10.4868,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,4,96.4739,96.4494,0.0,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,5,94.1487,94.1487,2.3252,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,6,94.5076,94.5076,1.9663,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,7,96.2285,96.2285,0.2454,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,8,93.3674,93.3674,3.1065,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,9,94.9304,83.4154,1.5435,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,10,96.2285,96.2285,0.2454,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,11,84.9868,84.9868,11.4871,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,12,94.897,92.6627,1.5769,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,13,94.1487,89.1532,2.3252,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,14,73.6189,73.4171,22.855,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,15,94.9304,94.9304,1.5435,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,16,86.86,86.86,9.6139,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,17,92.1778,86.2683,4.2961,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,18,92.4357,92.4357,4.0382,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,19,79.4769,79.4769,16.997,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,20,96.2285,90.6074,0.2454,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,21,76.9101,74.6309,19.5638,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,22,93.1567,92.8066,3.3172,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,23,87.7557,85.1163,8.7182,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,24,89.6556,89.6556,6.8183,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,25,96.2285,89.9019,0.2454,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,26,86.5879,86.5879,9.886,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,27,75.4376,70.9936,21.0363,0,0,0,0,0.5,0
synthetic_materials_i,no_care_random,28,95.7741,95.7741,0.6998,1,0,0,0,0.5,0
synthetic_materials_i,no_care_random,29,84.4205,79.8598,12.0534,0,0,0,0,0.5,0
synthetic_materials_i,incumbent,0,93.1567,90.7658,3.3172,0,0,0,0,0.8182,8
synthetic_materials_i,incumbent,1,96.4345,94.0282,0.0394,1,0,0,0,0.8182,8
synthetic_materials_i,incumbent,2,96.4345,94.9696,0.0394,1,0,0,0,0.9,8
synthetic_materials_i,incumbent,3,93.5761,93.4091,2.8978,1,0,0,0,0.9091,9
synthetic_materials_i,incumbent,4,96.4739,96.4248,0.0,1,0,0,0,0.9091,9
synthetic_materials_i,incumbent,5,96.4345,96.4345,0.0394,1,0,0,0,0.9,8
synthetic_materials_i,incumbent,6,96.4345,95.4341,0.0394,1,0,0,0,0.9167,10
synthetic_materials_i,incumbent,7,96.4345,96.4345,0.0394,1,0,0,0,0.7,6
synthetic_materials_i,incumbent,8,96.4345,94.2875,0.0394,1,0,0,0,0.8333,9
synthetic_materials_i,incumbent,9,93.3674,76.7289,3.1065,0,0,0,0,0.75,2
synthetic_materials_i,incumbent,10,96.4345,96.4345,0.0394,1,0,0,0,0.9,8
synthetic_materials_i,incumbent,11,96.4739,96.264,0.0,1,0,0,0,0.9091,9
synthetic_materials_i,incumbent,12,79.6115,72.8389,16.8624,0,0,0,0,0.5,0
synthetic_materials_i,incumbent,13,96.4345,96.4345,0.0394,1,0,0,0,0.9091,9
synthetic_materials_i,incumbent,14,75.14,72.3084,21.3339,0,0,0,0,0.5,0
synthetic_materials_i,incumbent,15,96.4345,96.2841,0.0394,1,0,0,0,0.8182,8
synthetic_materials_i,incumbent,16,94.897,91.0592,1.5769,1,0,0,0,0.9,8
synthetic_materials_i,incumbent,17,93.5761,91.828,2.8978,1,0,0,0,0.8182,8
synthetic_materials_i,incumbent,18,92.6566,92.5461,3.8173,0,0,0,0,0.7273,7
synthetic_materials_i,incumbent,19,96.4739,92.7715,0.0,1,0,0,0,0.9167,10
synthetic_materials_i,incumbent,20,96.4345,94.5196,0.0394,1,0,0,0,0.9091,9
synthetic_materials_i,incumbent,21,88.5634,77.3351,7.9105,0,0,0,0,0.6667,1
