dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_buchwald_hartwig,no_care_random,0,86.1051,83.0101,13.8949,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,1,87.7532,83.6455,12.2468,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,2,86.1219,85.9856,13.8781,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,3,75.5938,74.6349,24.4062,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,4,61.6889,61.6889,38.3111,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,5,86.0034,86.0034,13.9966,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,6,82.1848,82.1848,17.8152,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,7,75.3112,75.3112,24.6888,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,8,92.1372,66.8906,7.8628,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,9,86.0035,86.0035,13.9965,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,10,65.4689,62.1459,34.5311,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,11,86.1051,85.0931,13.8949,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,12,80.7704,60.5815,19.2296,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,13,88.7252,88.7252,11.2748,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,14,98.8492,98.8492,1.1508,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,15,53.665,53.665,46.335,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,16,92.8977,89.3355,7.1023,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,17,92.2093,75.4462,7.7907,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,18,98.2872,98.2872,1.7128,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,19,93.7486,72.6093,6.2514,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,20,99.6191,90.253,0.3809,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,21,86.0035,86.0035,13.9965,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,22,85.2207,78.2469,14.7793,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,23,89.5866,88.5049,10.4134,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,24,74.6988,74.6988,25.3012,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,25,76.3361,70.8159,23.6639,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,26,81.5102,81.5102,18.4898,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,27,78.224,65.4125,21.776,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,28,80.978,80.978,19.022,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_care_random,29,90.2279,90.2279,9.7721,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,0,70.6299,70.6299,29.3701,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,1,92.659,83.0859,7.341,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,2,86.4129,77.9606,13.5871,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,3,84.4027,83.4019,15.5973,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,4,94.6911,87.3772,5.3089,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,5,88.1675,86.3166,11.8325,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,6,88.4449,88.1735,11.5551,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,7,75.3112,75.3112,24.6888,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,8,94.5498,80.4126,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,9,90.9905,87.177,9.0095,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,10,89.4741,67.7042,10.5259,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,11,98.7313,93.8347,1.2687,1,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,12,94.5498,75.1811,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,13,98.1771,92.506,1.8229,1,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,14,98.8492,98.8492,1.1508,1,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,15,86.1982,82.8876,13.8018,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,16,70.6299,70.6299,29.3701,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,17,93.1012,87.4297,6.8988,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,18,98.2872,98.2872,1.7128,1,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,19,74.0097,61.6939,25.9903,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,20,52.7885,52.7885,47.2115,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,21,94.5498,92.8405,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,22,75.3018,65.8881,24.6982,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,23,92.659,90.1147,7.341,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,24,93.0289,83.3805,6.9711,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,25,62.5355,62.5355,37.4645,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,26,86.1982,84.5823,13.8018,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,27,88.1675,59.1259,11.8325,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,28,92.9567,89.3631,7.0433,0,0,0,0,0,0.5,0
real_buchwald_hartwig,incumbent,29,100.0,95.3564,0.0,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,0,70.6299,70.6299,29.3701,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,1,92.659,83.0859,7.341,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,2,86.4129,77.9606,13.5871,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,3,84.4027,83.4019,15.5973,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,4,94.6911,87.3772,5.3089,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,5,88.1675,86.3166,11.8325,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,6,88.4449,88.1735,11.5551,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,7,75.3112,75.3112,24.6888,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,8,94.5498,80.4126,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,9,90.9905,87.177,9.0095,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,10,89.4741,67.7042,10.5259,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,11,98.7313,93.8347,1.2687,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,12,94.5498,75.1811,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,13,98.1771,92.506,1.8229,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,14,98.8492,98.8492,1.1508,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,15,86.1982,82.8876,13.8018,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,16,70.6299,70.6299,29.3701,0,1,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,17,93.1012,87.4297,6.8988,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,18,98.2872,98.2872,1.7128,1,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,19,74.0097,61.6939,25.9903,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,20,52.7885,52.7885,47.2115,0,1,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,21,94.5498,92.8405,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,22,75.3018,65.8881,24.6982,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,23,92.659,90.1147,7.341,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,24,93.0289,83.3805,6.9711,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,25,62.5355,62.5355,37.4645,0,7,3,0,0,0.5,0
real_buchwald_hartwig,no_gate,26,86.1982,84.5823,13.8018,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,27,88.1675,59.1259,11.8325,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,28,92.9567,89.3631,7.0433,0,0,0,0,0,0.5,0
real_buchwald_hartwig,no_gate,29,100.0,95.3564,0.0,1,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,0,70.6299,70.6299,29.3701,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,1,92.659,83.0859,7.341,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,2,86.4129,77.9606,13.5871,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,3,84.4027,83.4019,15.5973,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,5,88.1675,86.3166,11.8325,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,6,88.4449,88.1735,11.5551,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,7,75.3112,75.3112,24.6888,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,9,90.9905,87.177,9.0095,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,10,89.4741,67.7042,10.5259,0,0,0,0,0,0.5,0
real_buchwald_hartwig,gate_v1,11,98.7313,93.8347,1.2687,1,0,0,0,0,0.5,0
