dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.4167,2.5,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,no_care_random,4,80.125,79.6667,13.625,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,82.6667,8.75,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,88.4167,3.75,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,incumbent,3,82.5,80.4375,11.25,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,incumbent,4,84.25,79.8333,9.5,0,0,0,0,0,0.5,0
real_moleculenet_lipophilicity,llm_no_gate,0,85.0,82.6667,8.75,0,0,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_no_gate,1,90.0,90.0,3.75,0,3,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_no_gate,2,90.0,88.4167,3.75,0,0,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_no_gate,3,80.125,80.0417,13.625,0,1,1,0,3,0.5,0
real_moleculenet_lipophilicity,llm_no_gate,4,80.0,79.125,13.75,0,2,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_gate_v1,0,85.0,82.6667,8.75,0,0,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_gate_v1,1,90.0,90.0,3.75,0,2,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_gate_v1,2,90.0,88.4167,3.75,0,0,0,0,3,0.5,0
real_moleculenet_lipophilicity,llm_gate_v1,3,93.75,84.5833,0.0,1,2,1,0,3,0.5,0
real_moleculenet_lipophilicity,llm_gate_v1,4,80.0,79.125,13.75,0,2,0,0,3,0.5,0
