dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,no_care_random,0,93.0473,83.0335,6.9527,0,0,0,0,0,0.5,0
real_suzuki_miyaura,no_care_random,1,75.3938,75.3938,24.6062,0,0,0,0,0,0.5,0
real_suzuki_miyaura,no_care_random,2,79.8875,67.353,20.1125,0,0,0,0,0,0.5,0
real_suzuki_miyaura,no_care_random,3,90.281,76.9575,9.719,0,0,0,0,0,0.5,0
real_suzuki_miyaura,no_care_random,4,84.9881,82.1228,15.0119,0,0,0,0,0,0.5,0
real_suzuki_miyaura,incumbent,0,93.6745,93.1124,6.3255,0,0,0,0,0,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,97.9619,1.7979,1,0,0,0,0,0.5,0
real_suzuki_miyaura,incumbent,2,92.5188,75.1817,7.4812,0,0,0,0,0,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0.5,0
real_suzuki_miyaura,incumbent,4,91.1515,87.7432,8.8485,0,0,0,0,0,0.5,0
real_suzuki_miyaura,llm_no_gate,0,93.6745,93.1124,6.3255,0,2,0,0,3,0.5,0
real_suzuki_miyaura,llm_no_gate,1,98.2021,97.9619,1.7979,1,3,3,0,3,0.5,0
real_suzuki_miyaura,llm_no_gate,2,80.8541,69.3494,19.1459,0,1,1,0,3,0.5,0
real_suzuki_miyaura,llm_no_gate,3,70.2958,70.2958,29.7042,0,2,1,0,3,0.5,0
real_suzuki_miyaura,llm_no_gate,4,91.1515,87.7432,8.8485,0,0,0,0,3,0.5,0
real_suzuki_miyaura,llm_gate_v1,0,93.6745,93.1124,6.3255,0,2,0,0,3,0.5,0
real_suzuki_miyaura,llm_gate_v1,1,98.2021,97.9619,1.7979,1,2,2,0,3,0.5,0
real_suzuki_miyaura,llm_gate_v1,2,92.5188,75.1817,7.4812,0,0,0,0,3,0.5,0
real_suzuki_miyaura,llm_gate_v1,3,70.2958,70.2958,29.7042,0,2,1,0,3,0.5,0
real_suzuki_miyaura,llm_gate_v1,4,91.1515,87.7432,8.8485,0,0,0,0,3,0.5,0
