dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
synthetic_chemlex_i,no_care_random,0,98.5908,98.5908,1.4092,1,0,0,0,0,0.5,0
synthetic_chemlex_i,no_care_random,1,78.9545,77.7638,21.0455,0,0,0,0,0,0.5,0
synthetic_chemlex_i,no_care_random,2,82.825,79.9696,17.175,0,0,0,0,0,0.5,0
synthetic_chemlex_i,no_care_random,3,80.9365,80.9365,19.0635,0,0,0,0,0,0.5,0
synthetic_chemlex_i,no_care_random,4,93.7095,93.7095,6.2905,0,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,0,100.0,99.7651,0.0,1,0,0,0,0,0.875,6
synthetic_chemlex_i,incumbent,1,82.8059,82.1719,17.1941,0,0,0,0,0,0.6667,1
synthetic_chemlex_i,incumbent,2,89.8278,89.8278,10.1722,0,0,0,0,0,0.5,0
synthetic_chemlex_i,incumbent,3,87.0862,86.2978,12.9138,0,0,0,0,0,0.6667,1
synthetic_chemlex_i,incumbent,4,100.0,97.4813,0.0,1,0,0,0,0,0.8333,4
synthetic_chemlex_i,llm_no_gate,0,100.0,99.7651,0.0,1,2,0,0,3,0.875,6
synthetic_chemlex_i,llm_no_gate,1,82.8059,82.1719,17.1941,0,1,1,0,3,0.6667,1
synthetic_chemlex_i,llm_no_gate,2,89.8278,89.8278,10.1722,0,0,0,0,3,0.5,0
synthetic_chemlex_i,llm_no_gate,3,89.6849,86.7309,10.3151,0,3,1,0,3,0.5,0
synthetic_chemlex_i,llm_no_gate,4,100.0,97.4813,0.0,1,0,0,0,3,0.8333,4
synthetic_chemlex_i,llm_gate_v1,0,100.0,99.7651,0.0,1,1,0,0,3,0.875,6
synthetic_chemlex_i,llm_gate_v1,1,82.8059,82.1719,17.1941,0,1,0,0,3,0.75,2
synthetic_chemlex_i,llm_gate_v1,2,89.8278,89.8278,10.1722,0,0,0,0,3,0.5,0
synthetic_chemlex_i,llm_gate_v1,3,87.0862,86.2978,12.9138,0,2,1,0,3,0.6667,1
synthetic_chemlex_i,llm_gate_v1,4,100.0,97.4813,0.0,1,0,0,0,3,0.8333,4
