dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_chemlex_acidamine,no_care_random,0,70.48,70.48,29.52,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,1,92.75,90.9167,7.25,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,2,95.81,86.65,4.19,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,3,100.0,81.5833,0.0,0,0,0,0,0,0.5,0
real_chemlex_acidamine,no_care_random,4,89.36,34.3167,10.64,0,0,0,0,0,0.5,0
real_chemlex_acidamine,incumbent,0,70.48,70.48,29.52,0,0,0,0,0,0.5,0
real_chemlex_acidamine,incumbent,1,100.0,97.3533,0.0,0,0,0,0,0,0.5,0
real_chemlex_acidamine,incumbent,2,82.07,82.07,17.93,0,0,0,0,0,0.5,0
real_chemlex_acidamine,incumbent,3,100.0,93.11,0.0,0,0,0,0,0,0.5,0
real_chemlex_acidamine,incumbent,4,7.67,7.67,92.33,0,0,0,0,0,0.5,0
real_chemlex_acidamine,llm_no_gate,0,70.48,70.48,29.52,0,2,1,0,3,0.5,0
real_chemlex_acidamine,llm_no_gate,1,100.0,97.3533,0.0,0,1,0,0,3,0.5,0
real_chemlex_acidamine,llm_no_gate,2,82.07,82.07,17.93,0,0,0,0,3,0.5,0
real_chemlex_acidamine,llm_no_gate,3,100.0,93.11,0.0,0,3,0,0,3,0.5,0
real_chemlex_acidamine,llm_no_gate,4,7.67,7.67,92.33,0,0,0,0,3,0.5,0
real_chemlex_acidamine,llm_gate_v1,0,70.48,70.48,29.52,0,2,1,0,3,0.5,0
real_chemlex_acidamine,llm_gate_v1,1,100.0,97.3533,0.0,0,1,0,0,3,0.5,0
real_chemlex_acidamine,llm_gate_v1,2,82.07,82.07,17.93,0,0,0,0,3,0.5,0
real_chemlex_acidamine,llm_gate_v1,3,100.0,93.11,0.0,0,3,0,0,3,0.5,0
real_chemlex_acidamine,llm_gate_v1,4,7.67,7.67,92.33,0,0,0,0,3,0.5,0
