run,mode,final_best_mean,best_so_far_auc_mean,simple_regret_mean,top10_hit_mean,intervention_count_mean,bad_intervention_count_mean,transfer_active_rounds_mean,transfer_scored_candidates_total_mean,note
strict2,no_care_random,87.2205,83.3939,12.7795,0.0333,0.0000,0.0000,0.0000,0.0000,baseline random selection
strict2,incumbent,92.6085,87.5533,7.3915,0.1000,0.0000,0.0000,0.0000,0.0000,no CARE transfer
strict2,target_local_gate_v1,92.6085,87.4647,7.3915,0.1000,0.1333,0.0667,0.0000,0.0000,target-only local skill gate
strict2,transfer_gate_v1,91.3879,86.4187,8.6121,0.1667,3.2000,1.6333,7.0000,29997.2000,plain cross-domain transfer
strict2,transfer_plus_local_gate_v1,91.6643,86.6158,8.3357,0.1333,2.3333,1.0333,7.0000,29827.4000,plain transfer plus local skills
strict2,transfer_strict_gate_v1,92.8770,87.7002,7.1230,0.1333,1.4333,0.8333,6.6667,3597.4333,best server-side setting
strict2,transfer_strict_plus_local_gate_v1,92.8273,87.5630,7.1727,0.1333,1.4667,0.8667,6.6333,3587.9000,strict transfer plus local skills
strict3,incumbent,92.6085,87.5533,7.3915,0.1000,0.0000,0.0000,0.0000,0.0000,comparison anchor
strict3,transfer_strict_gate_v1,91.2369,86.6971,8.7631,0.1667,3.6333,1.8667,5.6667,245.0333,too narrow: min_positive_roles=3
strict3,transfer_strict_plus_local_gate_v1,91.2377,86.5681,8.7623,0.1667,4.0000,2.1667,5.6333,223.0000,too narrow with local skills
