dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,mean_transfer_confidence
real_moleculenet_lipophilicity,gp_ucb,0,85.0,85.0,8.75,0,0,0,0,0,0,0.1832
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,0,85.0,85.0,8.75,0,1,0,2,7,29145,0.1832
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,0,87.5,85.875,6.25,0,2,0,0,7,29257,0.1832
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,0,87.0,81.4,6.75,0,7,4,0,10,69998,0.1832
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,0,87.0,81.4,6.75,0,7,4,0,10,69998,0.1832
real_moleculenet_lipophilicity,gp_ucb,1,90.0,90.0,3.75,0,0,0,0,0,0,0.2085
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,1,90.0,90.0,3.75,0,1,1,1,6,16296,0.2085
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,1,90.0,90.0,3.75,0,3,0,0,7,26076,0.2085
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,1,90.0,90.0,3.75,0,7,1,0,10,70856,0.2085
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,1,90.0,90.0,3.75,0,7,1,0,10,70856,0.2085
real_moleculenet_lipophilicity,gp_ucb,2,87.625,87.625,6.125,0,0,0,0,0,0,0.1851
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,2,87.625,87.625,6.125,0,0,0,1,7,25974,0.1851
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,2,90.75,88.25,3.0,0,2,0,0,7,25490,0.1851
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,2,90.0,88.3375,3.75,0,5,2,0,10,69589,0.1851
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,2,90.0,88.3375,3.75,0,5,2,0,10,69589,0.1851
real_moleculenet_lipophilicity,gp_ucb,3,91.25,88.25,2.5,0,0,0,0,0,0,0.2224
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,3,91.25,88.25,2.5,0,1,1,1,7,28634,0.2224
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,3,91.25,88.25,2.5,0,3,1,0,7,28635,0.2224
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,3,91.875,90.6875,1.875,0,7,2,1,10,69931,0.2224
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,3,91.875,90.6875,1.875,0,8,2,0,10,69931,0.2224
real_moleculenet_lipophilicity,gp_ucb,4,87.125,84.2,6.625,0,0,0,0,0,0,0.1888
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,4,87.125,84.2,6.625,0,0,0,0,6,14429,0.1888
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,4,87.125,84.2,6.625,0,0,0,0,6,14429,0.1888
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,4,88.75,88.75,5.0,0,7,6,0,10,71086,0.1888
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,4,88.75,88.75,5.0,0,7,6,0,10,71086,0.1888
real_moleculenet_lipophilicity,gp_ucb,5,93.75,90.7375,0.0,1,0,0,0,0,0,0.1997
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,5,93.75,90.7375,0.0,1,0,0,0,7,29175,0.1997
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,5,93.75,90.7375,0.0,1,1,1,0,7,29131,0.1997
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,5,87.5,86.5625,6.25,0,9,5,0,10,70388,0.1997
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,5,87.5,86.5625,6.25,0,9,5,0,10,70388,0.1997
real_moleculenet_lipophilicity,gp_ucb,6,85.25,82.775,8.5,0,0,0,0,0,0,0.1895
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_gate_v1,6,85.25,82.775,8.5,0,0,0,0,2,4654,0.1895
real_moleculenet_lipophilicity,hybrid_transfer_gp_ucb_no_gate,6,85.25,82.775,8.5,0,0,0,0,2,4654,0.1895
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_gate_v1,6,82.5,82.5,11.25,0,5,3,0,10,54018,0.1895
real_moleculenet_lipophilicity,hybrid_value_prior_gp_ucb_no_gate,6,82.5,82.5,11.25,0,5,3,0,10,54018,0.1895
real_moleculenet_lipophilicity,gp_ucb,7,88.625,85.45,5.125,0,0,0,0,0,0,0.1921
