target_dataset,source_dataset,family,mode,seeds,final_best_mean,delta_final_vs_gp_ucb,best_so_far_auc_mean,delta_auc_vs_gp_ucb,top10_hit_mean,intervention_mean,bad_intervention_mean
real_moleculenet_lipophilicity,,surrogate_reference,mixed_kernel_gp_ucb,50,88.4775,0.0,86.4578,0.0,0.08,,
real_moleculenet_lipophilicity,real_moleculenet_freesolv,hybrid_gp_ucb_transfer,gp_ucb,50,88.4775,0.0,86.4578,0.0,0.08,0.0,0.0
real_moleculenet_lipophilicity,real_moleculenet_freesolv,hybrid_gp_ucb_transfer,hybrid_transfer_gp_ucb_gate_v1,50,88.395,-0.0825,86.4265,-0.0313,0.08,0.94,0.48
real_moleculenet_lipophilicity,real_moleculenet_freesolv,hybrid_gp_ucb_transfer,hybrid_transfer_gp_ucb_no_gate,50,88.41,-0.0675,86.3113,-0.1465,0.1,2.5,1.24
real_moleculenet_lipophilicity,real_moleculenet_freesolv,hybrid_gp_ucb_transfer,hybrid_value_prior_gp_ucb_gate_v1,50,88.8775,0.4,86.727,0.2692,0.16,6.02,3.4
real_moleculenet_lipophilicity,real_moleculenet_freesolv,hybrid_gp_ucb_transfer,hybrid_value_prior_gp_ucb_no_gate,50,88.8725,0.395,86.7265,0.2687,0.16,6.12,3.44
real_moleculenet_lipophilicity,real_moleculenet_freesolv,prior_transfer_reference,incumbent,50,87.3075,,85.5660,,0.0400,0.0000,0.0000
real_moleculenet_lipophilicity,real_moleculenet_freesolv,prior_transfer_reference,transfer_value_prior_gate_v1,50,90.0625,,87.9660,,0.3000,7.4800,3.4600
real_buchwald_hartwig,,surrogate_reference,mixed_kernel_gp_ucb,50,91.1145,0.0,82.97,0.0,0.32,,
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp_ucb_transfer,gp_ucb,50,91.1145,0.0,82.97,0.0,0.32,0.0,0.0
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp_ucb_transfer,hybrid_transfer_gp_ucb_gate_v1,50,90.7886,-0.3259,83.1863,0.2163,0.26,1.98,0.74
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp_ucb_transfer,hybrid_transfer_gp_ucb_no_gate,50,90.7886,-0.3259,83.1863,0.2163,0.26,1.98,0.74
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp_ucb_transfer,hybrid_value_prior_gp_ucb_gate_v1,50,90.7886,-0.3259,83.1863,0.2163,0.26,1.98,0.74
real_buchwald_hartwig,real_suzuki_miyaura,hybrid_gp_ucb_transfer,hybrid_value_prior_gp_ucb_no_gate,50,90.7886,-0.3259,83.1863,0.2163,0.26,1.98,0.74
real_buchwald_hartwig,real_suzuki_miyaura,prior_transfer_reference,incumbent,50,86.6477,,79.9713,,0.1600,0.0000,0.0000
real_buchwald_hartwig,real_suzuki_miyaura,prior_transfer_reference,transfer_gate_v1,50,89.0866,,81.0779,,0.2400,2.0800,0.8600
