dataset,mode,final_best_mean,delta_final_vs_public_incumbent,auc_mean,delta_auc_vs_public_incumbent,top10_hit_mean,regret_mean
real_buchwald_hartwig,random,82.1728,-4.4749,77.4347,-2.5366,0.06,17.8272
real_buchwald_hartwig,group_only,86.1706,-0.4771,82.9826,3.0113,0.06,13.8294
real_buchwald_hartwig,factor_only,86.3136,-0.3341,80.0357,0.0644,0.24,13.6864
real_buchwald_hartwig,factor_ucb,86.796,0.1483,79.5502,-0.4211,0.2,13.2041
real_buchwald_hartwig,no_condition_prior,86.1992,-0.4485,80.4621,0.4908,0.2,13.8008
real_buchwald_hartwig,public_incumbent,86.6477,0.0,79.9713,0.0,0.16,13.3523
real_moleculenet_lipophilicity,random,85.765,-1.5425,84.2917,-1.2743,0.02,7.985
real_moleculenet_lipophilicity,group_only,86.32,-0.9875,84.4772,-1.0888,0.0,7.43
real_moleculenet_lipophilicity,factor_only,87.5225,0.215,85.6342,0.0682,0.08,6.2275
real_moleculenet_lipophilicity,factor_ucb,87.455,0.1475,85.8572,0.2912,0.16,6.295
real_moleculenet_lipophilicity,no_condition_prior,87.1875,-0.12,85.3805,-0.1855,0.08,6.5625
real_moleculenet_lipophilicity,public_incumbent,87.3075,0.0,85.566,0.0,0.04,6.4425
