pair,mode,seeds,rounds,source_observations,final_best,delta_final_vs_incumbent,best_so_far_auc,delta_auc_vs_incumbent,top10_hit,mean_llm_calls_per_seed,total_llm_calls,mean_llm_parse_errors_per_seed,transfer_active_rounds
FreeSolv->Lipophilicity,no_care_random,10,10,192,84.8625,-1.7875,84.09,-0.82,0.0,0.0,0.0,0.0,0.0
FreeSolv->Lipophilicity,incumbent,10,10,192,86.65,0.0,84.91,0.0,0.0,0.0,0.0,0.0,0.0
FreeSolv->Lipophilicity,transfer_value_prior_gate_v1,10,10,192,87.2,0.55,85.4838,0.5738,0.1,0.0,0.0,0.0,10.0
FreeSolv->Lipophilicity,llm_transfer_gate_v1,10,10,192,87.175,0.525,85.605,0.695,0.1,7.0,70.0,0.0,6.1
FreeSolv->Lipophilicity,llm_audit_transfer_gate_v1,10,10,192,86.65,0.0,84.91,0.0,0.0,0.9,9.0,0.0,7.0
Suzuki->Buchwald-Hartwig,no_care_random,10,10,96,81.8903,-4.7357,78.5358,-3.4488,0.0,0.0,0.0,0.0,0.0
Suzuki->Buchwald-Hartwig,incumbent,10,10,96,86.626,0.0,81.9846,0.0,0.0,0.0,0.0,0.0,0.0
Suzuki->Buchwald-Hartwig,transfer_gate_v1,10,10,96,90.098,3.472,82.9136,0.929,0.2,0.0,0.0,0.0,7.0
Suzuki->Buchwald-Hartwig,llm_transfer_gate_v1,10,10,96,85.6227,-1.0033,81.4474,-0.5372,0.0,7.0,70.0,0.0,7.0
Suzuki->Buchwald-Hartwig,llm_audit_transfer_gate_v1,10,10,96,86.626,0.0,81.9179,-0.0667,0.0,2.8,28.0,0.0,7.0
