tag,source_dataset,target_dataset,mode,seeds,rounds,source_observation_count,final_best_mean,final_best_delta_vs_incumbent,best_so_far_auc_mean,best_so_far_auc_delta_vs_incumbent,bad_intervention_mean,intervention_mean,rejected_good_challenger_mean,llm_call_mean,llm_parse_error_mean
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_chemlex_acidamine,no_care_random,10,10,64,90.111,16.526,80.4436,10.1179,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_chemlex_acidamine,incumbent,10,10,64,73.585,0.0,70.3257,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_chemlex_acidamine,transfer_no_gate,10,10,64,70.637,-2.948,69.2376,-1.0881,1.7,3.1,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_chemlex_acidamine,transfer_gate_v1,10,10,64,70.637,-2.948,69.2773,-1.0484,1.7,3.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_chemlex_acidamine,transfer_strict_gate_v1,10,10,64,73.585,0.0,70.3257,0.0,0.5,0.6,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_suzuki_miyaura,no_care_random,10,10,64,88.6413,-2.7222,83.6799,-2.9219,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_suzuki_miyaura,incumbent,10,10,64,91.3635,0.0,86.6018,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_suzuki_miyaura,transfer_no_gate,10,10,64,90.0375,-1.326,85.7514,-0.8504,1.6,2.8,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_suzuki_miyaura,transfer_gate_v1,10,10,64,90.0375,-1.326,85.7514,-0.8504,1.6,2.8,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_suzuki_miyaura,transfer_strict_gate_v1,10,10,64,89.4795,-1.884,85.8859,-0.7159,1.0,1.6,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_buchwald_hartwig,no_care_random,10,10,64,81.8903,-4.7357,78.5358,-3.4488,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_buchwald_hartwig,incumbent,10,10,64,86.626,0.0,81.9846,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_buchwald_hartwig,transfer_no_gate,10,10,64,88.0951,1.4691,81.7339,-0.2507,0.6,2.1,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_buchwald_hartwig,transfer_gate_v1,10,10,64,88.0951,1.4691,81.7339,-0.2507,0.6,2.1,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_buchwald_hartwig,transfer_strict_gate_v1,10,10,64,86.626,0.0,81.9901,0.0055,0.0,0.6,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_suzuki_miyaura,no_care_random,10,10,64,88.6413,-2.7222,83.6799,-2.9219,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_suzuki_miyaura,incumbent,10,10,64,91.3635,0.0,86.6018,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_suzuki_miyaura,transfer_no_gate,10,10,64,91.5456,0.1821,86.5185,-0.0833,2.4,3.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_suzuki_miyaura,transfer_gate_v1,10,10,64,88.8774,-2.4861,85.7327,-0.8691,2.2,2.8,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_suzuki_miyaura,transfer_strict_gate_v1,10,10,64,87.7992,-3.5643,85.5516,-1.0502,0.6,1.3,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_freesolv,no_care_random,10,10,64,68.7433,-2.0167,64.402,3.7627,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_freesolv,incumbent,10,10,64,70.76,0.0,60.6393,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_no_gate,10,10,64,70.76,0.0,60.6393,0.0,0.2,0.2,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_gate_v1,10,10,64,70.76,0.0,60.6393,0.0,0.2,0.2,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_strict_gate_v1,10,10,64,70.76,0.0,60.6393,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_lipophilicity,no_care_random,10,10,64,84.8625,-1.7875,84.09,-0.82,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_lipophilicity,incumbent,10,10,64,86.65,0.0,84.91,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_no_gate,10,10,64,86.35,-0.3,84.705,-0.205,0.4,1.4,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_gate_v1,10,10,64,86.775,0.125,84.9175,0.0075,0.2,0.5,0.6,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_strict_gate_v1,10,10,64,86.65,0.0,84.91,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,no_care_random,10,10,64,84.8625,-1.7875,84.09,-0.82,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,incumbent,10,10,64,86.65,0.0,84.91,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_no_gate,10,10,64,86.225,-0.425,84.6813,-0.2287,0.6,1.9,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_gate_v1,10,10,64,86.65,0.0,84.8512,-0.0588,0.4,0.6,0.7,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_strict_gate_v1,10,10,64,87.35,0.7,84.9562,0.0462,0.2,0.3,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,no_care_random,10,10,64,68.7433,-2.0167,64.402,3.7627,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,incumbent,10,10,64,70.76,0.0,60.6393,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_no_gate,10,10,64,70.67,-0.09,60.6303,-0.009,0.4,0.8,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_gate_v1,10,10,64,70.76,0.0,60.6393,0.0,0.1,0.3,0.1,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_strict_gate_v1,10,10,64,70.76,0.0,60.6393,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_buchwald_hartwig,no_care_random,10,10,64,81.8903,-4.7357,78.5358,-3.4488,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_buchwald_hartwig,incumbent,10,10,64,86.626,0.0,81.9846,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_no_gate,10,10,64,90.098,3.472,82.9136,0.929,0.9,3.2,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_gate_v1,10,10,64,90.098,3.472,82.9136,0.929,0.9,3.2,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_strict_gate_v1,10,10,64,86.1273,-0.4987,81.8673,-0.1173,0.0,0.2,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_chemlex_acidamine,no_care_random,10,10,64,90.111,16.526,80.4436,10.1179,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_chemlex_acidamine,incumbent,10,10,64,73.585,0.0,70.3257,0.0,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_chemlex_acidamine,transfer_no_gate,10,10,64,77.295,3.71,72.7053,2.3796,0.7,3.3,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_chemlex_acidamine,transfer_gate_v1,10,10,64,77.295,3.71,72.7053,2.3796,0.7,3.3,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_chemlex_acidamine,transfer_strict_gate_v1,10,10,64,78.023,4.438,70.7624,0.4367,0.5,2.2,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_chemlex_i,real_chemlex_acidamine,no_care_random,10,10,64,90.111,16.526,80.4436,10.1179,0.0,0.0,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_chemlex_i,real_chemlex_acidamine,incumbent,10,10,64,73.585,0.0,70.3257,0.0,0.0,0.0,0.0,0.0,0.0
