dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0,0,0,64,0.1083,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,64,0.1083,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,0,85.0,83.6,8.75,0,0,0,0,7,26809,0,0,64,0.1083,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,0,85.0,83.6,8.75,0,0,0,0,7,26809,0,0,64,0.1083,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,64,0.1083,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.75,2.5,0,0,0,0,0,0,0,0,64,0.1695,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,64,0.1695,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,1,91.25,90.625,2.5,0,4,1,0,7,29239,0,0,64,0.1695,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,1,91.25,90.625,2.5,0,3,1,1,7,29239,0,0,64,0.1695,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,1,90.0,90.0,3.75,0,0,0,0,1,1337,0,0,64,0.1695,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,64,0.096,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,64,0.096,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,2,90.0,89.05,3.75,0,0,0,0,6,18404,0,0,64,0.096,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,2,90.0,89.05,3.75,0,0,0,0,6,18404,0,0,64,0.096,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,64,0.096,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,64,0.0929,0.5,0
real_moleculenet_lipophilicity,incumbent,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,64,0.0929,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,3,84.25,80.8875,9.5,0,1,1,0,7,28941,0,0,64,0.0929,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,3,84.25,80.8875,9.5,0,1,1,0,7,28941,0,0,64,0.0929,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,64,0.0929,0.5,0
real_moleculenet_lipophilicity,no_care_random,4,83.75,80.9375,10.0,0,0,0,0,0,0,0,0,64,0.1571,0.5,0
real_moleculenet_lipophilicity,incumbent,4,84.25,81.6,9.5,0,0,0,0,0,0,0,0,64,0.1571,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,4,80.0,79.475,13.75,0,3,0,0,6,17785,0,0,64,0.1571,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,4,84.25,81.6,9.5,0,1,0,1,6,23122,0,0,64,0.1571,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,4,84.25,81.6,9.5,0,0,0,0,3,2679,0,0,64,0.1571,0.5,0
real_moleculenet_lipophilicity,no_care_random,5,80.25,80.0375,13.5,0,0,0,0,0,0,0,0,64,0.136,0.5,0
real_moleculenet_lipophilicity,incumbent,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,64,0.136,0.5,0
