dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,no_care_random,0,82.25,82.25,11.5,0,0,0,0,0,0,0,0,64,0.1689,0.5,0
real_moleculenet_lipophilicity,incumbent,0,85.0,83.6,8.75,0,0,0,0,0,0,0,0,64,0.1689,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,0,85.0,83.6,8.75,0,0,0,0,7,28663,0,0,64,0.1689,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,0,85.0,83.6,8.75,0,0,0,0,7,28663,0,0,64,0.1689,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,0,85.0,83.6,8.75,0,0,0,0,5,4920,0,0,64,0.1689,0.5,0
real_moleculenet_lipophilicity,no_care_random,1,91.25,90.75,2.5,0,0,0,0,0,0,0,0,64,0.1805,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,64,0.1805,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,1,90.0,90.0,3.75,0,1,0,0,7,29261,0,0,64,0.1805,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,1,90.0,90.0,3.75,0,1,0,0,7,29261,0,0,64,0.1805,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,1,90.0,90.0,3.75,0,0,0,0,2,969,0,0,64,0.1805,0.5,0
real_moleculenet_lipophilicity,no_care_random,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,64,0.0881,0.5,0
real_moleculenet_lipophilicity,incumbent,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,64,0.0881,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,2,90.0,89.05,3.75,0,0,0,0,7,22733,0,0,64,0.0881,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,2,90.0,89.05,3.75,0,0,0,0,7,22733,0,0,64,0.0881,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,2,90.0,89.05,3.75,0,0,0,0,0,0,0,0,64,0.0881,0.5,0
real_moleculenet_lipophilicity,no_care_random,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,64,0.1747,0.5,0
real_moleculenet_lipophilicity,incumbent,3,84.25,81.4375,9.5,0,0,0,0,0,0,0,0,64,0.1747,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,3,84.25,81.275,9.5,0,2,2,0,7,29309,0,0,64,0.1747,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,3,84.25,81.275,9.5,0,2,2,0,7,29309,0,0,64,0.1747,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,3,91.25,81.9,2.5,0,2,1,0,7,2793,0,0,64,0.1747,0.5,0
real_moleculenet_lipophilicity,no_care_random,4,83.75,80.9375,10.0,0,0,0,0,0,0,0,0,64,0.2048,0.5,0
real_moleculenet_lipophilicity,incumbent,4,84.25,81.6,9.5,0,0,0,0,0,0,0,0,64,0.2048,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,4,80.0,79.475,13.75,0,4,0,0,7,24363,0,0,64,0.2048,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,4,84.25,81.175,9.5,0,1,1,1,7,26431,0,0,64,0.2048,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,4,84.25,81.6,9.5,0,0,0,0,4,3118,0,0,64,0.2048,0.5,0
real_moleculenet_lipophilicity,no_care_random,5,80.25,80.0375,13.5,0,0,0,0,0,0,0,0,64,0.1343,0.5,0
real_moleculenet_lipophilicity,incumbent,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,64,0.1343,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,5,90.0,85.25,3.75,0,3,0,0,7,27298,0,0,64,0.1343,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,5,90.0,85.25,3.75,0,0,0,1,7,28189,0,0,64,0.1343,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,5,90.0,85.25,3.75,0,0,0,0,0,0,0,0,64,0.1343,0.5,0
real_moleculenet_lipophilicity,no_care_random,6,87.125,84.8125,6.625,0,0,0,0,0,0,0,0,64,0.2016,0.5,0
real_moleculenet_lipophilicity,incumbent,6,84.25,83.9,9.5,0,0,0,0,0,0,0,0,64,0.2016,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,6,84.25,83.9,9.5,0,3,2,0,7,29307,0,0,64,0.2016,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,6,84.25,83.9,9.5,0,1,1,1,7,29307,0,0,64,0.2016,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,6,84.25,83.9,9.5,0,1,1,0,5,1602,0,0,64,0.2016,0.5,0
real_moleculenet_lipophilicity,no_care_random,7,83.875,83.8625,9.875,0,0,0,0,0,0,0,0,64,0.1558,0.5,0
real_moleculenet_lipophilicity,incumbent,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,64,0.1558,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,7,90.0,90.0,3.75,0,3,0,0,7,19256,0,0,64,0.1558,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,7,90.0,90.0,3.75,0,0,0,2,7,20484,0,0,64,0.1558,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,64,0.1558,0.5,0
real_moleculenet_lipophilicity,no_care_random,8,82.5,82.5,11.25,0,0,0,0,0,0,0,0,64,0.151,0.5,0
real_moleculenet_lipophilicity,incumbent,8,85.0,80.5125,8.75,0,0,0,0,0,0,0,0,64,0.151,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,8,85.0,80.5125,8.75,0,3,2,0,7,26893,0,0,64,0.151,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,8,85.0,80.5125,8.75,0,1,0,2,7,26791,0,0,64,0.151,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,8,85.0,80.5125,8.75,0,0,0,0,0,0,0,0,64,0.151,0.5,0
real_moleculenet_lipophilicity,no_care_random,9,90.0,88.125,3.75,0,0,0,0,0,0,0,0,64,0.1661,0.5,0
real_moleculenet_lipophilicity,incumbent,9,83.75,83.75,10.0,0,0,0,0,0,0,0,0,64,0.1661,0.5,0
real_moleculenet_lipophilicity,transfer_no_gate,9,83.75,83.75,10.0,0,0,0,0,7,29323,0,0,64,0.1661,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,9,83.75,83.75,10.0,0,0,0,0,7,29323,0,0,64,0.1661,0.5,0
real_moleculenet_lipophilicity,transfer_strict_gate_v1,9,83.75,83.75,10.0,0,0,0,0,7,3605,0,0,64,0.1661,0.5,0
