dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_matbench_expt_gap,no_care_random,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,64,0.2145,0.5,0
real_matbench_expt_gap,incumbent,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,64,0.2145,0.5,0
real_matbench_expt_gap,transfer_no_gate,0,47.5,47.5,52.5,0,3,0,0,5,5037,0,0,64,0.2145,0.5,0
real_matbench_expt_gap,transfer_gate_v1,0,47.5,47.5,52.5,0,3,0,0,5,5037,0,0,64,0.2145,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,0,47.5,47.5,52.5,0,0,0,0,0,0,0,0,64,0.2145,0.5,0
real_matbench_expt_gap,no_care_random,1,71.375,71.375,28.625,0,0,0,0,0,0,0,0,64,0.1996,0.5,0
real_matbench_expt_gap,incumbent,1,71.375,71.375,28.625,0,0,0,0,0,0,0,0,64,0.1996,0.5,0
real_matbench_expt_gap,transfer_no_gate,1,71.375,71.375,28.625,0,1,1,0,4,8706,0,0,64,0.1996,0.5,0
real_matbench_expt_gap,transfer_gate_v1,1,71.375,71.375,28.625,0,1,1,0,4,8706,0,0,64,0.1996,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,1,71.375,71.375,28.625,0,0,0,0,0,0,0,0,64,0.1996,0.5,0
real_matbench_expt_gap,no_care_random,2,29.0,27.475,71.0,0,0,0,0,0,0,0,0,64,0.1965,0.5,0
real_matbench_expt_gap,incumbent,2,37.875,32.6375,62.125,0,0,0,0,0,0,0,0,64,0.1965,0.5,0
real_matbench_expt_gap,transfer_no_gate,2,37.875,32.35,62.125,0,1,1,0,7,26793,0,0,64,0.1965,0.5,0
real_matbench_expt_gap,transfer_gate_v1,2,37.875,32.35,62.125,0,1,1,0,7,26793,0,0,64,0.1965,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,2,37.875,32.6375,62.125,0,0,0,0,0,0,0,0,64,0.1965,0.5,0
real_matbench_expt_gap,no_care_random,3,37.5,30.625,62.5,0,0,0,0,0,0,0,0,64,0.2144,0.5,0
real_matbench_expt_gap,incumbent,3,32.25,26.8125,67.75,0,0,0,0,0,0,0,0,64,0.2144,0.5,0
real_matbench_expt_gap,transfer_no_gate,3,32.25,26.8125,67.75,0,0,0,0,7,10876,0,0,64,0.2144,0.5,0
real_matbench_expt_gap,transfer_gate_v1,3,32.25,26.8125,67.75,0,0,0,0,7,10876,0,0,64,0.2144,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,3,32.25,26.8125,67.75,0,0,0,0,0,0,0,0,64,0.2144,0.5,0
real_matbench_expt_gap,no_care_random,4,40.625,30.5,59.375,0,0,0,0,0,0,0,0,64,0.2192,0.5,0
real_matbench_expt_gap,incumbent,4,20.75,14.1625,79.25,0,0,0,0,0,0,0,0,64,0.2192,0.5,0
real_matbench_expt_gap,transfer_no_gate,4,20.75,14.1625,79.25,0,0,0,0,1,1222,0,0,64,0.2192,0.5,0
real_matbench_expt_gap,transfer_gate_v1,4,20.75,14.1625,79.25,0,0,0,0,1,1222,0,0,64,0.2192,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,4,20.75,14.1625,79.25,0,0,0,0,0,0,0,0,64,0.2192,0.5,0
real_matbench_expt_gap,no_care_random,5,86.125,86.125,13.875,0,0,0,0,0,0,0,0,64,0.1875,0.5,0
real_matbench_expt_gap,incumbent,5,86.125,86.125,13.875,0,0,0,0,0,0,0,0,64,0.1875,0.5,0
real_matbench_expt_gap,transfer_no_gate,5,86.125,86.125,13.875,0,1,0,0,7,31377,0,0,64,0.1875,0.5,0
real_matbench_expt_gap,transfer_gate_v1,5,86.125,86.125,13.875,0,1,0,0,7,31377,0,0,64,0.1875,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,5,86.125,86.125,13.875,0,0,0,0,0,0,0,0,64,0.1875,0.5,0
real_matbench_expt_gap,no_care_random,6,36.25,36.25,63.75,0,0,0,0,0,0,0,0,64,0.1942,0.5,0
real_matbench_expt_gap,incumbent,6,36.25,36.25,63.75,0,0,0,0,0,0,0,0,64,0.1942,0.5,0
real_matbench_expt_gap,transfer_no_gate,6,36.25,36.25,63.75,0,0,0,0,7,14252,0,0,64,0.1942,0.5,0
real_matbench_expt_gap,transfer_gate_v1,6,36.25,36.25,63.75,0,0,0,0,7,14252,0,0,64,0.1942,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,6,36.25,36.25,63.75,0,0,0,0,0,0,0,0,64,0.1942,0.5,0
real_matbench_expt_gap,no_care_random,7,60.625,60.625,39.375,0,0,0,0,0,0,0,0,64,0.2181,0.5,0
real_matbench_expt_gap,incumbent,7,70.625,61.625,29.375,0,0,0,0,0,0,0,0,64,0.2181,0.5,0
real_matbench_expt_gap,transfer_no_gate,7,70.625,61.625,29.375,0,0,0,0,7,25795,0,0,64,0.2181,0.5,0
real_matbench_expt_gap,transfer_gate_v1,7,70.625,61.625,29.375,0,0,0,0,7,25795,0,0,64,0.2181,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,7,70.625,61.625,29.375,0,0,0,0,0,0,0,0,64,0.2181,0.5,0
real_matbench_expt_gap,no_care_random,8,45.625,45.625,54.375,0,0,0,0,0,0,0,0,64,0.2122,0.5,0
real_matbench_expt_gap,incumbent,8,91.25,83.4625,8.75,0,0,0,0,0,0,0,0,64,0.2122,0.5,0
real_matbench_expt_gap,transfer_no_gate,8,91.25,83.4625,8.75,0,0,0,0,7,31430,0,0,64,0.2122,0.5,0
real_matbench_expt_gap,transfer_gate_v1,8,91.25,83.4625,8.75,0,0,0,0,7,31430,0,0,64,0.2122,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,8,91.25,83.4625,8.75,0,0,0,0,7,4242,0,0,64,0.2122,0.5,0
real_matbench_expt_gap,no_care_random,9,45.0,45.0,55.0,0,0,0,0,0,0,0,0,64,0.2097,0.5,0
real_matbench_expt_gap,incumbent,9,91.25,74.2125,8.75,0,0,0,0,0,0,0,0,64,0.2097,0.5,0
real_matbench_expt_gap,transfer_no_gate,9,91.25,74.2125,8.75,0,0,0,0,7,31864,0,0,64,0.2097,0.5,0
real_matbench_expt_gap,transfer_gate_v1,9,91.25,74.2125,8.75,0,0,0,0,7,31864,0,0,64,0.2097,0.5,0
real_matbench_expt_gap,transfer_strict_gate_v1,9,91.25,74.2125,8.75,0,0,0,0,7,4242,0,0,64,0.2097,0.5,0
