dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_buchwald_hartwig,random,0,86.1051,83.0101,13.8949,0
real_buchwald_hartwig,public_incumbent,0,70.6299,70.6299,29.3701,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,0,98.8492,92.6646,1.1508,1
real_buchwald_hartwig,mixed_kernel_gp_ei,0,97.948,92.4844,2.052,1
real_buchwald_hartwig,knn_ucb,0,99.0345,79.1513,0.9655,1
real_buchwald_hartwig,random,1,87.7532,83.6455,12.2468,0
real_buchwald_hartwig,public_incumbent,1,92.659,83.0859,7.341,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,1,91.1391,81.245,8.8609,0
real_buchwald_hartwig,mixed_kernel_gp_ei,1,83.0823,81.7449,16.9177,0
real_buchwald_hartwig,knn_ucb,1,80.2853,75.9281,19.7147,0
real_buchwald_hartwig,random,2,86.1219,85.9856,13.8781,0
real_buchwald_hartwig,public_incumbent,2,86.4129,77.9606,13.5871,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,mixed_kernel_gp_ei,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,knn_ucb,2,96.1323,96.1323,3.8677,0
real_buchwald_hartwig,random,3,75.5938,74.6349,24.4062,0
real_buchwald_hartwig,public_incumbent,3,84.4027,83.4019,15.5973,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,3,96.1323,87.3179,3.8677,0
real_buchwald_hartwig,mixed_kernel_gp_ei,3,96.1323,90.2877,3.8677,0
real_buchwald_hartwig,knn_ucb,3,98.1771,84.0636,1.8229,1
real_buchwald_hartwig,random,4,61.6889,61.6889,38.3111,0
real_buchwald_hartwig,public_incumbent,4,94.6911,87.3772,5.3089,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,4,74.0097,71.7047,25.9903,0
real_buchwald_hartwig,mixed_kernel_gp_ei,4,74.0097,71.4451,25.9903,0
real_buchwald_hartwig,knn_ucb,4,61.6889,61.6889,38.3111,0
real_buchwald_hartwig,random,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,public_incumbent,5,88.1675,86.3166,11.8325,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,mixed_kernel_gp_ei,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,knn_ucb,5,94.6911,89.2871,5.3089,0
real_buchwald_hartwig,random,6,82.1848,82.1848,17.8152,0
real_buchwald_hartwig,public_incumbent,6,88.4449,88.1735,11.5551,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,6,88.4449,87.8189,11.5551,0
real_buchwald_hartwig,mixed_kernel_gp_ei,6,88.4449,87.8189,11.5551,0
real_buchwald_hartwig,knn_ucb,6,86.1051,85.4482,13.8949,0
real_buchwald_hartwig,random,7,75.3112,75.3112,24.6888,0
real_buchwald_hartwig,public_incumbent,7,75.3112,75.3112,24.6888,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,7,81.1512,79.8742,18.8488,0
real_buchwald_hartwig,mixed_kernel_gp_ei,7,81.0209,79.8351,18.9791,0
real_buchwald_hartwig,knn_ucb,7,95.3865,85.7101,4.6135,0
real_buchwald_hartwig,random,8,92.1372,66.8906,7.8628,0
real_buchwald_hartwig,public_incumbent,8,94.5498,80.4126,5.4502,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,mixed_kernel_gp_ei,8,83.8039,83.3923,16.1961,0
real_buchwald_hartwig,knn_ucb,8,61.726,49.1982,38.274,0
real_buchwald_hartwig,random,9,86.0035,86.0035,13.9965,0
real_buchwald_hartwig,public_incumbent,9,90.9905,87.177,9.0095,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,9,100.0,93.882,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ei,9,98.8492,90.9136,1.1508,1
real_buchwald_hartwig,knn_ucb,9,89.0766,87.5432,10.9234,0
real_buchwald_hartwig,random,10,65.4689,62.1459,34.5311,0
real_buchwald_hartwig,public_incumbent,10,89.4741,67.7042,10.5259,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,10,89.9742,84.2803,10.0258,0
real_buchwald_hartwig,mixed_kernel_gp_ei,10,89.9742,84.2803,10.0258,0
real_buchwald_hartwig,knn_ucb,10,93.5641,87.8514,6.4359,0
real_buchwald_hartwig,random,11,86.1051,85.0931,13.8949,0
real_buchwald_hartwig,public_incumbent,11,98.7313,93.8347,1.2687,1
real_buchwald_hartwig,mixed_kernel_gp_ucb,11,89.9742,86.077,10.0258,0
real_buchwald_hartwig,mixed_kernel_gp_ei,11,86.8997,84.9372,13.1003,0
real_buchwald_hartwig,knn_ucb,11,81.2989,80.7676,18.7011,0
real_buchwald_hartwig,random,12,80.7704,60.5815,19.2296,0
real_buchwald_hartwig,public_incumbent,12,94.5498,75.1811,5.4502,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,12,90.3173,79.8866,9.6827,0
real_buchwald_hartwig,mixed_kernel_gp_ei,12,79.7664,75.0173,20.2336,0
real_buchwald_hartwig,knn_ucb,12,84.93,76.1447,15.07,0
real_buchwald_hartwig,random,13,88.7252,88.7252,11.2748,0
real_buchwald_hartwig,public_incumbent,13,98.1771,92.506,1.8229,1
real_buchwald_hartwig,mixed_kernel_gp_ucb,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ei,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,knn_ucb,13,100.0,98.8725,0.0,1
real_buchwald_hartwig,random,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,public_incumbent,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,mixed_kernel_gp_ucb,14,100.0,99.5397,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ei,14,100.0,99.7698,0.0,1
real_buchwald_hartwig,knn_ucb,14,99.6191,99.0802,0.3809,1
real_buchwald_hartwig,random,15,53.665,53.665,46.335,0
real_buchwald_hartwig,public_incumbent,15,86.1982,82.8876,13.8018,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,15,92.659,76.4884,7.341,0
real_buchwald_hartwig,mixed_kernel_gp_ei,15,88.1675,79.815,11.8325,0
real_buchwald_hartwig,knn_ucb,15,94.8799,87.7864,5.1201,0
real_buchwald_hartwig,random,16,92.8977,89.3355,7.1023,0
real_buchwald_hartwig,public_incumbent,16,70.6299,70.6299,29.3701,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,16,95.7526,73.1422,4.2474,0
real_buchwald_hartwig,mixed_kernel_gp_ei,16,70.6299,70.6299,29.3701,0
real_buchwald_hartwig,knn_ucb,16,92.1197,83.5238,7.8803,0
real_buchwald_hartwig,random,17,92.2093,75.4462,7.7907,0
real_buchwald_hartwig,public_incumbent,17,93.1012,87.4297,6.8988,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ei,17,97.948,88.5314,2.052,1
real_buchwald_hartwig,knn_ucb,17,98.8492,93.4153,1.1508,1
real_buchwald_hartwig,random,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,public_incumbent,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,mixed_kernel_gp_ucb,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,mixed_kernel_gp_ei,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,knn_ucb,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,random,19,93.7486,72.6093,6.2514,0
real_buchwald_hartwig,public_incumbent,19,74.0097,61.6939,25.9903,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,19,88.4449,84.5234,11.5551,0
real_buchwald_hartwig,mixed_kernel_gp_ei,19,88.4449,84.5234,11.5551,0
real_buchwald_hartwig,knn_ucb,19,93.7486,83.3165,6.2514,0
real_buchwald_hartwig,random,20,99.6191,90.253,0.3809,1
real_buchwald_hartwig,public_incumbent,20,52.7885,52.7885,47.2115,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,20,99.0345,86.111,0.9655,1
real_buchwald_hartwig,mixed_kernel_gp_ei,20,99.0345,81.9927,0.9655,1
real_buchwald_hartwig,knn_ucb,20,70.8681,66.2844,29.1319,0
real_buchwald_hartwig,random,21,86.0035,86.0035,13.9965,0
real_buchwald_hartwig,public_incumbent,21,94.5498,92.8405,5.4502,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,mixed_kernel_gp_ei,21,100.0,95.4783,0.0,1
real_buchwald_hartwig,knn_ucb,21,86.6896,86.621,13.3104,0
real_buchwald_hartwig,random,22,85.2207,78.2469,14.7793,0
real_buchwald_hartwig,public_incumbent,22,75.3018,65.8881,24.6982,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,22,83.3382,82.2816,16.6618,0
real_buchwald_hartwig,mixed_kernel_gp_ei,22,83.3382,81.2249,16.6618,0
real_buchwald_hartwig,knn_ucb,22,79.3705,70.7197,20.6295,0
real_buchwald_hartwig,random,23,89.5866,88.5049,10.4134,0
real_buchwald_hartwig,public_incumbent,23,92.659,90.1147,7.341,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,23,91.5286,87.1182,8.4714,0
real_buchwald_hartwig,mixed_kernel_gp_ei,23,93.3108,87.8311,6.6892,0
real_buchwald_hartwig,knn_ucb,23,94.8799,93.2043,5.1201,0
real_buchwald_hartwig,random,24,74.6988,74.6988,25.3012,0
real_buchwald_hartwig,public_incumbent,24,93.0289,83.3805,6.9711,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,24,89.6142,82.7002,10.3858,0
real_buchwald_hartwig,mixed_kernel_gp_ei,24,89.5592,82.6892,10.4408,0
real_buchwald_hartwig,knn_ucb,24,84.93,82.8838,15.07,0
real_buchwald_hartwig,random,25,76.3361,70.8159,23.6639,0
real_buchwald_hartwig,public_incumbent,25,62.5355,62.5355,37.4645,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,25,95.7526,69.3585,4.2474,0
real_buchwald_hartwig,mixed_kernel_gp_ei,25,69.517,66.7349,30.483,0
real_buchwald_hartwig,knn_ucb,25,73.9505,63.677,26.0495,0
real_buchwald_hartwig,random,26,81.5102,81.5102,18.4898,0
real_buchwald_hartwig,public_incumbent,26,86.1982,84.5823,13.8018,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,26,95.6759,93.3448,4.3241,0
real_buchwald_hartwig,mixed_kernel_gp_ei,26,95.7526,93.6727,4.2474,0
real_buchwald_hartwig,knn_ucb,26,94.1517,92.8876,5.8483,0
real_buchwald_hartwig,random,27,78.224,65.4125,21.776,0
real_buchwald_hartwig,public_incumbent,27,88.1675,59.1259,11.8325,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,27,98.2872,82.6923,1.7128,1
real_buchwald_hartwig,mixed_kernel_gp_ei,27,98.2872,81.1036,1.7128,1
real_buchwald_hartwig,knn_ucb,27,89.4741,79.1109,10.5259,0
real_buchwald_hartwig,random,28,80.978,80.978,19.022,0
real_buchwald_hartwig,public_incumbent,28,92.9567,89.3631,7.0433,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,28,100.0,84.8344,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ei,28,100.0,83.3781,0.0,1
real_buchwald_hartwig,knn_ucb,28,83.9394,83.4086,16.0606,0
real_buchwald_hartwig,random,29,90.2279,90.2279,9.7721,0
real_buchwald_hartwig,public_incumbent,29,100.0,95.3564,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ucb,29,100.0,93.8202,0.0,1
real_buchwald_hartwig,mixed_kernel_gp_ei,29,98.8492,93.7051,1.1508,1
real_buchwald_hartwig,knn_ucb,29,91.2097,90.8313,8.7903,0
real_buchwald_hartwig,random,30,86.1982,86.1982,13.8018,0
real_buchwald_hartwig,public_incumbent,30,92.9567,87.1453,7.0433,0
real_buchwald_hartwig,mixed_kernel_gp_ucb,30,98.2872,92.7282,1.7128,1
