target_dataset,source_dataset,family,mode,seeds,final_best_mean,final_best_delta_vs_incumbent,best_so_far_auc_mean,best_so_far_auc_delta_vs_incumbent,top10_hit_mean
real_moleculenet_lipophilicity,real_moleculenet_freesolv,care_transfer,transfer_strict_gate_v1,50,87.1200,-0.1875,85.5410,-0.0250,0.0400
real_moleculenet_lipophilicity,real_moleculenet_freesolv,care_transfer,transfer_value_prior_gate_v1,50,90.0625,2.7550,87.9660,2.4000,0.3000
real_moleculenet_lipophilicity,real_moleculenet_freesolv,care_transfer,transfer_value_prior_strict_gate_v1,50,88.1625,0.8550,86.1820,0.6160,0.1600
real_moleculenet_lipophilicity,,target_only_surrogate,knn_ucb,50,87.7075,0.4,86.1762,0.6102,0.08
real_moleculenet_lipophilicity,,target_only_surrogate,mixed_kernel_gp_ei,50,88.4675,1.16,86.3153,0.7493,0.06
real_moleculenet_lipophilicity,,target_only_surrogate,mixed_kernel_gp_ucb,50,88.4775,1.17,86.4578,0.8918,0.08
real_moleculenet_lipophilicity,,target_only_surrogate,public_incumbent,50,87.3075,0.0,85.566,0.0,0.04
real_moleculenet_lipophilicity,,target_only_surrogate,random,50,85.765,-1.5425,84.2917,-1.2743,0.02
real_buchwald_hartwig,real_suzuki_miyaura,care_transfer,transfer_gate_v1,50,89.0866,2.4389,81.0779,1.1066,0.2400
real_buchwald_hartwig,real_suzuki_miyaura,care_transfer,transfer_strict_gate_v1,50,87.6158,0.9681,80.2528,0.2815,0.1600
real_buchwald_hartwig,,target_only_surrogate,knn_ucb,50,87.3065,0.6588,81.0692,1.0979,0.12
real_buchwald_hartwig,,target_only_surrogate,mixed_kernel_gp_ei,50,88.3858,1.7381,81.5814,1.6101,0.28
real_buchwald_hartwig,,target_only_surrogate,mixed_kernel_gp_ucb,50,91.1145,4.4668,82.97,2.9987,0.32
real_buchwald_hartwig,,target_only_surrogate,public_incumbent,50,86.6477,0.0,79.9713,0.0,0.16
real_buchwald_hartwig,,target_only_surrogate,random,50,82.1728,-4.4749,77.4347,-2.5366,0.06
