experiment,mode,seeds,rounds,initial_observations,final_best,delta_final_vs_gp_ucb,best_so_far_auc,delta_auc_vs_gp_ucb,top10_hit,delta_top10_vs_gp_ucb,intervention_count,bad_intervention_count
budget_10_round_100seed,gp_ucb,100,10,5,88.9038,0.0,86.5433,0.0,0.11,0.0,0.0,0.0
budget_10_round_100seed,hybrid_value_prior_gp_ucb_gate_v1,100,10,5,88.9225,0.0187,86.7037,0.1604,0.21,0.1,5.88,3.01
budget_10_round_100seed,hybrid_value_prior_gp_ucb_no_gate,100,10,5,88.915,0.0112,86.7048,0.1615,0.2,0.09,5.96,3.06
budget_5_round_100seed,gp_ucb,100,5,5,86.4712,0.0,84.987,0.0,0.04,0.0,0.0,0.0
budget_5_round_100seed,hybrid_value_prior_gp_ucb_gate_v1,100,5,5,86.6175,0.1463,85.2987,0.3117,0.09,0.05,2.96,1.4
budget_5_round_100seed,hybrid_value_prior_gp_ucb_no_gate,100,5,5,86.6175,0.1463,85.2987,0.3117,0.09,0.05,2.98,1.41
budget_3_round_100seed,gp_ucb,100,3,5,85.1813,0.0,84.1817,0.0,0.03,0.0,0.0,0.0
budget_3_round_100seed,hybrid_value_prior_gp_ucb_gate_v1,100,3,5,85.4587,0.2774,84.5908,0.4091,0.05,0.02,1.81,0.75
warmstart_10_round_50seed,gp_ucb,50,10,5,88.4775,0.0,86.4578,0.0,0.08,0.0,0.0,0.0
warmstart_10_round_50seed,hybrid_value_prior_gp_ucb_gate_v1,50,10,5,88.8775,0.4,86.727,0.2692,0.16,0.08,6.02,3.4
warmstart_10_round_50seed,hybrid_value_prior_gp_ucb_warm3_gate_v1,50,10,5,88.4825,0.005,86.5,0.0422,0.12,0.04,1.82,0.78
warmstart_10_round_50seed,hybrid_value_prior_gp_ucb_warm5_gate_v1,50,10,5,88.27,-0.2075,86.5915,0.1337,0.14,0.06,3.18,1.64
