direction,mode,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,top10_hit_mean,top10_hit_std,intervention_count_mean,intervention_count_std,bad_intervention_count_mean,bad_intervention_count_std,transfer_active_rounds_mean,transfer_active_rounds_std,transfer_scored_candidates_total_mean,transfer_scored_candidates_total_std
BH->Suzuki,incumbent,92.6085,5.4997,87.5533,8.7828,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BH->Suzuki,transfer_gate_v1,91.3879,8.5773,86.4187,11.313,0.1667,0.3727,3.2,1.869,1.6333,1.5162,7.0,0.0,29997.2,4458.4383
BH->Suzuki,transfer_strict_gate_v1,92.877,5.7846,87.7002,8.8067,0.1333,0.3399,1.4333,1.8918,0.8333,1.3924,6.6667,0.9428,3597.4333,1851.0062
BH->Suzuki,transfer_descriptor_value_prior_gate_v1,92.6085,5.4997,87.5533,8.7828,0.1,0.3,0.0,0.0,0.0,0.0,10.0,0.0,50034.9667,6616.4302
BH->Suzuki,transfer_descriptor_value_prior_strict_gate_v1,92.6085,5.4997,87.5533,8.7828,0.1,0.3,0.0,0.0,0.0,0.0,9.6667,1.7951,11802.6,6443.7274
Suzuki->BH,incumbent,86.6477,13.4223,79.9713,13.0619,0.16,0.3666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suzuki->BH,transfer_gate_v1,89.0866,12.054,81.0779,11.8737,0.24,0.4271,2.08,1.9884,0.86,1.0002,7.0,0.0,23618.56,4225.1515
Suzuki->BH,transfer_strict_gate_v1,87.6158,11.0097,80.2528,12.7058,0.16,0.3666,0.62,1.3548,0.18,0.5173,6.86,0.7214,2752.68,1073.943
Suzuki->BH,transfer_descriptor_value_prior_gate_v1,86.6477,13.4223,79.9713,13.0619,0.16,0.3666,0.0,0.0,0.0,0.0,10.0,0.0,39455.0,0.0
Suzuki->BH,transfer_descriptor_value_prior_strict_gate_v1,86.6477,13.4223,79.9713,13.0619,0.16,0.3666,0.0,0.0,0.0,0.0,9.0,3.0,2201.36,3687.6917
