dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_moleculenet_lipophilicity,gp_ucb,0,85.0,85.0,8.75,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,0,85.0,85.0,8.75,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,0,87.5,85.875,6.25,0
real_moleculenet_lipophilicity,gp_ucb,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,1,90.0,90.0,3.75,0
real_moleculenet_lipophilicity,gp_ucb,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,2,87.625,87.625,6.125,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,2,90.75,88.5625,3.0,0
real_moleculenet_lipophilicity,gp_ucb,3,91.25,88.25,2.5,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,3,91.25,89.25,2.5,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,3,91.25,89.25,2.5,0
real_moleculenet_lipophilicity,gp_ucb,4,87.125,84.2,6.625,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,4,91.25,89.375,2.5,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,4,88.625,84.0125,5.125,0
real_moleculenet_lipophilicity,gp_ucb,5,93.75,90.7375,0.0,1
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,5,93.75,89.5125,0.0,1
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,5,93.75,88.175,0.0,1
real_moleculenet_lipophilicity,gp_ucb,6,85.25,82.775,8.5,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,6,85.25,82.775,8.5,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,6,93.75,85.875,0.0,1
real_moleculenet_lipophilicity,gp_ucb,7,88.625,85.45,5.125,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_1p5,7,88.625,85.45,5.125,0
real_moleculenet_lipophilicity,transfer_weighted_gp_ucb_scale_4,7,88.625,85.45,5.125,0
real_moleculenet_lipophilicity,gp_ucb,8,89.625,86.4125,4.125,0
