dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit
real_buchwald_hartwig,gp_ucb,0,98.8492,92.6646,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,0,97.948,92.4844,2.052,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,0,97.948,92.4844,2.052,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,0,98.8492,92.5745,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,0,98.8492,95.3964,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,0,97.948,95.2162,2.052,1
real_buchwald_hartwig,gp_ucb,1,91.1391,81.245,8.8609,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,1,86.1219,75.2668,13.8781,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,1,86.1219,75.2668,13.8781,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,1,74.6116,74.4801,25.3884,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,1,74.6116,74.5183,25.3884,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,1,91.3733,83.0394,8.6267,0
real_buchwald_hartwig,gp_ucb,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,2,96.1323,94.0482,3.8677,0
real_buchwald_hartwig,gp_ucb,3,96.1323,87.3179,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,3,96.1323,90.2877,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,3,96.1323,90.2877,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,3,96.1323,90.2877,3.8677,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,3,86.7607,83.3102,13.2393,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,3,86.7607,83.3102,13.2393,0
real_buchwald_hartwig,gp_ucb,4,74.0097,71.7047,25.9903,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,4,74.0097,71.7047,25.9903,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,4,74.0097,70.3867,25.9903,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,4,74.0097,70.3867,25.9903,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,4,74.0097,70.3867,25.9903,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,4,74.0097,70.3867,25.9903,0
real_buchwald_hartwig,gp_ucb,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,5,86.0034,86.0034,13.9966,0
real_buchwald_hartwig,gp_ucb,6,88.4449,87.8189,11.5551,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,6,88.4449,87.8189,11.5551,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,6,97.2929,88.2396,2.7071,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,6,97.2929,88.2396,2.7071,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,6,97.2929,88.2396,2.7071,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,6,97.2929,88.2396,2.7071,0
real_buchwald_hartwig,gp_ucb,7,81.1512,79.8742,18.8488,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,7,91.511,88.9404,8.489,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,7,90.3714,87.8148,9.6286,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,7,90.3714,87.8148,9.6286,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,7,90.3714,87.8148,9.6286,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,7,90.3714,87.8148,9.6286,0
real_buchwald_hartwig,gp_ucb,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,8,93.5641,85.9613,6.4359,0
real_buchwald_hartwig,gp_ucb,9,100.0,93.882,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,9,100.0,93.882,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,9,100.0,91.4349,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,9,100.0,91.4349,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,9,100.0,91.4349,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,9,100.0,91.4349,0.0,1
real_buchwald_hartwig,gp_ucb,10,89.9742,84.2803,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,10,89.9742,84.2803,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,10,89.9742,84.2803,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,10,89.9742,84.2803,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,10,89.9742,87.1273,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,10,89.9742,87.1273,10.0258,0
real_buchwald_hartwig,gp_ucb,11,89.9742,86.077,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,11,89.9742,86.077,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,11,89.9742,86.077,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,11,89.9742,86.4932,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,11,89.9742,86.4932,10.0258,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,11,89.9742,86.4932,10.0258,0
real_buchwald_hartwig,gp_ucb,12,90.3173,79.8866,9.6827,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,12,90.3173,79.8866,9.6827,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,12,90.3173,79.8866,9.6827,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,12,90.3173,77.9066,9.6827,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,12,90.3173,77.9066,9.6827,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,12,90.3173,77.9066,9.6827,0
real_buchwald_hartwig,gp_ucb,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,13,100.0,98.9599,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,13,98.8492,95.9397,1.1508,1
real_buchwald_hartwig,gp_ucb,14,100.0,99.5397,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,14,98.8492,98.8492,1.1508,1
real_buchwald_hartwig,gp_ucb,15,92.659,76.4884,7.341,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,15,88.1675,82.138,11.8325,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,15,92.8977,84.5661,7.1023,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,15,92.8977,84.5661,7.1023,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,15,92.8977,84.5661,7.1023,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,15,82.7701,79.8891,17.2299,0
real_buchwald_hartwig,gp_ucb,16,95.7526,73.1422,4.2474,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,16,95.7526,75.6544,4.2474,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,16,95.7526,78.1667,4.2474,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,16,95.7526,78.1667,4.2474,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,16,95.7526,78.1667,4.2474,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,16,95.7526,78.1667,4.2474,0
real_buchwald_hartwig,gp_ucb,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,17,100.0,88.7494,0.0,1
real_buchwald_hartwig,gp_ucb,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,18,98.2872,98.2872,1.7128,1
real_buchwald_hartwig,gp_ucb,19,88.4449,84.5234,11.5551,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,19,86.1051,84.4192,13.8949,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,19,86.1051,84.4192,13.8949,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,19,86.1051,84.4192,13.8949,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,19,86.1051,84.4192,13.8949,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,19,86.1051,84.4192,13.8949,0
real_buchwald_hartwig,gp_ucb,20,99.0345,86.111,0.9655,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,20,99.0345,86.111,0.9655,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,20,99.0345,86.111,0.9655,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,20,99.0345,86.111,0.9655,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,20,99.0345,86.111,0.9655,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,20,99.6191,85.7528,0.3809,1
real_buchwald_hartwig,gp_ucb,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,21,98.8492,96.097,1.1508,1
real_buchwald_hartwig,gp_ucb,22,83.3382,82.2816,16.6618,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,22,83.3382,82.2816,16.6618,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,22,83.3382,82.2816,16.6618,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,22,83.3382,82.2816,16.6618,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,22,83.3382,82.2816,16.6618,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,22,84.5566,74.587,15.4434,0
real_buchwald_hartwig,gp_ucb,23,91.5286,87.1182,8.4714,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,23,93.3108,87.8311,6.6892,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,23,93.3108,87.8311,6.6892,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,23,93.3108,87.8311,6.6892,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,23,93.3108,87.8311,6.6892,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,23,93.3108,87.8311,6.6892,0
real_buchwald_hartwig,gp_ucb,24,89.6142,82.7002,10.3858,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,24,89.6142,82.7002,10.3858,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,24,89.6142,84.1917,10.3858,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,24,89.6142,84.1917,10.3858,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,24,89.6142,84.1917,10.3858,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,24,89.6142,84.1917,10.3858,0
real_buchwald_hartwig,gp_ucb,25,95.7526,69.3585,4.2474,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,25,92.1197,71.4108,7.8803,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,25,92.1197,71.4108,7.8803,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,25,92.1197,71.4108,7.8803,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,25,92.1197,71.4108,7.8803,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,25,96.1323,81.0885,3.8677,0
real_buchwald_hartwig,gp_ucb,26,95.6759,93.3448,4.3241,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,26,95.6759,93.3448,4.3241,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,26,95.6759,93.3448,4.3241,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,26,95.6759,93.3448,4.3241,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,26,95.6759,93.1924,4.3241,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,26,95.6759,93.1924,4.3241,0
real_buchwald_hartwig,gp_ucb,27,98.2872,82.6923,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,27,98.2872,82.6923,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,27,93.4211,68.199,6.5789,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,27,98.2872,68.6856,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,27,98.2872,68.6856,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,27,93.4211,53.2044,6.5789,0
real_buchwald_hartwig,gp_ucb,28,100.0,84.8344,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,28,100.0,84.8344,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,28,83.2944,81.2096,16.7056,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,28,83.2944,81.2096,16.7056,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,28,80.978,80.978,19.022,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,28,97.5685,84.2168,2.4315,1
real_buchwald_hartwig,gp_ucb,29,100.0,93.8202,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,29,100.0,93.8202,0.0,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,29,98.8492,93.7051,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,29,98.8492,93.7051,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,29,98.8492,93.7051,1.1508,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,29,99.6191,93.9844,0.3809,1
real_buchwald_hartwig,gp_ucb,30,98.2872,92.7282,1.7128,1
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,30,92.659,92.659,7.341,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,30,92.659,92.659,7.341,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,30,93.4211,92.9638,6.5789,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,30,93.4211,92.9638,6.5789,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,30,93.4211,88.6928,6.5789,0
real_buchwald_hartwig,gp_ucb,31,66.2654,57.5214,33.7346,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_0p5,31,66.2654,57.5214,33.7346,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1,31,66.2654,57.5214,33.7346,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_1p5,31,83.8254,59.2774,16.1746,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_2,31,83.8254,59.2774,16.1746,0
real_buchwald_hartwig,transfer_weighted_gp_ucb_scale_4,31,67.8143,58.5301,32.1857,0
real_buchwald_hartwig,gp_ucb,32,93.7486,93.7486,6.2514,0
