mode,calibration_seeds,evaluation_seeds,cal_final_best_mean,cal_best_so_far_auc_mean,cal_top10_hit_mean,eval_final_best_mean,eval_best_so_far_auc_mean,eval_top10_hit_mean,cal_delta_final_vs_baseline,cal_delta_auc_vs_baseline,cal_delta_top10_vs_baseline,eval_delta_final_vs_baseline,eval_delta_auc_vs_baseline,eval_delta_top10_vs_baseline,cal_balanced_score
transfer_weighted_gp_ucb_scale_3,50,50,88.8225,86.4795,0.14,89.1375,86.4633,0.12,0.345,0.0217,0.06,-0.1925,-0.1654,-0.02,175.442
transfer_weighted_gp_ucb_scale_1p5,50,50,88.565,86.6808,0.08,88.97,86.5463,0.12,0.0875,0.223,0.0,-0.36,-0.0824,-0.02,175.3258
transfer_weighted_gp_ucb_scale_1,50,50,88.715,86.5285,0.08,88.9,86.4815,0.12,0.2375,0.0707,0.0,-0.43,-0.1472,-0.02,175.3235
transfer_weighted_gp_ucb_scale_2,50,50,88.5325,86.6633,0.08,89.19,86.5948,0.12,0.055,0.2055,0.0,-0.14,-0.0339,-0.02,175.2758
gp_ucb,50,50,88.4775,86.4578,0.08,89.33,86.6287,0.14,0.0,0.0,0.0,0.0,0.0,0.0,175.0153
transfer_weighted_gp_ucb_scale_0p5,50,50,88.4525,86.4925,0.06,89.2825,86.5373,0.14,-0.025,0.0347,-0.02,-0.0475,-0.0914,0.0,175.005
transfer_weighted_gp_ucb_scale_4,50,50,88.5025,86.38,0.12,88.995,86.438,0.12,0.025,-0.0778,0.04,-0.335,-0.1907,-0.02,175.0025
transfer_weighted_gp_ucb_scale_0p75,50,50,88.47,86.444,0.08,89.34,86.5962,0.14,-0.0075,-0.0138,0.0,0.01,-0.0325,0.0,174.994
transfer_weighted_gp_ucb_scale_1p25,50,50,88.42,86.4548,0.08,88.97,86.562,0.12,-0.0575,-0.003,0.0,-0.36,-0.0667,-0.02,174.9548
transfer_weighted_gp_ucb_scale_6,50,50,88.3125,86.3792,0.1,88.6725,86.187,0.1,-0.165,-0.0786,0.02,-0.6575,-0.4417,-0.04,174.7917
transfer_weighted_gp_ucb_scale_0p25,50,50,88.295,86.4197,0.06,89.27,86.569,0.16,-0.1825,-0.0381,-0.02,-0.06,-0.0597,0.02,174.7747
