dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_lipophilicity,incumbent,0,81.625,80.5417,12.125,0,0,0,0,0,0,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,0,81.625,80.5417,12.125,0,0,0,0,0,0,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,0,80.0,80.0,13.75,0,3,3,0,3,12582,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,0,81.625,80.5417,12.125,0,0,0,0,3,12108,0,0,192,0.1832,0.5,0
real_moleculenet_lipophilicity,incumbent,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,1,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,1,90.0,90.0,3.75,0,3,0,0,3,12582,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,1,90.0,90.0,3.75,0,3,0,0,3,11913,0,0,192,0.2085,0.5,0
real_moleculenet_lipophilicity,incumbent,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,2,87.625,87.625,6.125,0,0,0,0,0,0,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,2,87.625,87.625,6.125,0,3,3,0,3,12582,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,2,87.625,87.625,6.125,0,0,0,0,3,12075,0,0,192,0.1851,0.5,0
real_moleculenet_lipophilicity,incumbent,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,3,80.0,80.0,13.75,0,0,0,0,0,0,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,3,85.625,83.75,8.125,0,2,0,0,3,12582,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,3,80.625,80.2083,13.125,0,1,0,0,3,12114,0,0,192,0.2224,0.5,0
real_moleculenet_lipophilicity,incumbent,4,80.0,78.25,13.75,0,0,0,0,0,0,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,4,80.0,78.25,13.75,0,0,0,0,0,0,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,4,80.0,80.0,13.75,0,2,1,0,3,12573,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,4,80.0,78.25,13.75,0,0,0,0,3,12108,0,0,192,0.1888,0.5,0
real_moleculenet_lipophilicity,incumbent,5,78.125,78.125,15.625,0,0,0,0,0,0,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,5,78.125,78.125,15.625,0,0,0,0,0,0,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,5,91.625,84.9167,2.125,0,3,0,0,3,12582,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,5,78.125,78.125,15.625,0,1,1,0,3,9756,0,0,192,0.1997,0.5,0
real_moleculenet_lipophilicity,incumbent,6,84.25,83.0833,9.5,0,0,0,0,0,0,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,6,84.25,83.0833,9.5,0,0,0,0,0,0,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,6,82.5,82.5,11.25,0,2,2,0,3,12582,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,6,84.25,83.0833,9.5,0,0,0,0,3,12102,0,0,192,0.1895,0.5,0
real_moleculenet_lipophilicity,incumbent,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,7,90.0,90.0,3.75,0,0,0,0,0,0,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_gate_v1,7,83.75,83.75,10.0,0,3,2,0,3,12582,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,transfer_value_prior_strict_gate_v1,7,83.75,83.75,10.0,0,2,2,0,3,12081,0,0,192,0.1921,0.5,0
real_moleculenet_lipophilicity,incumbent,8,76.125,75.9583,17.625,0,0,0,0,0,0,0,0,192,0.1787,0.5,0
real_moleculenet_lipophilicity,transfer_gate_v1,8,76.125,75.9583,17.625,0,0,0,0,0,0,0,0,192,0.1787,0.5,0
