budget_rounds,mode,final_best,final_best_std,delta_final_vs_incumbent,best_so_far_auc,best_so_far_auc_std,delta_auc_vs_incumbent,top10_hit,delta_top10_vs_incumbent,interventions,bad_interventions
3,incumbent,84.9338,5.268,0.0,84.1358,5.1091,0.0,0.07,0.0,0.0,0.0
3,transfer_gate_v1,84.9338,5.268,0.0,84.1358,5.1091,0.0,0.07,0.0,0.0,0.0
3,transfer_value_prior_gate_v1,86.1,5.0664,1.1662,84.5542,4.6526,0.4184,0.13,0.06,2.28,1.07
3,transfer_value_prior_strict_gate_v1,84.3175,5.1156,-0.6163,83.4867,4.9523,-0.6491,0.06,-0.01,1.24,0.72
5,incumbent,86.1287,4.9424,0.0,84.8325,4.8125,0.0,0.11,0.0,0.0,0.0
5,transfer_gate_v1,86.4137,4.9986,0.285,84.8683,4.776,0.0358,0.13,0.02,0.21,0.1
5,transfer_value_prior_gate_v1,87.1012,4.6948,0.9725,85.5032,4.3634,0.6707,0.18,0.07,3.7,1.75
5,transfer_value_prior_strict_gate_v1,85.6538,5.115,-0.4749,84.16,4.7156,-0.6725,0.13,0.02,2.2,1.18
10,incumbent,87.9513,4.1621,0.0,86.0901,4.2258,0.0,0.17,0.0,0.0,0.0
10,transfer_gate_v1,88.2013,4.1238,0.25,86.185,4.1705,0.0949,0.18,0.01,0.77,0.46
10,transfer_value_prior_gate_v1,88.8063,3.9739,0.855,86.791,3.9453,0.7009,0.23,0.06,6.97,2.96
10,transfer_value_prior_strict_gate_v1,87.4,4.2115,-0.5513,85.4852,4.227,-0.6049,0.13,-0.04,4.63,2.55
