dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,incumbent,0,93.6745,93.3372,6.3255,0,0,0,0,0,0,0,0,48,0.318,0.5,0
real_suzuki_miyaura,transfer_gate_v1,0,93.6745,93.3372,6.3255,0,2,1,0,7,29956,0,0,48,0.318,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,0,93.6745,93.3372,6.3255,0,1,0,0,7,3124,0,0,48,0.318,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_gate_v1,0,86.9237,84.93,13.0763,0,10,6,0,10,40245,0,0,48,0.0929,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_strict_gate_v1,0,86.9237,84.93,13.0763,0,10,6,0,10,5705,0,0,48,0.0929,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_no_gate,0,93.6745,93.3372,6.3255,0,6,5,0,10,62068,0,0,48,0.0929,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,0,93.6745,93.3372,6.3255,0,6,5,0,10,62068,0,0,48,0.0929,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,0,93.6745,93.3372,6.3255,0,5,0,0,10,19380,0,0,48,0.0929,0.5,0
real_suzuki_miyaura,incumbent,1,98.2021,98.058,1.7979,1,0,0,0,0,0,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_gate_v1,1,98.5294,98.0907,1.4706,1,1,0,0,7,34304,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,1,98.2021,98.058,1.7979,1,0,0,0,7,6894,0,0,48,0.3319,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_gate_v1,1,97.0915,95.2729,2.9085,0,8,7,0,10,54625,0,0,48,0.1208,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_strict_gate_v1,1,97.0915,96.1822,2.9085,0,9,6,0,10,10025,0,0,48,0.1208,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_no_gate,1,98.2021,98.058,1.7979,1,7,5,0,10,85653,0,0,48,0.1208,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,1,98.2021,98.058,1.7979,1,7,5,0,10,85653,0,0,48,0.1208,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,1,98.2021,98.058,1.7979,1,6,6,0,7,13690,0,0,48,0.1208,0.5,0
real_suzuki_miyaura,incumbent,2,95.3553,82.6839,4.6447,0,0,0,0,0,0,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_gate_v1,2,80.8541,73.9513,19.1459,0,3,3,0,7,31000,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,2,95.3553,82.6839,4.6447,0,1,1,0,7,3804,0,0,48,0.3113,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_gate_v1,2,97.8329,91.9998,2.1671,0,10,5,0,10,51765,0,0,48,0.1023,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_strict_gate_v1,2,97.8329,91.9998,2.1671,0,10,5,0,10,5715,0,0,48,0.1023,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_no_gate,2,95.3553,82.6839,4.6447,0,1,0,0,9,75856,0,0,48,0.1023,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_gate_v1,2,95.3553,82.6839,4.6447,0,1,0,0,9,75856,0,0,48,0.1023,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_strict_gate_v1,2,95.3553,82.6839,4.6447,0,0,0,0,7,6621,0,0,48,0.1023,0.5,0
real_suzuki_miyaura,incumbent,3,70.2958,70.2958,29.7042,0,0,0,0,0,0,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_gate_v1,3,70.2958,70.2958,29.7042,0,3,1,0,7,18692,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_strict_gate_v1,3,70.2958,70.2958,29.7042,0,1,1,0,5,405,0,0,48,0.4306,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_gate_v1,3,97.8329,93.5768,2.1671,0,9,4,0,10,51765,0,0,48,0.1334,0.5,0
real_suzuki_miyaura,transfer_descriptor_value_prior_strict_gate_v1,3,93.3083,90.804,6.6917,0,3,2,0,10,11475,0,0,48,0.1334,0.5,0
real_suzuki_miyaura,transfer_descriptor_target_calibrated_no_gate,3,70.2958,70.2958,29.7042,0,4,2,0,8,48230,0,0,48,0.1334,0.5,0
