dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,llm_call_count,llm_parse_error_count,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_buchwald_hartwig,incumbent,0,70.6299,70.6299,29.3701,0,0,0,0,0,0,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,transfer_gate_v1,0,97.948,76.0935,2.052,1,4,0,0,7,27608,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,0,70.6299,70.6299,29.3701,0,0,0,0,7,2784,0,0,96,0.4527,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,0,70.6299,70.6299,29.3701,0,10,4,0,10,39455,0,0,96,0.2749,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,0,70.6299,70.6299,29.3701,0,4,4,3,10,861,0,0,96,0.2749,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,0,97.948,81.5571,2.052,1,6,3,0,10,59154,0,0,96,0.2749,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,0,97.948,81.5571,2.052,1,6,3,0,10,59154,0,0,96,0.2749,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,0,70.6299,70.6299,29.3701,0,5,3,0,9,16365,0,0,96,0.2749,0.5,0
real_buchwald_hartwig,incumbent,1,92.659,83.0859,7.341,0,0,0,0,0,0,0,0,96,0.421,0.5,0
real_buchwald_hartwig,transfer_gate_v1,1,92.659,78.1685,7.341,0,4,2,0,7,23519,0,0,96,0.421,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,1,92.659,83.0859,7.341,0,0,0,0,7,2756,0,0,96,0.421,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,1,74.0607,74.0607,25.9393,0,10,6,0,10,39455,0,0,96,0.2475,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,1,74.0607,74.0607,25.9393,0,10,6,0,10,1705,0,0,96,0.2475,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,1,89.8895,80.1483,10.1105,0,6,2,0,10,65142,0,0,96,0.2475,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,1,89.8895,80.1483,10.1105,0,6,2,0,10,65142,0,0,96,0.2475,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,1,89.8895,83.1515,10.1105,0,6,3,0,9,19004,0,0,96,0.2475,0.5,0
real_buchwald_hartwig,incumbent,2,86.4129,77.9606,13.5871,0,0,0,0,0,0,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,transfer_gate_v1,2,79.7398,77.9605,20.2602,0,7,0,0,7,24403,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,2,86.4129,77.9606,13.5871,0,0,0,0,7,3286,0,0,96,0.4547,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,2,75.2915,75.2915,24.7085,0,10,10,0,10,39455,0,0,96,0.2721,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,2,86.4129,77.9606,13.5871,0,0,0,0,0,0,0,0,96,0.2721,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,2,79.7398,78.4053,20.2602,0,9,2,0,10,67063,0,0,96,0.2721,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,2,79.7398,78.4053,20.2602,0,9,2,0,10,67063,0,0,96,0.2721,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,2,91.0563,83.1349,8.9437,0,7,1,0,9,17045,0,0,96,0.2721,0.5,0
real_buchwald_hartwig,incumbent,3,84.4027,83.4019,15.5973,0,0,0,0,0,0,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,transfer_gate_v1,3,92.659,86.0584,7.341,0,5,0,0,7,6791,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,3,84.4027,83.4019,15.5973,0,1,0,0,2,125,0,0,96,0.3328,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,3,92.659,81.6121,7.341,0,1,1,1,10,39455,0,0,96,0.2018,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,3,92.659,81.6121,7.341,0,1,1,0,10,871,0,0,96,0.2018,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,3,81.6307,75.3588,18.3693,0,6,5,0,9,28778,0,0,96,0.2018,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,3,92.659,85.1253,7.341,0,5,1,0,9,32085,0,0,96,0.2018,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,3,84.4027,83.4019,15.5973,0,1,1,0,1,1317,0,0,96,0.2018,0.5,0
real_buchwald_hartwig,incumbent,4,94.6911,87.3772,5.3089,0,0,0,0,0,0,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,transfer_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,27608,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,2191,0,0,96,0.4493,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,4,89.4807,75.56,10.5193,0,10,3,0,10,39455,0,0,96,0.258,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,4,61.6889,61.6889,38.3111,0,10,0,0,10,26285,0,0,96,0.258,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,4,94.6911,87.084,5.3089,0,2,2,0,8,56533,0,0,96,0.258,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,4,94.6911,87.084,5.3089,0,2,2,0,8,56533,0,0,96,0.258,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,4,94.6911,87.3772,5.3089,0,0,0,0,7,9805,0,0,96,0.258,0.5,0
real_buchwald_hartwig,incumbent,5,88.1675,86.3166,11.8325,0,0,0,0,0,0,0,0,96,0.43,0.5,0
real_buchwald_hartwig,transfer_gate_v1,5,98.2872,93.3708,1.7128,1,6,2,0,7,17376,0,0,96,0.43,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,5,88.1675,86.3166,11.8325,0,0,0,0,7,3710,0,0,96,0.43,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,5,86.0034,86.0034,13.9966,0,3,3,1,10,39455,0,0,96,0.2665,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,5,88.1675,86.3166,11.8325,0,0,0,0,10,880,0,0,96,0.2665,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,5,88.1675,86.3166,11.8325,0,3,1,0,10,66473,0,0,96,0.2665,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,5,88.1675,86.3166,11.8325,0,3,1,0,10,66473,0,0,96,0.2665,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,5,88.1675,86.533,11.8325,0,6,0,0,10,32419,0,0,96,0.2665,0.5,0
real_buchwald_hartwig,incumbent,6,88.4449,88.1735,11.5551,0,0,0,0,0,0,0,0,96,0.4428,0.5,0
real_buchwald_hartwig,transfer_gate_v1,6,88.4449,88.1735,11.5551,0,2,2,0,7,23548,0,0,96,0.4428,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,6,88.4449,88.1735,11.5551,0,0,0,0,7,3406,0,0,96,0.4428,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,6,88.4449,87.4931,11.5551,0,3,3,0,10,39455,0,0,96,0.2394,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,6,88.4449,88.1735,11.5551,0,0,0,0,10,880,0,0,96,0.2394,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,6,88.1675,87.9551,11.8325,0,4,1,0,10,56187,0,0,96,0.2394,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,6,88.1675,87.9551,11.8325,0,4,1,0,10,56187,0,0,96,0.2394,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,6,88.4449,88.1735,11.5551,0,4,4,0,10,26841,0,0,96,0.2394,0.5,0
real_buchwald_hartwig,incumbent,7,75.3112,75.3112,24.6888,0,0,0,0,0,0,0,0,96,0.4537,0.5,0
real_buchwald_hartwig,transfer_gate_v1,7,75.3112,75.3112,24.6888,0,2,2,0,7,22725,0,0,96,0.4537,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,7,75.3112,75.3112,24.6888,0,0,0,0,7,3486,0,0,96,0.4537,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_gate_v1,7,75.3112,75.3112,24.6888,0,9,7,0,10,39455,0,0,96,0.2686,0.5,0
real_buchwald_hartwig,transfer_descriptor_value_prior_strict_gate_v1,7,75.3112,75.3112,24.6888,0,9,3,0,10,835,0,0,96,0.2686,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_no_gate,7,75.3112,75.3112,24.6888,0,8,4,0,10,63907,0,0,96,0.2686,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_gate_v1,7,75.3112,75.3112,24.6888,0,7,3,1,10,66274,0,0,96,0.2686,0.5,0
real_buchwald_hartwig,transfer_descriptor_target_calibrated_strict_gate_v1,7,81.6237,77.9111,18.3763,0,2,1,0,8,6957,0,0,96,0.2686,0.5,0
real_buchwald_hartwig,incumbent,8,94.5498,80.4126,5.4502,0,0,0,0,0,0,0,0,96,0.462,0.5,0
real_buchwald_hartwig,transfer_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,7,23733,0,0,96,0.462,0.5,0
real_buchwald_hartwig,transfer_strict_gate_v1,8,94.5498,80.4126,5.4502,0,0,0,0,7,2602,0,0,96,0.462,0.5,0
